ID,Site,Latitude_WGS84,Longitude_WGS84,Ecoregion_Level_3,MAP,MAT,Elevation_ft,Cumulative_Precip,Precip_since_monitor,Date_Seeded,Date_Monitored,Treatment,Sand_Category,Clay_Category,Relative_Seed_Mix,Plot,Seeded_Sps_Fx_Grp,Density,Height,Source
1951,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Mulch,high,low,Warm,10,NA,1,10,Native_Recruited
1952,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Mulch,high,low,Cool,15,NA,1,10,Native_Recruited
1953,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Mulch,high,low,Warm,7,NA,1,6,Native_Recruited
1954,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Mulch,high,low,Warm,29,shrub,1,5,Seeded
1956,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Mulch,high,low,Warm,30,perennial forb ,1,4,Seeded
1957,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Mulch,high,low,Warm,30,perennial forb,1,4,Seeded
1958,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Mulch,high,low,Warm,37,perennial forb ,1,3,Seeded
1964,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Mulch,high,low,Cool,3,NA,1,2,Native_Recruited
1965,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Mulch,high,low,Cool,3,NA,1,2,Invasive
1972,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Mulch,high,low,Cool,12,NA,0,0,empty
1973,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Mulch,high,low,Warm,20,NA,0,0,empty
1974,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Mulch,high,low,Cool,2,NA,0,0,empty
1975,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Mulch,high,low,Cool,31,NA,0,0,empty
1898,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Pits,high,low,Warm,19,perennial forb ,5,2,Seeded
1902,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Pits,high,low,Warm,32,perennial forb ,4,5,Seeded
1910,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Pits,high,low,Warm,41,perennial forb ,3,2,Seeded
1917,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Pits,high,low,Cool,35,NA,2,15,Native_Recruited
1919,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Pits,high,low,Warm,32,shrub,2,10,Seeded
1922,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Pits,high,low,Warm,11,perennial forb ,2,3,Seeded
1923,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Pits,high,low,Cool,16,NA,2,3,Invasive
1925,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Pits,high,low,Cool,35,perennial forb,2,2,Seeded
1926,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Pits,high,low,Warm,32,perennial forb,2,2,Seeded
1947,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Pits,high,low,Warm,11,shrub,1,15,Seeded
1960,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Pits,high,low,Cool,27,NA,1,3,Native_Recruited
1961,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Pits,high,low,Warm,32,NA,1,3,Native_Recruited
1966,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Pits,high,low,Cool,27,NA,1,2,Invasive
1967,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Pits,high,low,Cool,35,NA,1,2,Invasive
1976,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Pits,high,low,Cool,6,NA,0,0,empty
1896,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Seed Only,high,low,Warm,34,perennial forb ,5,3,Seeded
1900,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Seed Only,high,low,Warm,34,NA,4,20,Native_Recruited
1901,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Seed Only,high,low,Cool,1,perennial forb,4,5,Seeded
1905,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Seed Only,high,low,Warm,5,perennial forb ,3,5,Seeded
1907,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Seed Only,high,low,Warm,14,perennial forb ,3,3,Seeded
1915,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Seed Only,high,low,Cool,1,NA,2,15,Native_Recruited
1916,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Seed Only,high,low,Cool,9,NA,2,15,Native_Recruited
1918,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Seed Only,high,low,Cool,26,NA,2,13,Native_Recruited
1920,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Seed Only,high,low,Warm,34,shrub,2,10,Seeded
1927,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Seed Only,high,low,Warm,5,perennial forb,2,2,Seeded
1928,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Seed Only,high,low,Warm,34,perennial forb,2,2,Seeded
1937,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Seed Only,high,low,Cool,26,NA,1,60,Native_Recruited
1938,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Seed Only,high,low,Warm,44,NA,1,60,Native_Recruited
1939,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Seed Only,high,low,Cool,9,NA,1,55,Native_Recruited
1940,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Seed Only,high,low,Cool,26,NA,1,50,Invasive
1942,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Seed Only,high,low,Warm,14,NA,1,30,Invasive
1944,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Seed Only,high,low,Cool,42,NA,1,25,Native_Recruited
1946,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Seed Only,high,low,Cool,26,unknown,1,20,Seeded
1959,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Seed Only,high,low,Cool,1,NA,1,3,Native_Recruited
1962,29 Palms,34.224741,-116.107247,Mojave Basin and Range,97.61,19.7,1935,70.86500084,70.8,3/13/2020,4/29/2020,Seed Only,high,low,Cool,1,NA,1,3,Invasive
359,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,0.952000022,0.95,9/5/2018,9/25/2018,A.Control,low,high,NA,3,NA,0,0,empty
360,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,0.952000022,0.95,9/5/2018,9/25/2018,A.Control,low,high,NA,14,NA,0,0,empty
361,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,0.952000022,0.95,9/5/2018,9/25/2018,A.Control,low,high,NA,23,NA,0,0,empty
362,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,0.952000022,0.95,9/5/2018,9/25/2018,A.Control,low,high,NA,35,NA,0,0,empty
861,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,107.1170001,106.1670001,9/5/2018,10/10/2018,A.Control,low,high,NA,35,NA,34,2,Invasive
864,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,107.1170001,106.1670001,9/5/2018,10/10/2018,A.Control,low,high,NA,14,NA,32,17,Native_Recruited
899,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,107.1170001,106.1670001,9/5/2018,10/10/2018,A.Control,low,high,NA,3,NA,11,13,Native_Recruited
910,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,107.1170001,106.1670001,9/5/2018,10/10/2018,A.Control,low,high,NA,23,NA,6,16,Native_Recruited
912,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,107.1170001,106.1670001,9/5/2018,10/10/2018,A.Control,low,high,NA,14,NA,6,2,Invasive
913,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,107.1170001,106.1670001,9/5/2018,10/10/2018,A.Control,low,high,NA,3,NA,5,3,Invasive
923,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,107.1170001,106.1670001,9/5/2018,10/10/2018,A.Control,low,high,NA,23,NA,4,3,Invasive
925,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,107.1170001,106.1670001,9/5/2018,10/10/2018,A.Control,low,high,NA,35,NA,3,36,Invasive
939,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,107.1170001,106.1670001,9/5/2018,10/10/2018,A.Control,low,high,NA,14,NA,1,34,Invasive
1989,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,10/26/2018,A.Control,low,high,NA,14,NA,25,25,Native_Recruited
1998,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,10/26/2018,A.Control,low,high,NA,35,NA,19,13,Invasive
2012,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,10/26/2018,A.Control,low,high,NA,35,NA,11,32,Invasive
2013,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,10/26/2018,A.Control,low,high,NA,23,NA,11,10,Native_Recruited
2034,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,10/26/2018,A.Control,low,high,NA,23,NA,6,23,Invasive
2035,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,10/26/2018,A.Control,low,high,NA,3,NA,6,15,Native_Recruited
2042,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,10/26/2018,A.Control,low,high,NA,3,NA,5,18,Invasive
2060,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,10/26/2018,A.Control,low,high,NA,35,NA,3,55,Invasive
2065,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,10/26/2018,A.Control,low,high,NA,23,NA,3,38,Invasive
2078,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,10/26/2018,A.Control,low,high,NA,14,NA,2,60,Invasive
2084,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,10/26/2018,A.Control,low,high,NA,14,NA,2,19,Invasive
2086,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,10/26/2018,A.Control,low,high,NA,14,NA,2,17,Invasive
2087,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,10/26/2018,A.Control,low,high,NA,3,NA,2,16,Invasive
2088,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,10/26/2018,A.Control,low,high,NA,35,NA,2,15,Invasive
2106,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,10/26/2018,A.Control,low,high,NA,3,NA,1,43,Invasive
2110,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,10/26/2018,A.Control,low,high,NA,23,NA,1,33,Invasive
2118,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,10/26/2018,A.Control,low,high,NA,35,NA,1,19,Native_Recruited
2132,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,10/26/2018,A.Control,low,high,NA,3,NA,1,7,Invasive
3162,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,11/15/2018,A.Control,low,high,NA,14,NA,25,45,Native_Recruited
3201,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,11/15/2018,A.Control,low,high,NA,35,NA,8,10,Invasive
3208,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,11/15/2018,A.Control,low,high,NA,23,NA,7,25,Native_Recruited
3215,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,11/15/2018,A.Control,low,high,NA,23,NA,6,30,Invasive
3216,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,11/15/2018,A.Control,low,high,NA,3,NA,6,30,Native_Recruited
3222,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,11/15/2018,A.Control,low,high,NA,3,NA,5,80,Invasive
3227,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,11/15/2018,A.Control,low,high,NA,35,NA,5,40,Invasive
3250,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,11/15/2018,A.Control,low,high,NA,35,NA,4,20,Native_Recruited
3259,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,11/15/2018,A.Control,low,high,NA,35,NA,3,45,Invasive
3261,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,11/15/2018,A.Control,low,high,NA,35,NA,3,40,Invasive
3272,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,11/15/2018,A.Control,low,high,NA,23,NA,3,20,Invasive
3286,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,11/15/2018,A.Control,low,high,NA,14,NA,2,80,Invasive
3287,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,11/15/2018,A.Control,low,high,NA,3,NA,2,60,Invasive
3291,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,11/15/2018,A.Control,low,high,NA,14,NA,2,40,Invasive
3301,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,11/15/2018,A.Control,low,high,NA,23,NA,2,30,Invasive
3311,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,11/15/2018,A.Control,low,high,NA,14,NA,2,20,Invasive
3317,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,11/15/2018,A.Control,low,high,NA,14,NA,2,20,Invasive
3321,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,11/15/2018,A.Control,low,high,NA,3,NA,2,15,Invasive
3333,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,11/15/2018,A.Control,low,high,NA,3,NA,2,5,Native_Recruited
3337,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,11/15/2018,A.Control,low,high,NA,23,NA,1,80,Invasive
3358,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,11/15/2018,A.Control,low,high,NA,3,NA,1,40,Invasive
3383,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,11/15/2018,A.Control,low,high,NA,35,NA,1,20,Native_Recruited
3386,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,11/15/2018,A.Control,low,high,NA,3,NA,1,20,Invasive
3387,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,11/15/2018,A.Control,low,high,NA,14,NA,1,20,Invasive
3396,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,11/15/2018,A.Control,low,high,NA,14,NA,1,15,Invasive
3399,Agua Fria NM,34.171598,-112.122006,Arizona/New Mexico Mountains,455.05,18.5,3300,135.7939997,28.6939997,9/5/2018,11/15/2018,A.Control,low,high,NA,3,NA,1,15,Invasive
