Region,Site,Date_Seeded,Date_Monitored,Plot,Treatment,PlotMix,SiteDatePlotID
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,15,ConMod,Cool,447
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,16,Seed,Warm,448
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,17,Pits,Cool,449
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,18,Mulch,Cool,450
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,19,ConMod,Cool,451
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,20,Seed,Cool,452
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,21,Pits,Warm,453
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,22,Mulch,Warm,454
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,23,Mulch,Cool,455
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,24,ConMod,Warm,456
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,25,Control,None,457
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,26,Mulch,Warm,458
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,27,Pits,Cool,459
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,28,ConMod,Cool,460
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,29,Mulch,Cool,461
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,30,Seed,Warm,462
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,31,Mulch,Warm,463
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,32,ConMod,Warm,464
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,33,Pits,Warm,465
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,34,Seed,Cool,466
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,35,Control,None,467
Sonoran Central,Roosevelt,2019-09-22,2020-03-25,36,Seed,Warm,468
Sonoran Central,SCC,2019-09-21,2020-03-27,1,Mulch,Cool,505
Sonoran Central,SCC,2019-09-21,2020-03-27,2,ConMod,Cool,506
Sonoran Central,SCC,2019-09-21,2020-03-27,3,Control,None,507
Sonoran Central,SCC,2019-09-21,2020-03-27,4,Seed,Cool,508
Sonoran Central,SCC,2019-09-21,2020-03-27,5,Pits,Cool,509
Sonoran Central,SCC,2019-09-21,2020-03-27,6,ConMod,Warm,510
Sonoran Central,SCC,2019-09-21,2020-03-27,7,Mulch,Warm,511
Sonoran Central,SCC,2019-09-21,2020-03-27,8,Seed,Warm,512
Sonoran Central,SCC,2019-09-21,2020-03-27,9,Mulch,Cool,513
Sonoran Central,SCC,2019-09-21,2020-03-27,10,Pits,Warm,514
Sonoran Central,SCC,2019-09-21,2020-03-27,11,ConMod,Cool,515
Sonoran Central,SCC,2019-09-21,2020-03-27,12,Control,None,516
Sonoran Central,SCC,2019-09-21,2020-03-27,13,Seed,Cool,517
Sonoran Central,SCC,2019-09-21,2020-03-27,14,ConMod,Warm,518
Sonoran Central,SCC,2019-09-21,2020-03-27,15,Control,None,519
Sonoran Central,SCC,2019-09-21,2020-03-27,16,Seed,Warm,520
Sonoran Central,SCC,2019-09-21,2020-03-27,17,Mulch,Warm,521
Sonoran Central,SCC,2019-09-21,2020-03-27,18,Pits,Cool,522
Sonoran Central,SCC,2019-09-21,2020-03-27,19,Mulch,Cool,523
Sonoran Central,SCC,2019-09-21,2020-03-27,20,ConMod,Cool,524
Sonoran Central,SCC,2019-09-21,2020-03-27,21,Pits,Warm,525
Sonoran Central,SCC,2019-09-21,2020-03-27,22,Seed,Cool,526
Sonoran Central,SCC,2019-09-21,2020-03-27,23,ConMod,Warm,527
Sonoran Central,SCC,2019-09-21,2020-03-27,24,Pits,Cool,528
Sonoran Central,SCC,2019-09-21,2020-03-27,25,Seed,Warm,529
Sonoran Central,SCC,2019-09-21,2020-03-27,26,ConMod,Cool,530
Sonoran Central,SCC,2019-09-21,2020-03-27,27,Mulch,Warm,531
Sonoran Central,SCC,2019-09-21,2020-03-27,28,Pits,Warm,532
Sonoran Central,SCC,2019-09-21,2020-03-27,29,Control,None,533
Sonoran Central,SCC,2019-09-21,2020-03-27,30,Mulch,Cool,534
Sonoran Central,SCC,2019-09-21,2020-03-27,31,Pits,Cool,535
Sonoran Central,SCC,2019-09-21,2020-03-27,32,Seed,Cool,536
Sonoran Central,SCC,2019-09-21,2020-03-27,33,ConMod,Warm,537
Sonoran Central,SCC,2019-09-21,2020-03-27,34,Mulch,Warm,538
Sonoran Central,SCC,2019-09-21,2020-03-27,35,Seed,Warm,539
Sonoran Central,SCC,2019-09-21,2020-03-27,36,Pits,Warm,540
Sonoran Central,Pleasant,2019-12-19,2023-03-24,4,Seed only,Warm,1120
Sonoran Central,Pleasant,2019-12-19,2023-03-24,8,Seed only,Cool,1124
Sonoran Central,Pleasant,2019-12-19,2023-03-24,12,Seed only,Warm,1128
Sonoran Central,Pleasant,2019-12-19,2023-03-24,15,Seed only,Cool,1131
Sonoran Central,Pleasant,2019-12-19,2023-03-24,22,Seed only,Warm,1138
Sonoran Central,Pleasant,2019-12-19,2023-03-24,23,Seed only,Cool,1139
Sonoran Central,Pleasant,2019-12-19,2023-03-24,30,Seed only,Warm,1146
Sonoran Central,Pleasant,2019-12-19,2023-03-24,32,Seed only,Cool,1148
