Region,Site,Date_Seeded,Date_Monitored,Plot,Treatment,PlotMix,SiteDatePlotID
Sonoran Central,SCC,2019-11-21,2020-03-27,28,Pits,Warm,532
Sonoran Central,SCC,2019-11-21,2020-03-27,29,Control,None,533
Sonoran Central,SCC,2019-11-21,2020-03-27,30,Mulch,Cool,534
Sonoran Central,SCC,2019-11-21,2020-03-27,31,Pits,Cool,535
Sonoran Central,SCC,2019-11-21,2020-03-27,32,Seed,Cool,536
Sonoran Central,SCC,2019-11-21,2020-03-27,33,ConMod,Warm,537
Sonoran Central,SCC,2019-11-21,2020-03-27,34,Mulch,Warm,538
Sonoran Central,SCC,2019-11-21,2020-03-27,35,Seed,Warm,539
Sonoran Central,SCC,2019-11-21,2020-03-27,36,Pits,Warm,540
Sonoran Central,Roosevelt,2019-11-22,2021-10-08,7,Seed,Warm,943
Sonoran Central,Roosevelt,2019-11-22,2021-10-08,11,Seed,Cool,947
Sonoran Central,Roosevelt,2019-11-22,2021-10-08,20,Seed,Cool,956
Sonoran Central,Roosevelt,2019-11-22,2021-10-08,36,Seed,Warm,972
Sonoran Central,SCC,2019-11-21,2021-10-13,4,Seed,Cool,976
Sonoran Central,SCC,2019-11-21,2021-10-13,8,Seed,Warm,980
Sonoran Central,SCC,2019-11-21,2021-10-13,13,Seed,Cool,985
Sonoran Central,SCC,2019-11-21,2021-10-13,22,Seed,Cool,994
Sonoran Central,SCC,2019-11-21,2021-10-13,32,Seed,Cool,1004
Sonoran Central,Preserve,2019-11-25,2021-10-06,2,Seed,Cool,902
Sonoran Central,Preserve,2019-11-25,2021-10-06,6,Seed,Warm,906
Sonoran Central,Preserve,2019-11-25,2021-10-06,10,Seed,Cool,910
Sonoran Central,Preserve,2019-11-25,2021-10-06,15,Seed,Cool,915
Sonoran Central,Preserve,2019-11-25,2021-10-06,21,Seed,Warm,921
Sonoran Central,Preserve,2019-11-25,2021-10-06,23,Seed,Cool,923
Sonoran Central,Preserve,2019-11-25,2021-10-06,32,Seed,Warm,932
Sonoran Central,Pleasant,2019-12-19,2022-03-29,4,Seed,Warm,1048
Sonoran Central,Pleasant,2019-12-19,2022-03-29,8,Seed,Cool,1052
Sonoran Central,Pleasant,2019-12-19,2022-03-29,12,Seed,Warm,1056
Sonoran Central,Pleasant,2019-12-19,2022-03-29,15,Seed,Cool,1059
Sonoran Central,Pleasant,2019-12-19,2022-03-29,22,Seed,Warm,1066
Sonoran Central,Pleasant,2019-12-19,2022-03-29,23,Seed,Cool,1067
Sonoran Central,Pleasant,2019-12-19,2022-03-29,30,Seed,Warm,1074
Sonoran Central,Pleasant,2019-12-19,2022-03-29,32,Seed,Cool,1076
Sonoran Central,Preserve,2019-11-25,2022-03-31,2,Seed,Cool,1082
Sonoran Central,Preserve,2019-11-25,2022-03-31,6,Seed,Warm,1086
Sonoran Central,Preserve,2019-11-25,2022-03-31,10,Seed,Cool,1090
Sonoran Central,Preserve,2019-11-25,2022-03-31,11,Seed,Warm,1091
Sonoran Central,Preserve,2019-11-25,2022-03-31,15,Seed,Cool,1095
Sonoran Central,Preserve,2019-11-25,2022-03-31,21,Seed,Warm,1101
Sonoran Central,Preserve,2019-11-25,2022-03-31,23,Seed,Cool,1103
Sonoran Central,Preserve,2019-11-25,2022-03-31,32,Seed,Warm,1112
Sonoran Central,Roosevelt,2019-11-22,2022-03-28,2,Seed,Cool,1010
Sonoran Central,Roosevelt,2019-11-22,2022-03-28,7,Seed,Warm,1015
Sonoran Central,Roosevelt,2019-11-22,2022-03-28,11,Seed,Cool,1019
Sonoran Central,Roosevelt,2019-11-22,2022-03-28,16,Seed,Warm,1024
Sonoran Central,Roosevelt,2019-11-22,2022-03-28,20,Seed,Cool,1028
Sonoran Central,Roosevelt,2019-11-22,2022-03-28,30,Seed,Warm,1038
Sonoran Central,Roosevelt,2019-11-22,2022-03-28,34,Seed,Cool,1042
Sonoran Central,Roosevelt,2019-11-22,2022-03-28,36,Seed,Warm,1044
Sonoran Central,Pleasant,2019-12-19,2023-03-24,4,Seed,Warm,1120
Sonoran Central,Pleasant,2019-12-19,2023-03-24,8,Seed,Cool,1124
Sonoran Central,Pleasant,2019-12-19,2023-03-24,12,Seed,Warm,1128
Sonoran Central,Pleasant,2019-12-19,2023-03-24,15,Seed,Cool,1131
Sonoran Central,Pleasant,2019-12-19,2023-03-24,22,Seed,Warm,1138
Sonoran Central,Pleasant,2019-12-19,2023-03-24,23,Seed,Cool,1139
Sonoran Central,Pleasant,2019-12-19,2023-03-24,30,Seed,Warm,1146
Sonoran Central,Pleasant,2019-12-19,2023-03-24,32,Seed,Cool,1148
Sonoran Central,Pleasant,2019-12-19,2021-04-02,4,Seed,Warm,832
Sonoran Central,Pleasant,2019-12-19,2021-04-02,8,Seed,Cool,836
Sonoran Central,Pleasant,2019-12-19,2021-04-02,12,Seed,Warm,840
Sonoran Central,Pleasant,2019-12-19,2021-04-02,15,Seed,Cool,843
Sonoran Central,Pleasant,2019-12-19,2021-04-02,22,Seed,Warm,850
Sonoran Central,Pleasant,2019-12-19,2021-04-02,23,Seed,Cool,851
Sonoran Central,Pleasant,2019-12-19,2021-04-02,30,Seed,Warm,858
Sonoran Central,Pleasant,2019-12-19,2021-04-02,32,Seed,Cool,860
Sonoran Central,Preserve,2019-11-25,2021-03-30,2,Seed,Cool,722
Sonoran Central,Preserve,2019-11-25,2021-03-30,6,Seed,Warm,726
Sonoran Central,Preserve,2019-11-25,2021-03-30,10,Seed,Cool,730
Sonoran Central,Preserve,2019-11-25,2021-03-30,11,Seed,Warm,731
Sonoran Central,Preserve,2019-11-25,2021-03-30,15,Seed,Cool,735
Sonoran Central,Preserve,2019-11-25,2021-03-30,21,Seed,Warm,741
Sonoran Central,Preserve,2019-11-25,2021-03-30,23,Seed,Cool,743
Sonoran Central,Preserve,2019-11-25,2021-03-30,32,Seed,Warm,752
Sonoran Central,Roosevelt,2019-11-22,2021-04-01,2,Seed,Cool,794
Sonoran Central,Roosevelt,2019-11-22,2021-04-01,7,Seed,Warm,799
Sonoran Central,Roosevelt,2019-11-22,2021-04-01,11,Seed,Cool,803
Sonoran Central,Roosevelt,2019-11-22,2021-04-01,16,Seed,Warm,808
Sonoran Central,Roosevelt,2019-11-22,2021-04-01,20,Seed,Cool,812
Sonoran Central,Roosevelt,2019-11-22,2021-04-01,30,Seed,Warm,822
Sonoran Central,Roosevelt,2019-11-22,2021-04-01,34,Seed,Cool,826
Sonoran Central,Roosevelt,2019-11-22,2021-04-01,36,Seed,Warm,828
Sonoran Central,SCC,2019-11-21,2021-03-31,4,Seed,Cool,760
Sonoran Central,SCC,2019-11-21,2021-03-31,8,Seed,Warm,764
Sonoran Central,SCC,2019-11-21,2021-03-31,13,Seed,Cool,769
Sonoran Central,SCC,2019-11-21,2021-03-31,16,Seed,Warm,772
Sonoran Central,SCC,2019-11-21,2021-03-31,22,Seed,Cool,778
Sonoran Central,SCC,2019-11-21,2021-03-31,25,Seed,Warm,781
Sonoran Central,SCC,2019-11-21,2021-03-31,32,Seed,Cool,788
Sonoran Central,SCC,2019-11-21,2021-03-31,35,Seed,Warm,791
Sonoran Central,Pleasant,2019-12-19,2021-10-04,4,Seed,Warm,868
Sonoran Central,Pleasant,2019-12-19,2021-10-04,8,Seed,Cool,872
Sonoran Central,Pleasant,2019-12-19,2021-10-04,12,Seed,Warm,876
Sonoran Central,Pleasant,2019-12-19,2021-10-04,15,Seed,Cool,879
Sonoran Central,Pleasant,2019-12-19,2021-10-04,22,Seed,Warm,886
Sonoran Central,Pleasant,2019-12-19,2021-10-04,23,Seed,Cool,887
Sonoran Central,Pleasant,2019-12-19,2021-10-04,30,Seed,Warm,894
Sonoran Central,Pleasant,2019-12-19,2021-10-04,32,Seed,Cool,896
Sonoran Central,Roosevelt,2019-11-22,2021-10-08,2,Seed,Cool,938
Sonoran Central,Roosevelt,2019-11-22,2021-10-08,16,Seed,Warm,952
Sonoran Central,Roosevelt,2019-11-22,2021-10-08,30,Seed,Warm,966
Sonoran Central,Roosevelt,2019-11-22,2021-10-08,34,Seed,Cool,970
Sonoran Central,SCC,2019-11-21,2021-10-13,16,Seed,Warm,988
Sonoran Central,SCC,2019-11-21,2021-10-13,25,Seed,Warm,997
Sonoran Central,SCC,2019-11-21,2021-10-13,35,Seed,Warm,1007
Sonoran Central,Preserve,2019-11-25,2021-10-06,11,Seed,Warm,911
