Region,Site,CodeOriginal,NeedsItsDuplicate,DuplicateNum,Code,Name,Native,Duration,Lifeform,LocationDependence
Sonoran SE,SRER,A couple medium sized BOCU potentails. One is for certain a BOCU if all are not and another Bouteloua species the seeded species cover would be TR,No,0,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,SRER,"A couple small SECOs mostly near conmods and possiblya young POSE near SE conmod, Also decent size patch (~1% cover) of SECO just near/outside N edge",Yes,1,SECO10,Senna covesii,Native,Perennial,Forb,independent
Sonoran SE,SRER,"A couple small SECOs mostly near conmods and possiblya young POSE near SE conmod, Also decent size patch (~1% cover) of SECO just near/outside N edge",Yes,2,POSE,Poa secunda,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,A few ARPUs and young BOCUs mostly near/in the south half except for a smaller ARPU in the northwest and a BAMU just north of subplot,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,A few ARPUs and young BOCUs mostly near/in the south half except for a smaller ARPU in the northwest and a BAMU just north of subplot,Yes,2,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,A few ARPUs and young BOCUs mostly near/in the south half except for a smaller ARPU in the northwest and a BAMU just north of subplot,Yes,3,BAMU,Baileya multiradiata,Native,Unknown,Forb,independent
Sonoran SE,SRER,A few possible ARPUs (2 certainty) or other ARsp. (ARTE),No,0,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,A few possible small SPCR in/around some of the pits,No,0,SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,A few possible small SPCRs and a couple MATA seedlings all in the pits,Yes,1,SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,A few possible small SPCRs and a couple MATA seedlings all in the pits,Yes,2,MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb,independent
Sonoran SE,Patagonia,ARPU a few individuals,No,0,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,ARPU a few small tufts and 1 taller,No,0,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,ARPU about 5 individuals and an individual BAMU resprouting at base,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,ARPU about 5 individuals and an individual BAMU resprouting at base,Yes,2,BAMU,Baileya multiradiata,Native,Unknown,Forb,independent
Sonoran SE,Patagonia,"ARPU many individuals, BAMU 1 individual, PLMU (2) 1 individual, ACHY (2) 1 individual",Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,"ARPU many individuals, BAMU 1 individual, PLMU (2) 1 individual, ACHY (2) 1 individual",Yes,2,BAMU,Baileya multiradiata,Native,Unknown,Forb,independent
Sonoran SE,Patagonia,"ARPU many individuals, BAMU 1 individual, PLMU (2) 1 individual, ACHY (2) 1 individual",Yes,3,PLMU3,Pleuraphis mutica,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,"ARPU many individuals, BAMU 1 individual, PLMU (2) 1 individual, ACHY (2) 1 individual",Yes,4,ACHY,Achnatherum hymenoides,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,ARPU many small tufts and some with seed,No,0,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,ARPU multiple individuals,No,0,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,ARPU numerous individuals,No,0,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,ARPU small tufts and a tall individual,No,0,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,SRER,Aristida species between the northeast and southeast pits possibly an ARPU if not than seeded species cover would be 0%,No,0,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,At least 10 ARPUs throughout small to large in size,No,0,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,SRER,BOCU just outside NE corner with a little overhang and possibly in,No,0,0,0,0,0,0,independent
Sonoran SE,SRER,BOCU partially in/on the west edge of the plot and a possible ARPU,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,SRER,BOCU partially in/on the west edge of the plot and a possible ARPU,Yes,2,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,SRER,BOCUs,No,0,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,SRER,BOCUs up to this point could also possibly be slender grama BORE or purple BORA,No,0,BOCU/BORE/BORA,Bouteloua curtipendula/repens/radicosa (spp.),Native,Perennial,Grass,dependent
Sonoran SE,SRER,"BOCUs with some new growth, green vegetation",No,0,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,BOER (2 certainty) on edge of the southwest pit,No,0,BOER4,Bouteloua eriopoda,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,BOER in center/near southwest conmod possibly 5-8,No,0,BOER4,Bouteloua eriopoda,Native,Perennial,Grass,independent
Sonoran SE,SRER,BOsp. a lot of possibly BOCU but could also be BORE or BORA,No,0,BOCU/BORE/BORA,Bouteloua curtipendula/repens/radicosa (spp.),Native,Perennial,Grass,dependent
Sonoran SE,Patagonia,Blue grama BOGR in the S half of the plot don't confuse with black grama BOER,No,0,BOGR2,Bouteloua gracilis,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Bouteloua on W edge but almost positive it's BOGR (blue gramma) not BOER (black gramma),No,0,BOGR2,Bouteloua gracilis,Native,Perennial,Grass,independent
Sonoran SE,SRER,Conmods are starting to lose shape and are partially flopping over with a high amount of debris/dirt buildup. SW conmod is partially buried,No,0,0,0,0,0,0,independent
Sonoran SE,Patagonia,Couple big ARPUs and a few small ones throughout,No,0,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,SRER,Couple extra large BOCUs,No,0,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,SRER,Couple medium sized ARPUs (not completely sure 2/3 on certainty of ID) and a large BOCU right next to the NW plot marker rooted just outside of the plot but some overhangs into the plot,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,SRER,Couple medium sized ARPUs (not completely sure 2/3 on certainty of ID) and a large BOCU right next to the NW plot marker rooted just outside of the plot but some overhangs into the plot,Yes,2,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,SRER,"Couple of small possible BOER but no tillers, seeds, or culms yet to be certain if different Bouteloua than 0%",No,0,BOSPP,Bouteloua spp.,Native,Unknown,Grass,dependent
Sonoran SE,SRER,"Couple possible little BOCUs (no seed heads, tiller, culms to verify)",No,0,BOSPP,Bouteloua spp.,Native,Unknown,Grass,dependent
Sonoran SE,Patagonia,Couple small to medium ARPUs throughout and a couple small SECOs in N half of the plot typically hidden under/using ERCU as a shade plant,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Couple small to medium ARPUs throughout and a couple small SECOs in N half of the plot typically hidden under/using ERCU as a shade plant,Yes,2,SECO10,Senna covesii,Native,Perennial,Forb,independent
Sonoran SE,Patagonia,Couple small to medium ARPUs throughout and a couple small SECOs in N half of the plot typically hidden under/using ERCU as a shade plant,Yes,3,ERCU2,Eragrostis curvula,Introduced,Perennial,Grass,independent
Sonoran Central,Roosevelt,DINE2,No,0,DINE2,Argythamnia neomexicana,Native,Unknown,Forb,independent
Sonoran Central,Preserve,ERDED4,No,0,ERDED4,Eriogonum deflexum,Native,Annual,Forb,independent
Sonoran SE,SRER,Extra large BOCU,No,0,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,SRER,Extra large BOER in S half and medium sized one next to NE plot  corner that partially hangs in and at least 2 small ones within the plot as well,No,0,BOER4,Bouteloua eriopoda,Native,Perennial,Grass,independent
Sonoran SE,SRER,Extra large to medium large BOCUs throughout and at least 2 tiny SECO near/in SE pit and NE/subplot pit,Yes,1,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,SRER,Extra large to medium large BOCUs throughout and at least 2 tiny SECO near/in SE pit and NE/subplot pit,Yes,2,SECO10,Senna covesii,Native,Perennial,Forb,independent
Sonoran SE,Patagonia,Few small to medium ARPUs spaced throughout,No,0,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,SRER,HEMU,No,0,HEMU,Heliomeris multiflora,Native,Perennial,Forb,independent
Sonoran Central,Pleasant,LEPISP,No,0,LEPISP,Lepidium spp.,Native/Unknown,Unknown,Forb,dependent
Sonoran SE,Patagonia,Large BOCU in the southeast with a few small ones throughout and about 5 ARPUs small to large in size that're mostly near the conmods,Yes,1,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Large BOCU in the southeast with a few small ones throughout and about 5 ARPUs small to large in size that're mostly near the conmods,Yes,2,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,SRER,Large and medium BOCUs in plot,No,0,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,MATA is the SW corner,No,0,MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb,independent
Sonoran SE,Patagonia,MATA seedling in southwest section,No,0,MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb,independent
Sonoran SE,Patagonia,MATA seedlings in the southeast corner of the plot,No,0,MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb,independent
Sonoran SE,SRER,Medium BOCU mostly rooted outside of the SW side of the plot butr partially in with some overhang,No,0,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,"Medium SECO in/near NW pit with a couple tiny seedlings scattered throughout, medium BAMU in the middle, a few small to medium/large ARPUs sprinkled throughout, possibly a small ACHY in SE section (wirey leaf blades that clasp the stem, hairs at the node, only one seed head but similar to examples)",Yes,1,SECO10,Senna covesii,Native,Perennial,Forb,independent
Sonoran SE,Patagonia,"Medium SECO in/near NW pit with a couple tiny seedlings scattered throughout, medium BAMU in the middle, a few small to medium/large ARPUs sprinkled throughout, possibly a small ACHY in SE section (wirey leaf blades that clasp the stem, hairs at the node, only one seed head but similar to examples)",Yes,2,BAMU,Baileya multiradiata,Native,Unknown,Forb,independent
Sonoran SE,Patagonia,"Medium SECO in/near NW pit with a couple tiny seedlings scattered throughout, medium BAMU in the middle, a few small to medium/large ARPUs sprinkled throughout, possibly a small ACHY in SE section (wirey leaf blades that clasp the stem, hairs at the node, only one seed head but similar to examples)",Yes,3,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,"Medium SECO in/near NW pit with a couple tiny seedlings scattered throughout, medium BAMU in the middle, a few small to medium/large ARPUs sprinkled throughout, possibly a small ACHY in SE section (wirey leaf blades that clasp the stem, hairs at the node, only one seed head but similar to examples)",Yes,4,ACHY,Achnatherum hymenoides,Native,Perennial,Grass,independent
Sonoran SE,SRER,Medium sized BOCU and ARPU,Yes,1,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,SRER,Medium sized BOCU and ARPU,Yes,2,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Medium to large ARPUs throughout and a couple small and medium BOCUs near the N conmods and a few teeny tiny SECOs near conmods as well,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Medium to large ARPUs throughout and a couple small and medium BOCUs near the N conmods and a few teeny tiny SECOs near conmods as well,Yes,2,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Medium to large ARPUs throughout and a couple small and medium BOCUs near the N conmods and a few teeny tiny SECOs near conmods as well,Yes,3,SECO10,Senna covesii,Native,Perennial,Forb,independent
Sonoran SE,Patagonia,Might possibly be a small POSE,No,0,POSE,Poa secunda,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,More Blue grama Don't confuse with Black,No,0,BOGR2,Bouteloua gracilis,Native,Perennial,Grass,independent
Sonoran SE,SRER,More of what we called BOCU in last plot,No,0,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Multipke medium to large ARPUs and BOCUs as well as a BAMU in the northeast corner but it doesnt have any new/living growth yet,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Multipke medium to large ARPUs and BOCUs as well as a BAMU in the northeast corner but it doesnt have any new/living growth yet,Yes,2,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Multipke medium to large ARPUs and BOCUs as well as a BAMU in the northeast corner but it doesnt have any new/living growth yet,Yes,3,BAMU,Baileya multiradiata,Native,Unknown,Forb,independent
Sonoran SE,Patagonia,"Multiple ARPUs small to large sized throughout, possible ACHY in the SE pit, and a couple teeny tiny SECOs in/around some of the pits",Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,"Multiple ARPUs small to large sized throughout, possible ACHY in the SE pit, and a couple teeny tiny SECOs in/around some of the pits",Yes,2,ACHY,Achnatherum hymenoides,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,"Multiple ARPUs small to large sized throughout, possible ACHY in the SE pit, and a couple teeny tiny SECOs in/around some of the pits",Yes,3,SECO10,Senna covesii,Native,Perennial,Forb,independent
Sonoran SE,SRER,Multiple BOCU's medium-large and a possible medium sized ARPU,Yes,1,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,SRER,Multiple BOCU's medium-large and a possible medium sized ARPU,Yes,2,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,SRER,Multiple BOCUS and a couple possible ARPUs throughout,Yes,1,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,SRER,Multiple BOCUS and a couple possible ARPUs throughout,Yes,2,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,SRER,Multiple BOCUs throughout,No,0,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,SRER,Multiple med to extra large BOCUs and a few small to large ARPUs,Yes,1,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,SRER,Multiple med to extra large BOCUs and a few small to large ARPUs,Yes,2,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Multiple medium to extra large ARPUS,No,0,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Multiple medium to extra large ARPUs and large BAMU along the N edge of the plot along with possible tiny seedlings in same pits,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Multiple medium to extra large ARPUs and large BAMU along the N edge of the plot along with possible tiny seedlings in same pits,Yes,2,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Multiple medium to extra large ARPUs mostly in/near conmods,No,0,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Multiple medium to extra large ARPUs throught and SECo in the northwest corner under an ERCU,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Multiple medium to extra large ARPUs throught and SECo in the northwest corner under an ERCU,Yes,2,SECO10,Senna covesii,Native,Perennial,Forb,independent
Sonoran SE,Patagonia,Multiple medium to extra large ARPUs throught and SECo in the northwest corner under an ERCU,Yes,3,ERCU2,Eragrostis curvula,Introduced,Perennial,Grass,independent
Sonoran SE,Patagonia,Multiple medium to extra large BOCUs and ARPUs throughout but mostly near and aroudn conmods,Yes,1,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Multiple medium to extra large BOCUs and ARPUs throughout but mostly near and aroudn conmods,Yes,2,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Multiple medium to large ARPU and small/medium BOCU near the NE corner and a couple tiny SECOs,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Multiple medium to large ARPU and small/medium BOCU near the NE corner and a couple tiny SECOs,Yes,2,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Multiple medium to large ARPU and small/medium BOCU near the NE corner and a couple tiny SECOs,Yes,3,SECO10,Senna covesii,Native,Perennial,Forb,independent
Sonoran SE,Patagonia,Multiple medium to large ARPUs and BOCUs (mostly ARPUs) as well as a possible PLMU in the center of the plot,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Multiple medium to large ARPUs and BOCUs (mostly ARPUs) as well as a possible PLMU in the center of the plot,Yes,2,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Multiple medium to large ARPUs and BOCUs (mostly ARPUs) as well as a possible PLMU in the center of the plot,Yes,3,PLMU3,Pleuraphis mutica,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Multiple medium to large ARPUs and BOCUs along the northeast edge,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Multiple medium to large ARPUs and BOCUs along the northeast edge,Yes,2,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,"Multiple medium to large ARPUs and possibly and ACHY seedling in the southeast pit (wirey, narrow, clasping blades)",Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,"Multiple medium to large ARPUs and possibly and ACHY seedling in the southeast pit (wirey, narrow, clasping blades)",Yes,2,ACHY,Achnatherum hymenoides,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Multiple medium to large ARPUs throughout and a couple small BOCUs near and among the conmods,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Multiple medium to large ARPUs throughout and a couple small BOCUs near and among the conmods,Yes,2,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Multiple small to large ARPUs throughout along with a large BAMU in center and a medium sized BOCU in the NW section,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Multiple small to large ARPUs throughout along with a large BAMU in center and a medium sized BOCU in the NW section,Yes,2,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Multiple small to large ARPUs throughout along with a large BAMU in center and a medium sized BOCU in the NW section,Yes,3,BAMU,Baileya multiradiata,Native,Unknown,Forb,independent
Sonoran SE,Patagonia,Multiple small to large sized ARPUs spread throughout and a medium sized BOCU in the northwest corner,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Multiple small to large sized ARPUs spread throughout and a medium sized BOCU in the northwest corner,Yes,2,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,Yes,2,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,Yes,3,PLMU3,Pleuraphis mutica,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,Yes,4,BAMU,Baileya multiradiata,Native,Unknown,Forb,independent
Sonoran SE,Patagonia,Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,Yes,5,SECO10,Senna covesii,Native,Perennial,Forb,independent
Sonoran SE,Patagonia,No new growth on the BAMU in the northeast corner yet,No,0,BAMU,Baileya multiradiata,Native,Unknown,Forb,independent
Sonoran SE,Patagonia,"No new growth or green vegetation on SECO in the northwest pit but still there, there's a BAMU in the southwest pit as well, possibly ACHY in the south half of the plot, multiple medium to large sized ARPUs mostly in and/or near pits but not all",Yes,1,SECO10,Senna covesii,Native,Perennial,Forb,independent
Sonoran SE,Patagonia,"No new growth or green vegetation on SECO in the northwest pit but still there, there's a BAMU in the southwest pit as well, possibly ACHY in the south half of the plot, multiple medium to large sized ARPUs mostly in and/or near pits but not all",Yes,2,BAMU,Baileya multiradiata,Native,Unknown,Forb,independent
Sonoran SE,Patagonia,"No new growth or green vegetation on SECO in the northwest pit but still there, there's a BAMU in the southwest pit as well, possibly ACHY in the south half of the plot, multiple medium to large sized ARPUs mostly in and/or near pits but not all",Yes,3,ACHY,Achnatherum hymenoides,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,"No new growth or green vegetation on SECO in the northwest pit but still there, there's a BAMU in the southwest pit as well, possibly ACHY in the south half of the plot, multiple medium to large sized ARPUs mostly in and/or near pits but not all",Yes,4,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,None seeded,No,0,0,0,0,0,0,independent
Sonoran SE,Patagonia,Not in the Med mix but there are a couple young SECOs,No,0,SECO10,Senna covesii,Native,Perennial,Forb,independent
Sonoran SE,SRER,PEPA (possibly),No,0,PEPA8,Penstemon palmeri,Native,Perennial,Forb,independent
Sonoran Central,Pleasant,PHYSR,No,0,PHYSR,Physaria sp.,Native,Unknown,Forb,dependent
Sonoran SE,Patagonia,Pits are mostly infilled or completely depending on pit anywhere from 80-100%,No,0,0,0,0,0,0,independent
Sonoran SE,Patagonia,Possible ACHY near southwest corner (2 certainty) and about 10 ARPU small to medium in size with 2 of them next to the subplot but not quite in,Yes,1,ACHY,Achnatherum hymenoides,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Possible ACHY near southwest corner (2 certainty) and about 10 ARPU small to medium in size with 2 of them next to the subplot but not quite in,Yes,2,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,SRER,"Possible ARPUs, SECO seedling in subplot",Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,SRER,"Possible ARPUs, SECO seedling in subplot",Yes,2,SECO10,Senna covesii,Native,Perennial,Forb,independent
Sonoran SE,SRER,Possible BOCUs but not in this mix,No,0,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,SRER,Possible Boutelouas not sure if BOER because they've been grazed down,No,0,BOspp,Bouteloua spp.,Native,Unknown,Grass,dependent
Sonoran SE,SRER,Possible MATA seedling species in suplot and in the NW pit if not than 0% seeded species cover,No,0,MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb,independent
Sonoran SE,Patagonia,Possible MATA seedlings in the northwest pit and possibly a SPCR seedling but if neither than seeded species cover would be 0%,Yes,1,MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb,independent
Sonoran SE,Patagonia,Possible MATA seedlings in the northwest pit and possibly a SPCR seedling but if neither than seeded species cover would be 0%,Yes,2,SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,independent
Sonoran SE,SRER,Possible Poa secunda POSE just outside of NE plot corner but not in/overhanging yet due to small size,No,0,0,0,0,0,0,independent
Sonoran SE,SRER,Possible SPCR along the northeast edge as well as a possible PEPA seedling next to the subplot if neither than 0% seeded cover,Yes,1,SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,independent
Sonoran SE,SRER,Possible SPCR along the northeast edge as well as a possible PEPA seedling next to the subplot if neither than 0% seeded cover,Yes,2,PEPA8,Penstemon palmeri,Native,Perennial,Forb,independent
Sonoran SE,Patagonia,"Possible SPCR in subplot, Blue not Black grama",Yes,1,SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,"Possible SPCR in subplot, Blue not Black grama",Yes,2,BOGR2,Bouteloua gracilis,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout",Yes,1,ASTU,Asclepias tuberosa,Native,Perennial,Forb,independent
Sonoran SE,Patagonia,"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout",Yes,2,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout",Yes,3,BAMU,Baileya multiradiata,Native,Unknown,Forb,independent
Sonoran SE,Patagonia,"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout",Yes,4,SECO10,Senna covesii,Native,Perennial,Forb,independent
