Region,Site,Date_Seeded,Plot,SitePlotID
Sonoran SE,Patagonia,2019-08-09,33,69
Sonoran SE,Patagonia,2019-08-09,34,70
Sonoran SE,Patagonia,2019-08-09,35,71
Sonoran SE,Patagonia,2019-08-09,36,72
Sonoran Central,Roosevelt,2019-11-22,1,73
Sonoran Central,Roosevelt,2019-11-22,2,74
Sonoran Central,Roosevelt,2019-11-22,3,75
Sonoran Central,Roosevelt,2019-11-22,4,76
Sonoran Central,Roosevelt,2019-11-22,5,77
Sonoran Central,Roosevelt,2019-11-22,6,78
Sonoran Central,Roosevelt,2019-11-22,7,79
Sonoran Central,Roosevelt,2019-11-22,8,80
Sonoran Central,Roosevelt,2019-11-22,9,81
Sonoran Central,Roosevelt,2019-11-22,10,82
Sonoran Central,Roosevelt,2019-11-22,11,83
Sonoran Central,Roosevelt,2019-11-22,12,84
Sonoran Central,Roosevelt,2019-11-22,13,85
Sonoran Central,Roosevelt,2019-11-22,14,86
Sonoran Central,Roosevelt,2019-11-22,15,87
Sonoran Central,Roosevelt,2019-11-22,16,88
Sonoran Central,Roosevelt,2019-11-22,17,89
Sonoran Central,Roosevelt,2019-11-22,18,90
Sonoran Central,Roosevelt,2019-11-22,19,91
Sonoran Central,Roosevelt,2019-11-22,20,92
Sonoran Central,Roosevelt,2019-11-22,21,93
Sonoran Central,Roosevelt,2019-11-22,22,94
Sonoran Central,Roosevelt,2019-11-22,23,95
Sonoran Central,Roosevelt,2019-11-22,24,96
Sonoran Central,Roosevelt,2019-11-22,25,97
Sonoran Central,Roosevelt,2019-11-22,26,98
Sonoran Central,Roosevelt,2019-11-22,27,99
Sonoran Central,Roosevelt,2019-11-22,28,100
Sonoran Central,Roosevelt,2019-11-22,29,101
Sonoran Central,Roosevelt,2019-11-22,30,102
Sonoran Central,Roosevelt,2019-11-22,31,103
Sonoran Central,Roosevelt,2019-11-22,32,104
Sonoran Central,Roosevelt,2019-11-22,33,105
Sonoran Central,Roosevelt,2019-11-22,34,106
Sonoran Central,Roosevelt,2019-11-22,35,107
Sonoran Central,Roosevelt,2019-11-22,36,108
Sonoran Central,Preserve,2019-11-25,1,109
Sonoran Central,Preserve,2019-11-25,2,110
Sonoran Central,Preserve,2019-11-25,3,111
Sonoran Central,Preserve,2019-11-25,4,112
Sonoran Central,Preserve,2019-11-25,5,113
Sonoran Central,Preserve,2019-11-25,6,114
Sonoran Central,Preserve,2019-11-25,7,115
Sonoran Central,Preserve,2019-11-25,8,116
Sonoran Central,Preserve,2019-11-25,9,117
Sonoran Central,Preserve,2019-11-25,10,118
Sonoran Central,Preserve,2019-11-25,11,119
Sonoran Central,Preserve,2019-11-25,12,120
Sonoran Central,Preserve,2019-11-25,13,121
Sonoran Central,Preserve,2019-11-25,14,122
Sonoran Central,Preserve,2019-11-25,15,123
Sonoran Central,Preserve,2019-11-25,16,124
Sonoran Central,Preserve,2019-11-25,17,125
Sonoran Central,Preserve,2019-11-25,18,126
Sonoran Central,Preserve,2019-11-25,19,127
Sonoran Central,Preserve,2019-11-25,20,128
Sonoran Central,Preserve,2019-11-25,21,129
Sonoran Central,Preserve,2019-11-25,22,130
Sonoran Central,Preserve,2019-11-25,23,131
Sonoran Central,Preserve,2019-11-25,24,132
Sonoran Central,Preserve,2019-11-25,25,133
Sonoran Central,Preserve,2019-11-25,26,134
Sonoran Central,Preserve,2019-11-25,27,135
Sonoran Central,Preserve,2019-11-25,28,136
Sonoran Central,Preserve,2019-11-25,29,137
Sonoran Central,Preserve,2019-11-25,30,138
Sonoran Central,Preserve,2019-11-25,31,139
Sonoran Central,Preserve,2019-11-25,32,140
Sonoran Central,Preserve,2019-11-25,33,141
Sonoran Central,Preserve,2019-11-25,34,142
Sonoran Central,Preserve,2019-11-25,35,143
Sonoran Central,Preserve,2019-11-25,36,144
Sonoran Central,SCC,2019-11-21,1,145
Sonoran Central,SCC,2019-11-21,2,146
Sonoran Central,SCC,2019-11-21,3,147
Sonoran Central,SCC,2019-11-21,4,148
Sonoran Central,SCC,2019-11-21,5,149
Sonoran Central,SCC,2019-11-21,6,150
Sonoran Central,SCC,2019-11-21,7,151
Sonoran Central,SCC,2019-11-21,8,152
Sonoran Central,SCC,2019-11-21,9,153
Sonoran Central,SCC,2019-11-21,10,154
Sonoran Central,SCC,2019-11-21,11,155
Sonoran Central,SCC,2019-11-21,12,156
Sonoran Central,SCC,2019-11-21,13,157
Sonoran Central,SCC,2019-11-21,14,158
Sonoran Central,SCC,2019-11-21,15,159
Sonoran Central,SCC,2019-11-21,16,160
Sonoran Central,SCC,2019-11-21,17,161
Sonoran Central,SCC,2019-11-21,18,162
Sonoran Central,SCC,2019-11-21,19,163
Sonoran Central,SCC,2019-11-21,20,164
Sonoran Central,SCC,2019-11-21,21,165
Sonoran Central,SCC,2019-11-21,22,166
Sonoran Central,SCC,2019-11-21,23,167
Sonoran Central,SCC,2019-11-21,24,168
Sonoran Central,SCC,2019-11-21,25,169
Sonoran Central,SCC,2019-11-21,26,170
Sonoran Central,SCC,2019-11-21,27,171
Sonoran Central,SCC,2019-11-21,28,172
Sonoran Central,SCC,2019-11-21,29,173
Sonoran Central,SCC,2019-11-21,30,174
Sonoran Central,SCC,2019-11-21,31,175
Sonoran Central,SCC,2019-11-21,32,176
Sonoran Central,SCC,2019-11-21,33,177
Sonoran Central,SCC,2019-11-21,34,178
Sonoran Central,SCC,2019-11-21,35,179
Sonoran Central,SCC,2019-11-21,36,180
Sonoran Central,Pleasant,2019-12-19,1,181
Sonoran Central,Pleasant,2019-12-19,2,182
Sonoran Central,Pleasant,2019-12-19,3,183
Sonoran Central,Pleasant,2019-12-19,4,184
Sonoran Central,Pleasant,2019-12-19,5,185
Sonoran Central,Pleasant,2019-12-19,6,186
Sonoran Central,Pleasant,2019-12-19,7,187
Sonoran Central,Pleasant,2019-12-19,8,188
Sonoran Central,Pleasant,2019-12-19,9,189
Sonoran Central,Pleasant,2019-12-19,10,190
Sonoran Central,Pleasant,2019-12-19,11,191
Sonoran Central,Pleasant,2019-12-19,12,192
Sonoran Central,Pleasant,2019-12-19,13,193
Sonoran Central,Pleasant,2019-12-19,14,194
Sonoran Central,Pleasant,2019-12-19,15,195
Sonoran Central,Pleasant,2019-12-19,16,196
Sonoran Central,Pleasant,2019-12-19,17,197
Sonoran Central,Pleasant,2019-12-19,18,198
Sonoran Central,Pleasant,2019-12-19,19,199
Sonoran Central,Pleasant,2019-12-19,20,200
Sonoran Central,Pleasant,2019-12-19,21,201
Sonoran Central,Pleasant,2019-12-19,22,202
Sonoran Central,Pleasant,2019-12-19,23,203
Sonoran Central,Pleasant,2019-12-19,24,204
Sonoran Central,Pleasant,2019-12-19,25,205
Sonoran Central,Pleasant,2019-12-19,26,206
Sonoran Central,Pleasant,2019-12-19,27,207
Sonoran Central,Pleasant,2019-12-19,28,208
Sonoran Central,Pleasant,2019-12-19,29,209
Sonoran Central,Pleasant,2019-12-19,30,210
Sonoran Central,Pleasant,2019-12-19,31,211
Sonoran Central,Pleasant,2019-12-19,32,212
Sonoran Central,Pleasant,2019-12-19,33,213
Sonoran Central,Pleasant,2019-12-19,34,214
Sonoran Central,Pleasant,2019-12-19,35,215
Sonoran Central,Pleasant,2019-12-19,36,216
