Code,n,perc_freq,Frequency,Plant,Plot,mix,Type
GILSPP.SRER,21,1.8229166666666667,0.018229166666666668,Native recruit,Total,NA,"Native recruit, Total"
PANSPP.SRER,21,1.8229166666666667,0.018229166666666668,Native recruit,Total,NA,"Native recruit, Total"
ACASPP.SRER,20,1.7361111111111112,0.017361111111111112,Native recruit,Total,NA,"Native recruit, Total"
CHAL11,20,1.7361111111111112,0.017361111111111112,Native recruit,Total,NA,"Native recruit, Total"
PACA6,20,1.7361111111111112,0.017361111111111112,Native recruit,Total,NA,"Native recruit, Total"
BRASPP.SRER,19,1.6493055555555556,0.016493055555555556,Native recruit,Total,NA,"Native recruit, Total"
ERDI2,19,1.6493055555555556,0.016493055555555556,Native recruit,Total,NA,"Native recruit, Total"
UNFO_S_3.SRER,19,1.6493055555555556,0.016493055555555556,Native recruit,Total,NA,"Native recruit, Total"
STMI2,18,1.5625,0.015625,Native recruit,Total,NA,"Native recruit, Total"
BOAR,17,1.4756944444444444,0.014756944444444444,Native recruit,Total,NA,"Native recruit, Total"
MAGR10,17,1.4756944444444444,0.014756944444444444,Native recruit,Total,NA,"Native recruit, Total"
ERER2,16,1.3888888888888888,0.013888888888888888,Native recruit,Total,NA,"Native recruit, Total"
LOGR4,16,1.3888888888888888,0.013888888888888888,Native recruit,Total,NA,"Native recruit, Total"
KAGR,15,1.3020833333333335,0.013020833333333336,Native recruit,Total,NA,"Native recruit, Total"
BORO2,14,1.215277777777778,0.01215277777777778,Native recruit,Total,NA,"Native recruit, Total"
CHAB2,14,1.215277777777778,0.01215277777777778,Native recruit,Total,NA,"Native recruit, Total"
CHHY3,14,1.215277777777778,0.01215277777777778,Native recruit,Total,NA,"Native recruit, Total"
MAGL3,14,1.215277777777778,0.01215277777777778,Native recruit,Total,NA,"Native recruit, Total"
SECO10,14,1.215277777777778,0.01215277777777778,Native recruit,Total,NA,"Native recruit, Total"
BOIN,13,1.128472222222222,0.01128472222222222,Native recruit,Total,NA,"Native recruit, Total"
UNGRS1.SRER,13,1.128472222222222,0.01128472222222222,Native recruit,Total,NA,"Native recruit, Total"
Unk grass.SCC,13,1.128472222222222,0.01128472222222222,Native recruit,Total,NA,"Native recruit, Total"
BOCO,12,1.0416666666666665,0.010416666666666664,Native recruit,Total,NA,"Native recruit, Total"
COCA8,12,1.0416666666666665,0.010416666666666664,Native recruit,Total,NA,"Native recruit, Total"
EVAR,12,1.0416666666666665,0.010416666666666664,Native recruit,Total,NA,"Native recruit, Total"
PLOV,12,1.0416666666666665,0.010416666666666664,Native recruit,Total,NA,"Native recruit, Total"
ANOSPP.SRER,11,0.9548611111111112,0.009548611111111112,Native recruit,Total,NA,"Native recruit, Total"
UNGRS1.Patagonia,11,0.9548611111111112,0.009548611111111112,Native recruit,Total,NA,"Native recruit, Total"
BORA,10,0.8680555555555556,0.008680555555555556,Native recruit,Total,NA,"Native recruit, Total"
CAEXE,10,0.8680555555555556,0.008680555555555556,Native recruit,Total,NA,"Native recruit, Total"
ERIOG.Pleasant,10,0.8680555555555556,0.008680555555555556,Native recruit,Total,NA,"Native recruit, Total"
LATR2,10,0.8680555555555556,0.008680555555555556,Native recruit,Total,NA,"Native recruit, Total"
BOBA2,9,0.78125,0.0078125,Native recruit,Total,NA,"Native recruit, Total"
BOCU,9,0.78125,0.0078125,Native recruit,Total,NA,"Native recruit, Total"
BOER4,9,0.78125,0.0078125,Native recruit,Total,NA,"Native recruit, Total"
CRYSPP 1.SRER,9,0.78125,0.0078125,Native recruit,Total,NA,"Native recruit, Total"
GILSPP 1.SRER,9,0.78125,0.0078125,Native recruit,Total,NA,"Native recruit, Total"
ARISPP.SRER,8,0.6944444444444444,0.006944444444444444,Native recruit,Total,NA,"Native recruit, Total"
CRYSPP 2.SRER,8,0.6944444444444444,0.006944444444444444,Native recruit,Total,NA,"Native recruit, Total"
ERIASPP.SRER,8,0.6944444444444444,0.006944444444444444,Native recruit,Total,NA,"Native recruit, Total"
POUM,8,0.6944444444444444,0.006944444444444444,Native recruit,Total,NA,"Native recruit, Total"
DICA8,7,0.607638888888889,0.00607638888888889,Native recruit,Total,NA,"Native recruit, Total"
ERLA12,7,0.607638888888889,0.00607638888888889,Native recruit,Total,NA,"Native recruit, Total"
LIBI2,7,0.607638888888889,0.00607638888888889,Native recruit,Total,NA,"Native recruit, Total"
ACHY,6,0.5208333333333333,0.005208333333333332,Native recruit,Total,NA,"Native recruit, Total"
AMDE4,6,0.5208333333333333,0.005208333333333332,Native recruit,Total,NA,"Native recruit, Total"
AMPA,6,0.5208333333333333,0.005208333333333332,Native recruit,Total,NA,"Native recruit, Total"
ARTE3,6,0.5208333333333333,0.005208333333333332,Native recruit,Total,NA,"Native recruit, Total"
CHBR,6,0.5208333333333333,0.005208333333333332,Native recruit,Total,NA,"Native recruit, Total"
CRYPT.Roosevelt,6,0.5208333333333333,0.005208333333333332,Native recruit,Total,NA,"Native recruit, Total"
BAMU,5,0.4340277777777778,0.004340277777777778,Native recruit,Total,NA,"Native recruit, Total"
CHFR3,5,0.4340277777777778,0.004340277777777778,Native recruit,Total,NA,"Native recruit, Total"
COCA5,5,0.4340277777777778,0.004340277777777778,Native recruit,Total,NA,"Native recruit, Total"
CRBA5,5,0.4340277777777778,0.004340277777777778,Native recruit,Total,NA,"Native recruit, Total"
DRCUI,5,0.4340277777777778,0.004340277777777778,Native recruit,Total,NA,"Native recruit, Total"
ERAB2,5,0.4340277777777778,0.004340277777777778,Native recruit,Total,NA,"Native recruit, Total"
ERIAS,5,0.4340277777777778,0.004340277777777778,Native recruit,Total,NA,"Native recruit, Total"
LEAU16,5,0.4340277777777778,0.004340277777777778,Native recruit,Total,NA,"Native recruit, Total"
PHDI,5,0.4340277777777778,0.004340277777777778,Native recruit,Total,NA,"Native recruit, Total"
ARPU9,4,0.3472222222222222,0.003472222222222222,Native recruit,Total,NA,"Native recruit, Total"
BOIN3,4,0.3472222222222222,0.003472222222222222,Native recruit,Total,NA,"Native recruit, Total"
BOspp.SRER,4,0.3472222222222222,0.003472222222222222,Native recruit,Total,NA,"Native recruit, Total"
PLMU3,4,0.3472222222222222,0.003472222222222222,Native recruit,Total,NA,"Native recruit, Total"
POBI,4,0.3472222222222222,0.003472222222222222,Native recruit,Total,NA,"Native recruit, Total"
PORSPP.Patagonia,4,0.3472222222222222,0.003472222222222222,Native recruit,Total,NA,"Native recruit, Total"
SINE,4,0.3472222222222222,0.003472222222222222,Native recruit,Total,NA,"Native recruit, Total"
UNFO_S_7.SRER,4,0.3472222222222222,0.003472222222222222,Native recruit,Total,NA,"Native recruit, Total"
ACMIS,3,0.26041666666666663,0.002604166666666666,Native recruit,Total,NA,"Native recruit, Total"
ANOC2,3,0.26041666666666663,0.002604166666666666,Native recruit,Total,NA,"Native recruit, Total"
ARPUspp.SRER,3,0.26041666666666663,0.002604166666666666,Native recruit,Total,NA,"Native recruit, Total"
ARWA,3,0.26041666666666663,0.002604166666666666,Native recruit,Total,NA,"Native recruit, Total"
ERISPP.Patagonia,3,0.26041666666666663,0.002604166666666666,Native recruit,Total,NA,"Native recruit, Total"
ESCAM,3,0.26041666666666663,0.002604166666666666,Native recruit,Total,NA,"Native recruit, Total"
GILSPP 2.SRER,3,0.26041666666666663,0.002604166666666666,Native recruit,Total,NA,"Native recruit, Total"
PEPA8,3,0.26041666666666663,0.002604166666666666,Native recruit,Total,NA,"Native recruit, Total"
SPAM2,3,0.26041666666666663,0.002604166666666666,Native recruit,Total,NA,"Native recruit, Total"
SPCR,3,0.26041666666666663,0.002604166666666666,Native recruit,Total,NA,"Native recruit, Total"
AMSIN,2,0.1736111111111111,0.001736111111111111,Native recruit,Total,NA,"Native recruit, Total"
BOCU/BORE/BORA.SRER,2,0.1736111111111111,0.001736111111111111,Native recruit,Total,NA,"Native recruit, Total"
BOSPP.SRER,2,0.1736111111111111,0.001736111111111111,Native recruit,Total,NA,"Native recruit, Total"
CRYPT.Preserve,2,0.1736111111111111,0.001736111111111111,Native recruit,Total,NA,"Native recruit, Total"
GNPA,2,0.1736111111111111,0.001736111111111111,Native recruit,Total,NA,"Native recruit, Total"
MENSPP.Patagonia,2,0.1736111111111111,0.001736111111111111,Native recruit,Total,NA,"Native recruit, Total"
PAMI5,2,0.1736111111111111,0.001736111111111111,Native recruit,Total,NA,"Native recruit, Total"
SPEC2,2,0.1736111111111111,0.001736111111111111,Native recruit,Total,NA,"Native recruit, Total"
UNFO_P_2.Patagonia,2,0.1736111111111111,0.001736111111111111,Native recruit,Total,NA,"Native recruit, Total"
UNFO_P_4.Patagonia,2,0.1736111111111111,0.001736111111111111,Native recruit,Total,NA,"Native recruit, Total"
UNFO_S_4.SRER,2,0.1736111111111111,0.001736111111111111,Native recruit,Total,NA,"Native recruit, Total"
UNGRS3.Patagonia,2,0.1736111111111111,0.001736111111111111,Native recruit,Total,NA,"Native recruit, Total"
UNGR_S_1.SRER,2,0.1736111111111111,0.001736111111111111,Native recruit,Total,NA,"Native recruit, Total"
ABPA3,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
ANCR2,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
ARISPP.Patagonia,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
ARNE2,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
ASTSPP.SRER,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
BOCU/BOER4.SRER,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
BOspp.Patagonia,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
CALSPP.Patagonia,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
CHME5,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
CHVI4,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
CRYSPP2.SRER,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
DINE2,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
ERDED4,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
ERPO4,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
FESSPP.SRER,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
GLGO,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
KRLA2,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
LAGL5,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
LEPSPP.Pleasant,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
LETH2,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
MILI5,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
PHYSR.Pleasant,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
PLJAspp.SRER,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
POSE,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
PROACASPP.Patagonia,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
PRVE,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
SIDSPP.Patagonia,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
SORO,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
TRPI,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
UNFO_P_5.Patagonia,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
UNGR-2.SRER,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
UNGR1.SRER,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
UNGR_P_1.Patagonia,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
UNGR_S_2.SRER,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
UNSHR-1.Patagonia,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
Unk dark.Preserve,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
VEPE2,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
VEPEX2,1,0.08680555555555555,8.680555555555555e-4,Native recruit,Total,NA,"Native recruit, Total"
LOAR12,91,25.27777777777778,0.25277777777777777,Native recruit,Wetter,NA,"Native recruit, Wetter"
LAGR10,65,18.055555555555554,0.18055555555555552,Native recruit,Wetter,NA,"Native recruit, Wetter"
PLPR3,62,17.22222222222222,0.17222222222222222,Native recruit,Wetter,NA,"Native recruit, Wetter"
LOHU2,61,16.944444444444446,0.16944444444444445,Native recruit,Wetter,NA,"Native recruit, Wetter"
PSCA11,50,13.88888888888889,0.1388888888888889,Native recruit,Wetter,NA,"Native recruit, Wetter"
CHPO12,49,13.61111111111111,0.1361111111111111,Native recruit,Wetter,NA,"Native recruit, Wetter"
VUOC,46,12.777777777777777,0.12777777777777777,Native recruit,Wetter,NA,"Native recruit, Wetter"
DICA14,41,11.38888888888889,0.11388888888888889,Native recruit,Wetter,NA,"Native recruit, Wetter"
PERE,39,10.833333333333334,0.10833333333333334,Native recruit,Wetter,NA,"Native recruit, Wetter"
GIST,35,9.722222222222223,0.09722222222222224,Native recruit,Wetter,NA,"Native recruit, Wetter"
MEAL6,32,8.88888888888889,0.08888888888888889,Native recruit,Wetter,NA,"Native recruit, Wetter"
PEHE,31,8.61111111111111,0.08611111111111111,Native recruit,Wetter,NA,"Native recruit, Wetter"
ESCA2,29,8.055555555555555,0.08055555555555555,Native recruit,Wetter,NA,"Native recruit, Wetter"
LUCO,27,7.5,0.075,Native recruit,Wetter,NA,"Native recruit, Wetter"
CRAN4,26,7.222222222222221,0.07222222222222222,Native recruit,Wetter,NA,"Native recruit, Wetter"
PLAR,24,6.666666666666667,0.06666666666666667,Native recruit,Wetter,NA,"Native recruit, Wetter"
DEPI,22,6.111111111111111,0.06111111111111111,Native recruit,Wetter,NA,"Native recruit, Wetter"
LOSQ,22,6.111111111111111,0.06111111111111111,Native recruit,Wetter,NA,"Native recruit, Wetter"
ARAD,21,5.833333333333333,0.05833333333333333,Native recruit,Wetter,NA,"Native recruit, Wetter"
MOVE,20,5.555555555555555,0.05555555555555555,Native recruit,Wetter,NA,"Native recruit, Wetter"
PEPL,20,5.555555555555555,0.05555555555555555,Native recruit,Wetter,NA,"Native recruit, Wetter"
STGN,20,5.555555555555555,0.05555555555555555,Native recruit,Wetter,NA,"Native recruit, Wetter"
PLPA2,19,5.277777777777778,0.05277777777777778,Native recruit,Wetter,NA,"Native recruit, Wetter"
ERPA11,18,5,0.05,Native recruit,Wetter,NA,"Native recruit, Wetter"
CRCO34,17,4.722222222222222,0.04722222222222222,Native recruit,Wetter,NA,"Native recruit, Wetter"
MONU,17,4.722222222222222,0.04722222222222222,Native recruit,Wetter,NA,"Native recruit, Wetter"
ASNU4,16,4.444444444444445,0.044444444444444446,Native recruit,Wetter,NA,"Native recruit, Wetter"
BOAR,16,4.444444444444445,0.044444444444444446,Native recruit,Wetter,NA,"Native recruit, Wetter"
CACI2,15,4.166666666666666,0.04166666666666666,Native recruit,Wetter,NA,"Native recruit, Wetter"
LOSTT,14,3.888888888888889,0.03888888888888889,Native recruit,Wetter,NA,"Native recruit, Wetter"
MAGL3,14,3.888888888888889,0.03888888888888889,Native recruit,Wetter,NA,"Native recruit, Wetter"
BOIN,13,3.6111111111111107,0.03611111111111111,Native recruit,Wetter,NA,"Native recruit, Wetter"
CRYSPP.SRER,13,3.6111111111111107,0.03611111111111111,Native recruit,Wetter,NA,"Native recruit, Wetter"
SIAN2,13,3.6111111111111107,0.03611111111111111,Native recruit,Wetter,NA,"Native recruit, Wetter"
Unk grass.SCC,13,3.6111111111111107,0.03611111111111111,Native recruit,Wetter,NA,"Native recruit, Wetter"
BOCO,9,2.5,0.025,Native recruit,Wetter,NA,"Native recruit, Wetter"
BORO2,9,2.5,0.025,Native recruit,Wetter,NA,"Native recruit, Wetter"
DAPU7,9,2.5,0.025,Native recruit,Wetter,NA,"Native recruit, Wetter"
AMMEI2,8,2.2222222222222223,0.022222222222222223,Native recruit,Wetter,NA,"Native recruit, Wetter"
BOUSPP.SRER,8,2.2222222222222223,0.022222222222222223,Native recruit,Wetter,NA,"Native recruit, Wetter"
CHHY3,8,2.2222222222222223,0.022222222222222223,Native recruit,Wetter,NA,"Native recruit, Wetter"
AMCO3,6,1.6666666666666667,0.016666666666666666,Native recruit,Wetter,NA,"Native recruit, Wetter"
DAPU3,6,1.6666666666666667,0.016666666666666666,Native recruit,Wetter,NA,"Native recruit, Wetter"
COCA5,5,1.3888888888888888,0.013888888888888888,Native recruit,Wetter,NA,"Native recruit, Wetter"
ERIAS,5,1.3888888888888888,0.013888888888888888,Native recruit,Wetter,NA,"Native recruit, Wetter"
LEAU16,5,1.3888888888888888,0.013888888888888888,Native recruit,Wetter,NA,"Native recruit, Wetter"
PHDI,5,1.3888888888888888,0.013888888888888888,Native recruit,Wetter,NA,"Native recruit, Wetter"
BAMU,4,1.1111111111111112,0.011111111111111112,Native recruit,Wetter,NA,"Native recruit, Wetter"
HAPAA,4,1.1111111111111112,0.011111111111111112,Native recruit,Wetter,NA,"Native recruit, Wetter"
LELA,4,1.1111111111111112,0.011111111111111112,Native recruit,Wetter,NA,"Native recruit, Wetter"
PORSPP.Patagonia,4,1.1111111111111112,0.011111111111111112,Native recruit,Wetter,NA,"Native recruit, Wetter"
AMPA,3,0.8333333333333334,0.008333333333333333,Native recruit,Wetter,NA,"Native recruit, Wetter"
ARPU9,3,0.8333333333333334,0.008333333333333333,Native recruit,Wetter,NA,"Native recruit, Wetter"
ERISPP.Patagonia,3,0.8333333333333334,0.008333333333333333,Native recruit,Wetter,NA,"Native recruit, Wetter"
LIBI2,3,0.8333333333333334,0.008333333333333333,Native recruit,Wetter,NA,"Native recruit, Wetter"
POBI,3,0.8333333333333334,0.008333333333333333,Native recruit,Wetter,NA,"Native recruit, Wetter"
ACHY,2,0.5555555555555556,0.005555555555555556,Native recruit,Wetter,NA,"Native recruit, Wetter"
BOBA2,2,0.5555555555555556,0.005555555555555556,Native recruit,Wetter,NA,"Native recruit, Wetter"
BOIN3,2,0.5555555555555556,0.005555555555555556,Native recruit,Wetter,NA,"Native recruit, Wetter"
CAEXE,2,0.5555555555555556,0.005555555555555556,Native recruit,Wetter,NA,"Native recruit, Wetter"
CRYPT.Roosevelt,2,0.5555555555555556,0.005555555555555556,Native recruit,Wetter,NA,"Native recruit, Wetter"
ESCAM,2,0.5555555555555556,0.005555555555555556,Native recruit,Wetter,NA,"Native recruit, Wetter"
GNPA,2,0.5555555555555556,0.005555555555555556,Native recruit,Wetter,NA,"Native recruit, Wetter"
KAGR,2,0.5555555555555556,0.005555555555555556,Native recruit,Wetter,NA,"Native recruit, Wetter"
PLMU3,2,0.5555555555555556,0.005555555555555556,Native recruit,Wetter,NA,"Native recruit, Wetter"
SPCR,2,0.5555555555555556,0.005555555555555556,Native recruit,Wetter,NA,"Native recruit, Wetter"
SPEC2,2,0.5555555555555556,0.005555555555555556,Native recruit,Wetter,NA,"Native recruit, Wetter"
ABPA3,1,0.2777777777777778,0.002777777777777778,Native recruit,Wetter,NA,"Native recruit, Wetter"
AMDE4,1,0.2777777777777778,0.002777777777777778,Native recruit,Wetter,NA,"Native recruit, Wetter"
ARISPP.Patagonia,1,0.2777777777777778,0.002777777777777778,Native recruit,Wetter,NA,"Native recruit, Wetter"
CHBR,1,0.2777777777777778,0.002777777777777778,Native recruit,Wetter,NA,"Native recruit, Wetter"
CRYPT.Preserve,1,0.2777777777777778,0.002777777777777778,Native recruit,Wetter,NA,"Native recruit, Wetter"
DICA8,1,0.2777777777777778,0.002777777777777778,Native recruit,Wetter,NA,"Native recruit, Wetter"
DRCUI,1,0.2777777777777778,0.002777777777777778,Native recruit,Wetter,NA,"Native recruit, Wetter"
ERPO4,1,0.2777777777777778,0.002777777777777778,Native recruit,Wetter,NA,"Native recruit, Wetter"
GLGO,1,0.2777777777777778,0.002777777777777778,Native recruit,Wetter,NA,"Native recruit, Wetter"
KRLA2,1,0.2777777777777778,0.002777777777777778,Native recruit,Wetter,NA,"Native recruit, Wetter"
LAGL5,1,0.2777777777777778,0.002777777777777778,Native recruit,Wetter,NA,"Native recruit, Wetter"
LATR2,1,0.2777777777777778,0.002777777777777778,Native recruit,Wetter,NA,"Native recruit, Wetter"
LETH2,1,0.2777777777777778,0.002777777777777778,Native recruit,Wetter,NA,"Native recruit, Wetter"
PEPA8,1,0.2777777777777778,0.002777777777777778,Native recruit,Wetter,NA,"Native recruit, Wetter"
PROACASPP.Patagonia,1,0.2777777777777778,0.002777777777777778,Native recruit,Wetter,NA,"Native recruit, Wetter"
SECO10,1,0.2777777777777778,0.002777777777777778,Native recruit,Wetter,NA,"Native recruit, Wetter"
SORO,1,0.2777777777777778,0.002777777777777778,Native recruit,Wetter,NA,"Native recruit, Wetter"
SPAM2,1,0.2777777777777778,0.002777777777777778,Native recruit,Wetter,NA,"Native recruit, Wetter"
TRPI,1,0.2777777777777778,0.002777777777777778,Native recruit,Wetter,NA,"Native recruit, Wetter"
Unk dark.Preserve,1,0.2777777777777778,0.002777777777777778,Native recruit,Wetter,NA,"Native recruit, Wetter"
VEPE2,1,0.2777777777777778,0.002777777777777778,Native recruit,Wetter,NA,"Native recruit, Wetter"
VEPEX2,1,0.2777777777777778,0.002777777777777778,Native recruit,Wetter,NA,"Native recruit, Wetter"
LOHU2,192,24.242424242424242,0.24242424242424243,Native recruit,Drier,NA,"Native recruit, Drier"
LOAR12,149,18.81313131313131,0.18813131313131312,Native recruit,Drier,NA,"Native recruit, Drier"
CHPO12,124,15.656565656565657,0.15656565656565657,Native recruit,Drier,NA,"Native recruit, Drier"
AMCO3,110,13.88888888888889,0.1388888888888889,Native recruit,Drier,NA,"Native recruit, Drier"
PLAR,107,13.51010101010101,0.1351010101010101,Native recruit,Drier,NA,"Native recruit, Drier"
PERE,106,13.383838383838384,0.13383838383838384,Native recruit,Drier,NA,"Native recruit, Drier"
VUOC,85,10.732323232323232,0.10732323232323232,Native recruit,Drier,NA,"Native recruit, Drier"
CRYSPP.SRER,81,10.227272727272728,0.10227272727272728,Native recruit,Drier,NA,"Native recruit, Drier"
PEPL,73,9.217171717171716,0.09217171717171717,Native recruit,Drier,NA,"Native recruit, Drier"
PLPA2,68,8.585858585858585,0.08585858585858584,Native recruit,Drier,NA,"Native recruit, Drier"
