Site,CodeOriginal,DuplicateNum,Code,Name,Native,Duration,Lifeform,Region
SRER,UNFO_S_4,NA,UNFO_S_4.SRER,"Unknown forb; Super tiny, very spikey, pinately lobed, possible cryptantha or plagiobothrys (Spring 2021), SRER",Unknown,Unknown,Forb,Sonoran SE
SRER,UNFO_S_5,NA,UNFO_S_5.SRER,"Unknown forb; Silky hairy fuzzy, straight leaves, no prominent veination, pseudognaphalium? (Spring 2021), SRER",Unknown,Unknown,Forb,Sonoran SE
SRER,UNFO_S_7,NA,UNFO_S_7.SRER,"Unknown forb; ""artichoke head"", stem leaves alternate, basal rosette, possibly cryptantha? (Spring 2021), SRER",Unknown,Unknown,Forb,Sonoran SE
29_Palms,UNFO1,NA,UNFO1.29_Palms,"Unknown forb 1, 29_Palms",Unknown,Unknown,Forb,Mojave
AguaFria,UNFO1,NA,UNFO1.AguaFria,"Unknown forb 1, AguaFria",Unknown,Unknown,Forb,Colorado Plateau
BabbittPJ,UNFO1,NA,UNFO1.BabbittPJ,"Unknown forb 1, BabbittPJ",Native,Unknown,Forb,Colorado Plateau
FlyingM,UNFO1,NA,UNFO1.FlyingM,"Unknown forb 1, FlyingM",Unknown,Unknown,Forb,Colorado Plateau
MOWE,UNFO1,NA,UNFO1.MOWE,"Unknown forb 1, MOWE",Unknown,Unknown,Forb,Colorado Plateau
Patagonia,UNFO1,NA,UNFO1.Patagonia,"Unknown forb (Patagonia and SRER are same); upright mustard with tiny blueish flower, Patagonia",Unknown,Unknown,Forb,Sonoran SE
PEFO,UNFO1,NA,UNFO1.PEFO,"Unknown forb 1, PEFO",Unknown,Unknown,Forb,Colorado Plateau
SRER,UNFO1,NA,UNFO1.SRER,"Unknown forb (Patagonia and SRER are same); upright mustard with tiny blueish flower, SRER",Unknown,Unknown,Forb,Sonoran SE
TLE,UNFO1,NA,UNFO1.TLE,"Unknown forb 1, TLE",Unknown,Unknown,Forb,Colorado Plateau
UtahPJ,UNFO10,NA,UNFO10.UtahPJ,"Unknown forb 10, UtahPJ",Unknown,Unknown,Forb,Utah
UtahPJ,UNFO11,NA,UNFO11.UtahPJ,"Unknown forb 11, UtahPJ",Unknown,Unknown,Forb,Utah
BarTBar,UNFO12,NA,UNFO12.BarTBar,"Unknown forb 12, BarTBar",Unknown,Unknown,Forb,Colorado Plateau
BarTBar,UNFO13,NA,UNFO13.BarTBar,"Unknown forb 13, BarTBar",Unknown,Unknown,Forb,Colorado Plateau
FlyingM,UNFO13,NA,UNFO13.FlyingM,"Unknown forb 13, FlyingM",Unknown,Unknown,Forb,Colorado Plateau
BarTBar,UNFO14,NA,UNFO14.BarTBar,"Unknown forb 14, BarTBar",Unknown,Unknown,Forb,Colorado Plateau
BarTBar,UNFO15,NA,UNFO15.BarTBar,"Unknown forb 15, BarTBar",Unknown,Unknown,Forb,Colorado Plateau
BarTBar,UNFO16,NA,UNFO16.BarTBar,"Unknown forb 16, BarTBar",Unknown,Unknown,Forb,Colorado Plateau
BarTBar,UNFO18,NA,UNFO18.BarTBar,"Unknown forb 18, BarTBar",Unknown,Unknown,Forb,Colorado Plateau
Patagonia,UNFO1A,NA,UNFO1A.Patagonia,"Unknown forb (Patagonia, Nov 2019) = Darker Green, 5 petals radiating out, Patagonia",Unknown,Unknown,Forb,Sonoran SE
29_Palms,UNFO2,NA,UNFO2.29_Palms,"Unknown forb 2, 29_Palms",Unknown,Unknown,Forb,Mojave
AguaFria,UNFO2,NA,UNFO2.AguaFria,"Unknown forb 2, AguaFria",Unknown,Unknown,Forb,Colorado Plateau
CRC,UNFO2,NA,UNFO2.CRC,"Unknown forb 2, CRC",Unknown,Unknown,Forb,Utah
FlyingM,UNFO2,NA,UNFO2.FlyingM,"Unknown forb 2, FlyingM",Unknown,Unknown,Forb,Colorado Plateau
MOWE,UNFO2,NA,UNFO2.MOWE,"Unknown forb 2, MOWE",Unknown,Unknown,Forb,Colorado Plateau
Patagonia,UNFO2,NA,UNFO2.Patagonia,"Unknown forb (Patagonia); low to ground, succulenty, tiny white flowers, similar to purslane, Patagonia",Unknown,Unknown,Forb,Sonoran SE
PEFO,UNFO2,NA,UNFO2.PEFO,"Unknown forb 2, PEFO",Unknown,Unknown,Forb,Colorado Plateau
Spiderweb,UNFO2,NA,UNFO2.Spiderweb,"Unknown forb 2, Spiderweb",Native,Unknown,Forb,Colorado Plateau
TLE,UNFO2,NA,UNFO2.TLE,"Unknown forb 2, TLE",Unknown,Unknown,Forb,Colorado Plateau
UtahPJ,UNFO2,NA,UNFO2.UtahPJ,"Unknown forb 2, UtahPJ",Unknown,Unknown,Forb,Utah
AVRCD,UNFO2A,NA,UNFO2A.AVRCD,"Unknown forb 2A, AVRCD",Unknown,Unknown,Forb,Mojave
AguaFria,UNFO3,NA,UNFO3.AguaFria,"Unknown forb 3, AguaFria",Unknown,Unknown,Forb,Colorado Plateau
BarTBar,UNFO3,NA,UNFO3.BarTBar,"Unknown forb 3, BarTBar",Unknown,Unknown,Forb,Colorado Plateau
CRC,UNFO3,NA,UNFO3.CRC,"Unknown forb 3, CRC",Unknown,Unknown,Forb,Utah
FlyingM,UNFO3,NA,UNFO3.FlyingM,"Unknown forb 3, FlyingM",Unknown,Unknown,Forb,Colorado Plateau
Patagonia,UNFO3,NA,UNFO3.Patagonia,"Unknown forb (Patagonia); upright mustard with small pods and tiny yellow flowers, Patagonia",Unknown,Unknown,Forb,Sonoran SE
Spiderweb,UNFO3,NA,UNFO3.Spiderweb,"Unknown forb 3, Spiderweb",Unknown,Unknown,Forb,Colorado Plateau
SRER,UNFO3,NA,UNFO3.SRER,"Unknown forb (SRER); tiny reddish basal leaves, star-like petals, SRER",Unknown,Unknown,Forb,Sonoran SE
UtahPJ,UNFO3,NA,UNFO3.UtahPJ,"Unknown forb 3, UtahPJ",Unknown,Unknown,Forb,Utah
AguaFria,UNFO4,NA,UNFO4.AguaFria,"Unknown forb 4, AguaFria",Unknown,Unknown,Forb,Colorado Plateau
BarTBar,UNFO4,NA,UNFO4.BarTBar,"Unknown forb 4, BarTBar",Unknown,Unknown,Forb,Colorado Plateau
FlyingM,UNFO4,NA,UNFO4.FlyingM,"Unknown forb 4, FlyingM",Unknown,Unknown,Forb,Colorado Plateau
MOWE,UNFO4,NA,UNFO4.MOWE,"Unknown forb 4, MOWE",Unknown,Unknown,Forb,Colorado Plateau
Salt_Desert,UNFO4,NA,UNFO4.Salt_Desert,"Unknown forb 4, Salt_Desert",Unknown,Unknown,Forb,Utah
