Region,Site,Date_Seeded,Date_Monitored,Plot,Treatment,PlotMix,SiteDatePlotID,SiteDateID,CodeOriginal,Code,Name,Native,Duration,Lifeform,SpeciesSeeded,ObsSource,PlantSource
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,206,ConMod,Warm,5699,1,DAPU7,DAPU7,Dasyochloa pulchella,Native,Perennial,Grass,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,206,ConMod,Warm,5699,1,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,207,Pits,Medium,5700,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,207,Pits,Medium,5700,1,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,208,Pits,Medium,5701,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,208,Pits,Medium,5701,1,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,209,ConMod,Warm,5702,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,209,ConMod,Warm,5702,1,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,210,Seed,Warm,5703,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,211,ConMod,Medium,5704,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,212,Pits,Medium,5705,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,212,Pits,Medium,5705,1,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,213,Seed,Medium,5706,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,213,Seed,Medium,5706,1,BAAB,BAAB,Bahia absinthifolia,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,213,Seed,Medium,5706,1,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,214,Control,None,5707,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,214,Control,None,5707,1,ACCH,ACCH.Creosote,"Unknown ACCH, Creosote",Unknown,Unknown,Unknown,No,2x2,Unknown_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,214,Control,None,5707,1,BAAB,BAAB,Bahia absinthifolia,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,214,Control,None,5707,1,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,215,Pits,Warm,5708,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,215,Pits,Warm,5708,1,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,216,Control,None,5709,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,216,Control,None,5709,1,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,217,Mulch,Warm,5710,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,217,Mulch,Warm,5710,1,ACNA2,ACNA2,Acourtia nana,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,217,Mulch,Warm,5710,1,BOBAB3,BOBAB3,Bouteloua barbata v. barbata,Native,Annual,Grass,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,217,Mulch,Warm,5710,1,BOERH2,BOERH2,Boerhavia,Native,Unknown,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,217,Mulch,Warm,5710,1,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,218,ConMod,Warm,5711,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,219,Pits,Warm,5712,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,220,ConMod,Medium,5713,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,220,ConMod,Medium,5713,1,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,221,Mulch,Medium,5714,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,221,Mulch,Medium,5714,1,ACCH,ACCH.Creosote,"Unknown ACCH, Creosote",Unknown,Unknown,Unknown,No,2x2,Unknown_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,221,Mulch,Medium,5714,1,BAAB,BAAB,Bahia absinthifolia,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,221,Mulch,Medium,5714,1,DAPU7,DAPU7,Dasyochloa pulchella,Native,Perennial,Grass,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,221,Mulch,Medium,5714,1,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,222,Seed,Warm,5715,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,222,Seed,Warm,5715,1,ACCH,ACCH.Creosote,"Unknown ACCH, Creosote",Unknown,Unknown,Unknown,No,2x2,Unknown_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,222,Seed,Warm,5715,1,BAAB,BAAB,Bahia absinthifolia,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,222,Seed,Warm,5715,1,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,223,Seed,Medium,5716,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,223,Seed,Medium,5716,1,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,224,Mulch,Medium,5717,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,224,Mulch,Medium,5717,1,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,225,ConMod,Warm,5718,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,226,Pits,Warm,5719,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,226,Pits,Warm,5719,1,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,227,Seed,Medium,5720,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,227,Seed,Medium,5720,1,BAAB,BAAB,Bahia absinthifolia,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,227,Seed,Medium,5720,1,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,228,Mulch,Warm,5721,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,228,Mulch,Warm,5721,1,ACCH,ACCH.Creosote,"Unknown ACCH, Creosote",Unknown,Unknown,Unknown,No,2x2,Unknown_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,228,Mulch,Warm,5721,1,BAAB,BAAB,Bahia absinthifolia,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,228,Mulch,Warm,5721,1,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,229,Seed,Medium,5722,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,229,Seed,Medium,5722,1,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,230,Control,None,5723,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,230,Control,None,5723,1,ACCH,ACCH.Creosote,"Unknown ACCH, Creosote",Unknown,Unknown,Unknown,No,2x2,Unknown_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,230,Control,None,5723,1,BAAB,BAAB,Bahia absinthifolia,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,230,Control,None,5723,1,BOERH2,BOERH2,Boerhavia,Native,Unknown,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,231,Seed,Warm,5724,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,231,Seed,Warm,5724,1,ACCH,ACCH.Creosote,"Unknown ACCH, Creosote",Unknown,Unknown,Unknown,No,2x2,Unknown_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,231,Seed,Warm,5724,1,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,232,ConMod,Medium,5725,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,232,ConMod,Medium,5725,1,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,233,ConMod,Medium,5726,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,233,ConMod,Medium,5726,1,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,234,Pits,Medium,5727,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,234,Pits,Medium,5727,1,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,235,Mulch,Medium,5728,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-09-20T00:00:00Z,236,Pits,Medium,5729,1,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,201,ConMod,Medium,5766,3,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,202,Control,None,5767,3,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,202,Control,None,5767,3,BAAB,BAAB,Bahia absinthifolia,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,202,Control,None,5767,3,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,203,Mulch,Medium,5768,3,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,203,Mulch,Medium,5768,3,BOERH2,BOERH2,Boerhavia,Native,Unknown,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,203,Mulch,Medium,5768,3,CHAMA,CHAMA.Creosote,"Chamaesyce spp., Creosote",Native,Unknown,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,203,Mulch,Medium,5768,3,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,204,Seed,Warm,5769,3,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,204,Seed,Warm,5769,3,BAAB,BAAB,Bahia absinthifolia,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,204,Seed,Warm,5769,3,IPLO2,IPLO2,Ipomopsis longiflora,Native,Annual,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,204,Seed,Warm,5769,3,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,205,Mulch,Warm,5770,3,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,205,Mulch,Warm,5770,3,BOERH2,BOERH2,Boerhavia,Native,Unknown,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,205,Mulch,Warm,5770,3,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,206,ConMod,Warm,5771,3,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,206,ConMod,Warm,5771,3,BAAB,BAAB,Bahia absinthifolia,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,207,Pits,Medium,5772,3,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,208,Pits,Medium,5773,3,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,209,ConMod,Warm,5774,3,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,210,Seed,Warm,5775,3,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,211,ConMod,Medium,5776,3,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,211,ConMod,Medium,5776,3,BAAB,BAAB,Bahia absinthifolia,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,212,Pits,Medium,5777,3,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,213,Seed,Medium,5778,3,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,213,Seed,Medium,5778,3,ACNA2,ACNA2,Acourtia nana,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,213,Seed,Medium,5778,3,BAAB,BAAB,Bahia absinthifolia,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,213,Seed,Medium,5778,3,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,214,Control,None,5779,3,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,214,Control,None,5779,3,BAAB,BAAB,Bahia absinthifolia,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,214,Control,None,5779,3,IPLO2,IPLO2,Ipomopsis longiflora,Native,Annual,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,215,Pits,Warm,5780,3,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,216,Control,None,5781,3,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,216,Control,None,5781,3,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,217,Mulch,Warm,5782,3,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,217,Mulch,Warm,5782,3,ACNA2,ACNA2,Acourtia nana,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,217,Mulch,Warm,5782,3,BAAB,BAAB,Bahia absinthifolia,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,217,Mulch,Warm,5782,3,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,218,ConMod,Warm,5783,3,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,218,ConMod,Warm,5783,3,ACNA2,ACNA2,Acourtia nana,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,218,ConMod,Warm,5783,3,IPLO2,IPLO2,Ipomopsis longiflora,Native,Annual,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,218,ConMod,Warm,5783,3,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,219,Pits,Warm,5784,3,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,219,Pits,Warm,5784,3,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,220,ConMod,Medium,5785,3,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,220,ConMod,Medium,5785,3,IPLO2,IPLO2,Ipomopsis longiflora,Native,Annual,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,221,Mulch,Medium,5786,3,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,221,Mulch,Medium,5786,3,BAAB,BAAB,Bahia absinthifolia,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,221,Mulch,Medium,5786,3,DAPU7,DAPU7,Dasyochloa pulchella,Native,Perennial,Grass,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,221,Mulch,Medium,5786,3,IPLO2,IPLO2,Ipomopsis longiflora,Native,Annual,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,221,Mulch,Medium,5786,3,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,222,Seed,Warm,5787,3,0,0,0,0,0,0,0,subplot,0
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,222,Seed,Warm,5787,3,BAAB,BAAB,Bahia absinthifolia,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,222,Seed,Warm,5787,3,DAPU7,DAPU7,Dasyochloa pulchella,Native,Perennial,Grass,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,222,Seed,Warm,5787,3,IPLO2,IPLO2,Ipomopsis longiflora,Native,Annual,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,222,Seed,Warm,5787,3,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No,2x2,Native_recruit
Chihuahuan,Creosote,2020-08-05T00:00:00Z,2020-10-29T00:00:00Z,223,Seed,Medium,5788,3,0,0,0,0,0,0,0,subplot,0
