CodeOriginal,Name,Region,Site,Duration,Lifeform,Code,Native
UNGR_P_1,"Unknown grass; Possibly small ARIsp. (Spring 2021), Patagonia",Sonoran SE,Patagonia,Unknown,Grass,UNGR_P_1.Patagonia,Unknown
UNGR_S_1,"Unknown grass; Grass seedling short erose ligule slight chance ARPU because of 45 degree leaf or possibly a Vulpia sp. like VUOC (Spring 2021), SRER",Sonoran SE,SRER,Unknown,Grass,UNGR_S_1.SRER,Unknown
UNGR_S_2,"Unknown grass; Possibly a BOCU or another Bouteloua (Spring 2021), SRER",Sonoran SE,SRER,Unknown,Grass,UNGR_S_2.SRER,Native
UNGR1,"Unknown grass 1, AguaFria",Colorado Plateau,AguaFria,Unknown,Grass,UNGR1.AguaFria,Native
UNGR1,"Unknown grass 1, BabbittPJ",Colorado Plateau,BabbittPJ,Unknown,Grass,UNGR1.BabbittPJ,Native
UNGR1,"Unknown grass 1, FlyingM",Colorado Plateau,FlyingM,Unknown,Grass,UNGR1.FlyingM,Unknown
UNGR1,"Unknown grass 1, MOWE",Colorado Plateau,MOWE,Unknown,Grass,UNGR1.MOWE,Unknown
UNGR1,"Unknown grass 1, PEFO",Colorado Plateau,PEFO,Unknown,Grass,UNGR1.PEFO,Native
UNGR1,"Unknown grass 1, Patagonia",Sonoran SE,Patagonia,Unknown,Grass,UNGR1.Patagonia,Unknown
UNGR1,"Unknown grass (SantaRita); Possibly BOER or Aristida spp (so likely unseeded), SRER",Sonoran SE,SRER,Unknown,Grass,UNGR1.SRER,Unknown
UNGR1,"Unknown grass 1, UtahPJ",Utah,UtahPJ,Unknown,Grass,UNGR1.UtahPJ,Unknown
UNGR1,"Unknown grass 1, Salt_Desert",Utah,Salt_Desert,Unknown,Grass,UNGR1.Salt_Desert,Unknown
UNGRS1,"Unknown grass (Patagonia);Unk. grass seedling, bunchy, possible lovegrass?, SRER",Sonoran SE,SRER,Unknown,Grass,UNGRS1.SRER,Unknown
UNGRS1,"Unknown grass (SRER); Small tuft grass, bouteloua like growth, heads as nodes, Patagonia",Sonoran SE,Patagonia,Unknown,Grass,UNGRS1.Patagonia,Unknown
UNGRS2,"Unknown grass (Patagonia); Unk grass seedling, leaf divided early like BOGR, possible lovegrass?, Patagonia",Sonoran SE,Patagonia,Unknown,Grass,UNGRS2.Patagonia,Unknown
UNGRS3,"Unknown grass (Patagonia); Lighter green, thin leaves, possible threeawn?, Patagonia",Sonoran SE,Patagonia,Unknown,Grass,UNGRS3.Patagonia,Unknown
UNK brown,"Unknown brown, SCC",Sonoran Central,SCC,Unknown,Unknown,UNK brown.SCC,Unknown
Unk dark,"Unknown with dark hairy leaf and dark margin; resembles BAMU, SCC",Sonoran Central,SCC,Unknown,Forb,Unk dark.SCC,Unknown
Unk grass,"Unknown likely associated with warm seed mix, SCC",Sonoran Central,SCC,Unknown,Grass,Unk grass.SCC,Unknown
unk grass 2,"Unknown grass 2, Roosevelt",Sonoran Central,Roosevelt,Unknown,Grass,unk grass 2.Roosevelt,Unknown
Unk heart,"Unknown forb with heart-shaped cotyledon; possibly MAPA5 (although that species not seen growing there), Preserve",Sonoran Central,Preserve,Unknown,Forb,Unk heart.Preserve,Unknown
UNK heart,"Unknown forb with heart-shaped cotyledon; possibly MAPA5 (although that species not seen growing there), Preserve",Sonoran Central,Preserve,Unknown,Forb,UNK heart.Preserve,Unknown
Unk sp.,"Unknown species, Pleasant",Sonoran Central,Pleasant,Unknown,Unknown,Unk sp..Pleasant,Unknown
Unk sp.,"Unknown species, SCC",Sonoran Central,SCC,Unknown,Unknown,Unk sp..SCC,Unknown
UnkATCA,"Unknown shrub; Possible Atriplex canescens, Mesquite",Chihuahuan,Mesquite,Unknown,Shrub,UnkATCA.Mesquite,Native
Unkfabaceae,"Unknown fabaceae, Creosote",Chihuahuan,Creosote,Unknown,Forb,Unkfabaceae.Creosote,Unknown
Unkforb,"Unknown forb, Creosote",Chihuahuan,Creosote,Unknown,Forb,Unkforb.Creosote,Unknown
Unkforb,"Unknown forb, Mesquite",Chihuahuan,Mesquite,Unknown,Forb,Unkforb.Mesquite,Native
Unkforb1,"Unknown forb, Creosote",Chihuahuan,Creosote,Unknown,Forb,Unkforb1.Creosote,Unknown
Unkgrass,"Unknown grass, Creosote",Chihuahuan,Creosote,Unknown,Grass,Unkgrass.Creosote,Unknown
Unkgrass,"Unknown grass, Mesquite",Chihuahuan,Mesquite,Unknown,Grass,Unkgrass.Mesquite,Native
Unkgrass2,"Unknown grass, Creosote",Chihuahuan,Creosote,Unknown,Grass,Unkgrass2.Creosote,Unknown
Unksalsola,"Unknown forb; A very small (tiny really) forb germinant that has linear leaves like a small Salsola would. Unlikely to be salsola but best way to distinguish it from other unks., Creosote",Chihuahuan,Creosote,Unknown,Forb,Unksalsola.Creosote,Unknown
Unksporo,"Unknown grass; Sporobolus and Eragrostis, Creosote",Chihuahuan,Creosote,Unknown,Grass,Unksporo.Creosote,Unknown
UNSFF,"Unknown shrubby fuzzy forb, munched down, SRER",Sonoran SE,SRER,Unknown,Grass,UNSFF.SRER,Unknown
UNSH,"Unknown shrub, BarTBar",Colorado Plateau,BarTBar,Unknown,Shrub,UNSH.BarTBar,Unknown
ATCA,"Unknown ATCA (but not Atriplex, a grass?), Mesquite",Chihuahuan,Mesquite,Unknown,Grass,ATCA.Mesquite,Native
ERIGSPP,"Unknown ERIG (?), UtahPJ",Utah,UtahPJ,Unknown,Unknown,ERIGSPP.UtahPJ,Unknown
S-UNFO2,"Seeded unknown forb 2, CRC",Utah,CRC,Unknown,Forb,S-UNFO2.CRC,Native
S-UNFO2,"Seeded unknown forb 2, Salt_Desert",Utah,Salt_Desert,Unknown,Forb,S-UNFO2.Salt_Desert,Native
S-UNGR1,"Seeded unknown grass 1, CRC",Utah,CRC,Unknown,Grass,S-UNGR1.CRC,Native
S-UNGR1,"Seeded unknown grass 1, Salt_Desert",Utah,Salt_Desert,Unknown,Grass,S-UNGR1.Salt_Desert,Native
S-UNGR2,"Seeded unknown grass 2, CRC",Utah,CRC,Unknown,Grass,S-UNGR2.CRC,Native
S-UNGR2,"Seeded unknown grass 2, Salt_Desert",Utah,Salt_Desert,Unknown,Grass,S-UNGR2.Salt_Desert,Native
S-UNGR2,"Seeded unknown grass 2, UtahPJ",Utah,UtahPJ,Unknown,Grass,S-UNGR2.UtahPJ,Native
S-UNGR3,"Seeded unknown grass 3, CRC",Utah,CRC,Unknown,Grass,S-UNGR3.CRC,Native
S-UNGR3,"Seeded unknown grass 3, Salt_Desert",Utah,Salt_Desert,Unknown,Grass,S-UNGR3.Salt_Desert,Native
S-UNGR3,"Seeded unknown grass 3, UtahPJ",Utah,UtahPJ,Unknown,Grass,S-UNGR3.UtahPJ,Native
S-UNGR4,"Seeded unknown grass 4, CRC",Utah,CRC,Unknown,Grass,S-UNGR4.CRC,Native
S-UNGR4,"Seeded unknown grass 4, UtahPJ",Utah,UtahPJ,Unknown,Grass,S-UNGR4.UtahPJ,Native
S-UNGR5,"Seeded unknown grass 5, UtahPJ",Utah,UtahPJ,Unknown,Grass,S-UNGR5.UtahPJ,Native
SUNGR,"Seeded unknown grass (?), TLE",Colorado Plateau,TLE,Unknown,Shrub,SUNGR.TLE,Native
SUNGR,"Seeded unknown grass (?), BabbittPJ",Colorado Plateau,BabbittPJ,Unknown,Shrub,SUNGR.BabbittPJ,Native
UCHEN1,"Unknown UCHEN1 (?), PEFO",Colorado Plateau,PEFO,Unknown,Unknown,UCHEN1.PEFO,Unknown
UCHEN2,"Unknown UCHEN2 (?), PEFO",Colorado Plateau,PEFO,Unknown,Unknown,UCHEN2.PEFO,Unknown
UNFO,"Unknown forb, FlyingM",Colorado Plateau,FlyingM,Unknown,Forb,UNFO.FlyingM,Native
UNFO,"Unknown forb, Spiderweb",Colorado Plateau,Spiderweb,Unknown,Forb,UNFO.Spiderweb,Native
UNFO10,"Unknown forb 10, UtahPJ",Utah,UtahPJ,Unknown,Forb,UNFO10.UtahPJ,Unknown
UNFO11,"Unknown forb 11, UtahPJ",Utah,UtahPJ,Unknown,Forb,UNFO11.UtahPJ,Unknown
UNFO12,"Unknown forb 12, BarTBar",Colorado Plateau,BarTBar,Unknown,Forb,UNFO12.BarTBar,Unknown
UNFO13,"Unknown forb 13, BarTBar",Colorado Plateau,BarTBar,Unknown,Forb,UNFO13.BarTBar,Unknown
UNFO14,"Unknown forb 14, BarTBar",Colorado Plateau,BarTBar,Unknown,Forb,UNFO14.BarTBar,Unknown
UNFO16,"Unknown forb 16, BarTBar",Colorado Plateau,BarTBar,Unknown,Forb,UNFO16.BarTBar,Unknown
UNFO2A,"Unknown forb 2A, AVRCD",Mojave,AVRCD,Unknown,Forb,UNFO2A.AVRCD,Unknown
UNFO7,"Unknown forb 7, AguaFria",Colorado Plateau,AguaFria,Unknown,Forb,UNFO7.AguaFria,Unknown
UNFO7,"Unknown forb 7, BarTBar",Colorado Plateau,BarTBar,Unknown,Forb,UNFO7.BarTBar,Unknown
UNFO7,"Unknown forb 7, FlyingM",Colorado Plateau,FlyingM,Unknown,Forb,UNFO7.FlyingM,Unknown
UNFO7,"Unknown forb 7, Spiderweb",Colorado Plateau,Spiderweb,Unknown,Forb,UNFO7.Spiderweb,Unknown
UNFO7,"Unknown forb 7, UtahPJ",Utah,UtahPJ,Unknown,Forb,UNFO7.UtahPJ,Unknown
UNFO8,"Unknown forb 8, AguaFria",Colorado Plateau,AguaFria,Unknown,Forb,UNFO8.AguaFria,Unknown
UNFO8,"Unknown forb 8, BarTBar",Colorado Plateau,BarTBar,Unknown,Forb,UNFO8.BarTBar,Unknown
UNFO8,"Unknown forb 8, Spiderweb",Colorado Plateau,Spiderweb,Unknown,Forb,UNFO8.Spiderweb,Unknown
UNFO8,"Unknown forb 8, UtahPJ",Utah,UtahPJ,Unknown,Forb,UNFO8.UtahPJ,Unknown
UNFO9,"Unknown forb 9, BarTBar",Colorado Plateau,BarTBar,Unknown,Forb,UNFO9.BarTBar,Native
UNFO9,"Unknown forb 9, UtahPJ",Utah,UtahPJ,Unknown,Forb,UNFO9.UtahPJ,Unknown
UNGR,"Unknown grass, AguaFria",Colorado Plateau,AguaFria,Unknown,Grass,UNGR.AguaFria,Native
UNGR,"Unknown grass, BabbittPJ",Colorado Plateau,BabbittPJ,Unknown,Grass,UNGR.BabbittPJ,Native
UNGR,"Unknown grass, BarTBar",Colorado Plateau,BarTBar,Unknown,Grass,UNGR.BarTBar,Native
UNGR,"Unknown grass, FlyingM",Colorado Plateau,FlyingM,Unknown,Grass,UNGR.FlyingM,Native
UNGR,"Unknown grass, MOWE",Colorado Plateau,MOWE,Unknown,Grass,UNGR.MOWE,Native
UNGR,"Unknown grass, PEFO",Colorado Plateau,PEFO,Unknown,Grass,UNGR.PEFO,Native
UNGR,"Unknown grass, Spiderweb",Colorado Plateau,Spiderweb,Unknown,Grass,UNGR.Spiderweb,Native
UNGR,"Unknown grass, TLE",Colorado Plateau,TLE,Unknown,Grass,UNGR.TLE,Native
UNGR,"Unknown grass, UtahPJ",Utah,UtahPJ,Unknown,Grass,UNGR.UtahPJ,Unknown
UNGR2,"Unknown grass 2, AguaFria",Colorado Plateau,AguaFria,Unknown,Grass,UNGR2.AguaFria,Native
UNGR2,"Unknown grass 2, MOWE",Colorado Plateau,MOWE,Unknown,Grass,UNGR2.MOWE,Native
UNGR2,"Unknown grass 2, PEFO",Colorado Plateau,PEFO,Unknown,Grass,UNGR2.PEFO,Native
UNGR2,"Unknown grass 2, UtahPJ",Utah,UtahPJ,Unknown,Grass,UNGR2.UtahPJ,Unknown
UNGR3,"Unknown grass 3, AguaFria",Colorado Plateau,AguaFria,Unknown,Grass,UNGR3.AguaFria,Native
UNGR3,"Unknown grass 3, MOWE",Colorado Plateau,MOWE,Unknown,Grass,UNGR3.MOWE,Unknown
UNGR3,"Unknown grass 3, PEFO",Colorado Plateau,PEFO,Unknown,Grass,UNGR3.PEFO,Native
UNGR3,"Unknown grass 3, UtahPJ",Utah,UtahPJ,Unknown,Grass,UNGR3.UtahPJ,Unknown
UNGR4,"Unknown grass 4, AguaFria",Colorado Plateau,AguaFria,Unknown,Grass,UNGR4.AguaFria,Unknown
UNGR4,"Unknown grass 4, MOWE",Colorado Plateau,MOWE,Unknown,Grass,UNGR4.MOWE,Unknown
UNGR4,"Unknown grass 4, Salt_Desert",Utah,Salt_Desert,Unknown,Grass,UNGR4.Salt_Desert,Unknown
UNGR4,"Unknown grass 4, UtahPJ",Utah,UtahPJ,Unknown,Grass,UNGR4.UtahPJ,Unknown
UNGR5,"Unknown grass 5, AguaFria",Colorado Plateau,AguaFria,Unknown,Grass,UNGR5.AguaFria,Unknown
UNK Fuzzy astr,"Unknown fuzzy aster, Mesquite",Chihuahuan,Mesquite,Unknown,Forb,UNK Fuzzy astr.Mesquite,Unknown
Unkaster,"Unknown aster, Mesquite",Chihuahuan,Mesquite,Unknown,Forb,Unkaster.Mesquite,Unknown
UnkForb,"Unknown forb, Mesquite",Chihuahuan,Mesquite,Unknown,Forb,UnkForb.Mesquite,Native
UnkForb1,"Unknown forb 1, Creosote",Chihuahuan,Creosote,Unknown,Forb,UnkForb1.Creosote,Unknown
UNFO.12166.assigned,"Unknown forb, code assigned because it was missing from the subplot data, Salt_Desert",Utah,Salt_Desert,Unknown,Forb,UNFO.12166.assigned.Salt_Desert,Unknown
