CodeOriginal,Code,Name,Native,Duration,Lifeform,NeedsItsDuplicate,DuplicateNum
Southwest pit has 1 BAMU and 4 small ARPUs. Northwest pit has 2 medium and 2 small ARPUs and 1 dreid up SECO. There are a few more small to medium sized ARPUs throughout,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
ASNU4,ASNU4,Astragalus nuttallianus,Native,Unknown,Forb,No,0
ASTU,ASTU,Asclepias tuberosa,Native,Perennial,Forb,No,0
Possibly a young ASTU if not seeded species cover is 0%,ASTU,Asclepias tuberosa,Native,Perennial,Forb,No,0
"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout",ASTU,Asclepias tuberosa,Native,Perennial,Forb,Yes,2
Quite a few small tp extra large BOCUs throughout along with a possible ASTU,ASTU,Asclepias tuberosa,Native,Perennial,Forb,Yes,1
ATCA,ATCA,Atriplex californica,Native,Perennial,Forb,No,0
ATCA2,ATCA2,Atriplex canescens,Native,Perennial,Shrub,No,0
ATCO,ATCO,Atriplex confertifolia,Native,Perennial,Shrub,No,0
BAAB,BAAB,Bahia absinthifolia,Native,Perennial,Forb,No,0
BAMU,BAMU,Baileya multiradiata,Native,Unknown,Forb,No,0
No new growth on the BAMU in the northeast corner yet,BAMU,Baileya multiradiata,Native,Unknown,Forb,No,0
A few ARPUs and young BOCUs mostly near/in the south half except for a smaller ARPU in the northwest and a BAMU just north of subplot,BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes,2
ARPU about 5 individuals and an individual BAMU resprouting at base,BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes,2
"ARPU many individuals, BAMU 1 individual, PLMU (2) 1 individual, ACHY (2) 1 individual",BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes,3
"Medium SECO in/near NW pit with a couple tiny seedlings scattered throughout, medium BAMU in the middle, a few small to medium/large ARPUs sprinkled throughout, possibly a small ACHY in SE section (wirey leaf blades that clasp the stem, hairs at the node, only one seed head but similar to examples)",BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes,3
Multipke medium to large ARPUs and BOCUs as well as a BAMU in the northeast corner but it doesnt have any new/living growth yet,BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes,2
Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes,2
"No new growth or green vegetation on SECO in the northwest pit but still there, there's a BAMU in the southwest pit as well, possibly ACHY in the south half of the plot, multiple medium to large sized ARPUs mostly in and/or near pits but not all",BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes,3
"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout",BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes,3
Small to medium ARPUs throughout and small/medium BAMU near the NE edge,BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes,2
Southwest pit has 1 BAMU and 4 small ARPUs. Northwest pit has 2 medium and 2 small ARPUs and 1 dreid up SECO. There are a few more small to medium sized ARPUs throughout,BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes,2
BOAR,BOAR,Bouteloua aristidoides,Native,Annual,Grass,No,0
BOBA2,BOBA2,Bouteloua barbata,Native,Annual,Grass,No,0
BOBAB3,BOBAB3,Bouteloua barbata v. barbata,Native,Annual,Grass,No,0
BOUBAR,BOBAB3,Bouteloua barbata v. barbata,Native,Annual,Grass,No,0
BOCO,BOCO,Boerhavia coccinea,Native,Perennial,Forb,No,0
1 BOCU,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,No,0
A couple medium sized BOCU potentails. One is for certain a BOCU if all are not and another Bouteloua species the seeded species cover would be TR,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,No,0
BOCU,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,No,0
BOCUs,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,No,0
"BOCUs with some new growth, green vegetation",BOCU,Bouteloua curtipendula,Native,Perennial,Grass,No,0
Couple extra large BOCUs,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,No,0
Extra large BOCU,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,No,0
Large and medium BOCUs in plot,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,No,0
Medium BOCU mostly rooted outside of the SW side of the plot butr partially in with some overhang,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,No,0
More of what we called BOCU in last plot,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,No,0
Multiple BOCUs throughout,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,No,0
Possible BOCUs but not in this mix,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,No,0
Possibly 2 BOCUs (2 certainty) but very little green left to help identify,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,No,0
Possibly a BOCU but has been grazed down completely and hard to confirm,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,No,0
Potentially 3 or 4 BOCU (1 certainty) and possibly an ARPU (2) or othe ARsp. hard to be certain because all the grasses have been grazed down to nubs,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,No,0
Probable BOCUs with apparent grazing,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,No,0
1 full BOCU (3) in the northwest corner. A couple potentially smaller grazed down ones throughout as well as a couple potential ARPUs (2),BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,2
3 individual ARPUs  and a BOCU,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,2
A couple BOCUs and a couple potential BOCU nubs and a possible ARPU,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,2
A couple BOCUs and a possible ARPU,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,2
A few ARPUs and young BOCUs mostly near/in the south half except for a smaller ARPU in the northwest and a BAMU just north of subplot,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,3
BOCU partially in/on the west edge of the plot and a possible ARPU,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,2
Couple medium sized ARPUs (not completely sure 2/3 on certainty of ID) and a large BOCU right next to the NW plot marker rooted just outside of the plot but some overhangs into the plot,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,2
Extra large to medium large BOCUs throughout and at least 2 tiny SECO near/in SE pit and NE/subplot pit,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,1
Large BOCU in the southeast with a few small ones throughout and about 5 ARPUs small to large in size that're mostly near the conmods,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,2
Medium sized BOCU and ARPU,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,2
Medium to large ARPUs throughout and a couple small and medium BOCUs near the N conmods and a few teeny tiny SECOs near conmods as well,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,2
Multipke medium to large ARPUs and BOCUs as well as a BAMU in the northeast corner but it doesnt have any new/living growth yet,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,3
Multiple BOCU's medium-large and a possible medium sized ARPU,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,3
Multiple BOCUS and a couple possible ARPUs throughout,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,2
Multiple med to extra large BOCUs and a few small to large ARPUs,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,3
Multiple medium to extra large ARPUs and large BAMU along the N edge of the plot along with possible tiny seedlings in same pits,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,3
Multiple medium to extra large BOCUs and ARPUs throughout but mostly near and aroudn conmods,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,2
Multiple medium to large ARPU and small/medium BOCU near the NE corner and a couple tiny SECOs,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,2
Multiple medium to large ARPUs and BOCUs (mostly ARPUs) as well as a possible PLMU in the center of the plot,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,2
Multiple medium to large ARPUs and BOCUs along the northeast edge,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,2
Multiple medium to large ARPUs throughout and a couple small BOCUs near and among the conmods,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,2
Multiple small to large ARPUs throughout along with a large BAMU in center and a medium sized BOCU in the NW section,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,2
Multiple small to large sized ARPUs spread throughout and a medium sized BOCU in the northwest corner,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,2
Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,3
Possible young BOCU and ARPU but no seed heads yet therfor unsure ifit is than seeded species cover is 1% but if not it's trace amount because of a few SECOs all found in or near pits,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,2
Quite a few small tp extra large BOCUs throughout along with a possible ASTU,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,2
Small to large ARPUs and BOCUs along with a couple small SECOs as well as a possible PLMU in the middle (rough feeling and membranous ligule but no seed heads),BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,2
Small/medium to large ARPUs and small to large BOCU throughout,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,2
"Some possible BOCUs but no seed heads, tillers, culms to verify ID yet but if all are BOCUs than it's 2% seeded species cover however if none are than there are a few SECOs throught mostly found in/near the pits",BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,1
There're multiple BOCUs and a couple possible SECO seedlings,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,1
BOER,BOER4,Bouteloua eriopoda,Native,Perennial,Grass,No,0
BOER (2 certainty) on edge of the southwest pit,BOER4,Bouteloua eriopoda,Native,Perennial,Grass,No,0
BOER in center/near southwest conmod possibly 5-8,BOER4,Bouteloua eriopoda,Native,Perennial,Grass,No,0
BOER4,BOER4,Bouteloua eriopoda,Native,Perennial,Grass,No,0
Extra large BOER in S half and medium sized one next to NE plot  corner that partially hangs in and at least 2 small ones within the plot as well,BOER4,Bouteloua eriopoda,Native,Perennial,Grass,No,0
BOERH2,BOERH2,Boerhavia,Native,Unknown,Forb,No,0
BOGR2,BOGR2,Bouteloua gracilis,Native,Perennial,Grass,No,0
Blue grama BOGR in the S half of the plot don't confuse with black grama BOER,BOGR2,Bouteloua gracilis,Native,Perennial,Grass,No,0
Bouteloua on W edge but almost positive it's BOGR (blue gramma) not BOER (black gramma),BOGR2,Bouteloua gracilis,Native,Perennial,Grass,No,0
More Blue grama Don't confuse with Black,BOGR2,Bouteloua gracilis,Native,Perennial,Grass,No,0
"Possible SPCR in subplot, Blue not Black grama",BOGR2,Bouteloua gracilis,Native,Perennial,Grass,Yes,1
"Possibly small POSE and SPCR in the S half of the plot, BLUE grama not BLACK",BOGR2,Bouteloua gracilis,Native,Perennial,Grass,Yes,1
SW conmod is overgrown with Blue grama but NO black grama but thee's a possible young PEPA by the NW conmod,BOGR2,Bouteloua gracilis,Native,Perennial,Grass,Yes,1
BOIN,BOIN,Boerhavia intermedia,Native,Annual,Forb,No,0
BOIN3,BOIN3,Bowlesia incana,Native,Annual,Forb,No,0
BORO2,BORO2,Bouteloua rothrockii,Native,Perennial,Grass,No,0
BOSI2,BOSI2,Bouteloua simplex,Native,Annual,Grass,No,0
BRDI3,BRDI3,Bromus diandrus,Introduced,Unknown,Grass,No,0
BRNI,BRNI,Brassica nigra,Introduced,Annual,Forb,No,0
BRRU2,BRRU2,Bromus rubens,Introduced,Annual,Grass,No,0
BRTE,BRTE,Bromus tectorum,Introduced,Annual,Grass,No,0
CACI2,CACI2,Calandrinia ciliata,Native,Annual,Forb,No,0
CACLL,CACLL,Camissonia claviformis,Native,Annual,Forb,No,0
CAEXE,CAEXE,Castilleja exserta,Native,Annual,Forb,No,0
CEME2,CEME2,Centaurea melitensis,Introduced,Annual,Forb,No,0
EUAB,CHAB2,Chamaesyce abramsiana,Native,Annual,Forb,No,0
CHAL11,CHAL11,Chamaesyce albomarginata,Native,Perennial,Forb,No,0
CHBR,CHBR,Chorizanthe brevicornu,Native,Annual,Forb,No,0
CHCO2,CHCO2,Chamaesaracha coronopus,Native,Perennial,Forb,No,0
CHER2,CHER2,Chaetopappa ericoides,Native,Perennial,Forb,No,0
EUME3,CHME5,Chamaesyce melanadenia,Native,Perennial,Forb,No,0
CHPO12,CHPO12,Chamaesyce polycarpa,Native,Unknown,Forb,No,0
EUPO3,CHPO12,Chamaesyce polycarpa,Native,Unknown,Forb,No,0
CHTE2,CHTE2,Chorispora tenella,Introduced,Annual,Forb,No,0
CHWA,CHWA,Chenopodium watsonii,Native,Annual,Forb,No,0
COAU2,COAU2,Corydalis aurea,Native,Annual,Forb,No,0
COEQ,COEQ,Convolvulus equitans,Native,Unknown,Forb,No,0
CRBA5,CRBA5,Cryptantha barbigera,Native,Annual,Forb,No,0
CRCO34,CRCO34,Crassula connata,Native,Annual,Forb,No,0
CRCR3,CRCR3,Cryptantha crassisepala,Native,Annual,Forb,No,0
CRIN8,CRIN8,Cryptantha intermedia,Native,Annual,Forb,No,0
CRPO5,CRPO5,Croton pottsii,Native,Perennial,Forb,No,0
CRSE1,CRSE11,Croton setigerus,Native,Annual,Forb,No,0
CRSE11,CRSE11,Croton setigerus,Native,Annual,Forb,No,0
CYAC,CYAC,Cymopterus acaulis,Native,Perennial,Forb,No,0
Cymopterus,Cymopterus,Cymopterus spp.,Native,Perennial,Forb,No,0
DACA7,DACA7,Dalea candida,Native,Perennial,Forb,No,0
DAPU3,DAPU3,Daucus pusillus,Native,Annual,Forb,No,0
DAPU7,DAPU7,Dasyochloa pulchella,Native,Perennial,Grass,No,0
DEPI,DEPI,Descurainia pinnata,Native,Unknown,Forb,No,0
DESO2,DESO2,Descurainia sophia,Introduced,Annual,Forb,No,0
DICA14,DICA14,Dichelostemma capitatum,Native,Perennial,Forb,No,0
DICA8,DICA8,Digitaria californica,Native,Perennial,Grass,No,0
DINE2,DINE2,Argythamnia neomexicana,Native,Unknown,Forb,No,0
DRCU,DRCU,Draba cuneifolia,Native,Annual,Forb,No,0
DRCUI,DRCUI,Draba cuneifolia var. integrifolia,Native,Annual,Forb,No,0
ELEL5,ELEL5,Elymus elymoides,Native,Perennial,Grass,No,0
ELEL5 (seeded),ELEL5,Elymus elymoides,Native,Perennial,Grass,No,0
ELEL5 (unseeded),ELEL5,Elymus elymoides,Native,Perennial,Grass,No,0
ELTR7,ELTR7,Elymus trachycaulus,Native,Perennial,Grass,No,0
ELTR7 (seeded),ELTR7,Elymus trachycaulus,Native,Perennial,Grass,No,0
ELWA,ELWA2,Elymus wawawaiensis,Native,Perennial,Grass,No,0
ELWA2,ELWA2,Elymus wawawaiensis,Native,Perennial,Grass,No,0
ELWA2 (seeded),ELWA2,Elymus wawawaiensis,Native,Perennial,Grass,No,0
ENDE,ENDE,Enneapogon desvauxii,Native,Perennial,Grass,No,0
ENFA,ENFA,Encelia farinosa,Native,Perennial,Shrub,No,0
ERAB2,ERAB2,Eriogonum abertianum,Native,Annual,Forb,No,0
ERCI6,ERCI6,Erodium cicutarium,Introduced,Annual,Forb,No,0
ERCU2,ERCU2,Eragrostis curvula,Introduced,Perennial,Grass,No,0
Couple small to medium ARPUs throughout and a couple small SECOs in N half of the plot typically hidden under/using ERCU as a shade plant,ERCU2,Eragrostis curvula,Introduced,Perennial,Grass,Yes,2
Multiple medium to extra large ARPUs throught and SECo in the northwest corner under an ERCU,ERCU2,Eragrostis curvula,Introduced,Perennial,Grass,Yes,2
ERDED4,ERDED4,Eriogonum deflexum,Native,Annual,Forb,No,0
ERDI2,ERDI2,Eriastrum diffusum,Native,Annual,Forb,No,0
ERER2,ERER2,Eriastrum eremicum,Native,Annual,Forb,No,0
ERFA2,ERFA2,Eriogonum fasciculatum,Native,Perennial,Forb,No,0
ERIN4,ERIN4,Eriogonum inflatum,Native,Unknown,Forb,No,0
ERLA12,ERLA12,Ericameria laricifolia,Native,Perennial,Shrub,No,0
ERPA11,ERPA11,Eriogonum palmerianum,Native,Annual,Forb,No,0
ERRA3,ERRA3,Eriogonum racemosum,Native,Perennial,Forb,No,0
ERTR8,ERTR8,Eriogonum trichopes,Native,Annual,Forb,No,0
