CodeOriginal,Code,Name,Native,Duration,Lifeform,NeedsItsDuplicate
"Medium SECO in/near NW pit with a couple tiny seedlings scattered throughout, medium BAMU in the middle, a few small to medium/large ARPUs sprinkled throughout, possibly a small ACHY in SE section (wirey leaf blades that clasp the stem, hairs at the node, only one seed head but similar to examples)",BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes
"Medium SECO in/near NW pit with a couple tiny seedlings scattered throughout, medium BAMU in the middle, a few small to medium/large ARPUs sprinkled throughout, possibly a small ACHY in SE section (wirey leaf blades that clasp the stem, hairs at the node, only one seed head but similar to examples)",SECO10,Senna covesii,Native,Perennial,Forb,Yes
Medium sized BOCU and ARPU,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
Medium sized BOCU and ARPU,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes
Medium to large ARPUs throughout and a couple small and medium BOCUs near the N conmods and a few teeny tiny SECOs near conmods as well,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
Medium to large ARPUs throughout and a couple small and medium BOCUs near the N conmods and a few teeny tiny SECOs near conmods as well,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes
Medium to large ARPUs throughout and a couple small and medium BOCUs near the N conmods and a few teeny tiny SECOs near conmods as well,SECO10,Senna covesii,Native,Perennial,Forb,Yes
Multipke medium to large ARPUs and BOCUs as well as a BAMU in the northeast corner but it doesnt have any new/living growth yet,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
Multipke medium to large ARPUs and BOCUs as well as a BAMU in the northeast corner but it doesnt have any new/living growth yet,BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes
Multipke medium to large ARPUs and BOCUs as well as a BAMU in the northeast corner but it doesnt have any new/living growth yet,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes
"Multiple ARPUs small to large sized throughout, possible ACHY in the SE pit, and a couple teeny tiny SECOs in/around some of the pits",ACHY,Achnatherum hymenoides,Native,Perennial,Grass,Yes
"Multiple ARPUs small to large sized throughout, possible ACHY in the SE pit, and a couple teeny tiny SECOs in/around some of the pits",ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
"Multiple ARPUs small to large sized throughout, possible ACHY in the SE pit, and a couple teeny tiny SECOs in/around some of the pits",SECO10,Senna covesii,Native,Perennial,Forb,Yes
Multiple BOCU's medium-large and a possible medium sized ARPU,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
Multiple BOCU's medium-large and a possible medium sized ARPU,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes
Multiple BOCUS and a couple possible ARPUs throughout,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
Multiple BOCUS and a couple possible ARPUs throughout,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes
Multiple med to extra large BOCUs and a few small to large ARPUs,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
Multiple med to extra large BOCUs and a few small to large ARPUs,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes
Multiple medium to extra large ARPUs and large BAMU along the N edge of the plot along with possible tiny seedlings in same pits,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
Multiple medium to extra large ARPUs and large BAMU along the N edge of the plot along with possible tiny seedlings in same pits,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes
Multiple medium to extra large ARPUs throught and SECo in the northwest corner under an ERCU,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
Multiple medium to extra large ARPUs throught and SECo in the northwest corner under an ERCU,ERCU2,Eragrostis curvula,Introduced,Perennial,Grass,Yes
Multiple medium to extra large ARPUs throught and SECo in the northwest corner under an ERCU,SECO10,Senna covesii,Native,Perennial,Forb,Yes
Multiple medium to extra large BOCUs and ARPUs throughout but mostly near and aroudn conmods,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
Multiple medium to extra large BOCUs and ARPUs throughout but mostly near and aroudn conmods,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes
Multiple medium to large ARPU and small/medium BOCU near the NE corner and a couple tiny SECOs,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
Multiple medium to large ARPU and small/medium BOCU near the NE corner and a couple tiny SECOs,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes
Multiple medium to large ARPU and small/medium BOCU near the NE corner and a couple tiny SECOs,SECO10,Senna covesii,Native,Perennial,Forb,Yes
Multiple medium to large ARPUs and BOCUs (mostly ARPUs) as well as a possible PLMU in the center of the plot,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
Multiple medium to large ARPUs and BOCUs (mostly ARPUs) as well as a possible PLMU in the center of the plot,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes
Multiple medium to large ARPUs and BOCUs (mostly ARPUs) as well as a possible PLMU in the center of the plot,PLMU3,Pleuraphis mutica,Native,Perennial,Grass,Yes
Multiple medium to large ARPUs and BOCUs along the northeast edge,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
Multiple medium to large ARPUs and BOCUs along the northeast edge,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes
"Multiple medium to large ARPUs and possibly and ACHY seedling in the southeast pit (wirey, narrow, clasping blades)",ACHY,Achnatherum hymenoides,Native,Perennial,Grass,Yes
"Multiple medium to large ARPUs and possibly and ACHY seedling in the southeast pit (wirey, narrow, clasping blades)",ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
Multiple medium to large ARPUs throughout and a couple small BOCUs near and among the conmods,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
Multiple medium to large ARPUs throughout and a couple small BOCUs near and among the conmods,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes
Multiple small to large ARPUs throughout along with a large BAMU in center and a medium sized BOCU in the NW section,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
Multiple small to large ARPUs throughout along with a large BAMU in center and a medium sized BOCU in the NW section,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes
Multiple small to large sized ARPUs spread throughout and a medium sized BOCU in the northwest corner,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
Multiple small to large sized ARPUs spread throughout and a medium sized BOCU in the northwest corner,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes
Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes
Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes
Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,PLMU3,Pleuraphis mutica,Native,Perennial,Grass,Yes
Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,SECO10,Senna covesii,Native,Perennial,Forb,Yes
"No new growth or green vegetation on SECO in the northwest pit but still there, there's a BAMU in the southwest pit as well, possibly ACHY in the south half of the plot, multiple medium to large sized ARPUs mostly in and/or near pits but not all",ACHY,Achnatherum hymenoides,Native,Perennial,Grass,Yes
"No new growth or green vegetation on SECO in the northwest pit but still there, there's a BAMU in the southwest pit as well, possibly ACHY in the south half of the plot, multiple medium to large sized ARPUs mostly in and/or near pits but not all",ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
"No new growth or green vegetation on SECO in the northwest pit but still there, there's a BAMU in the southwest pit as well, possibly ACHY in the south half of the plot, multiple medium to large sized ARPUs mostly in and/or near pits but not all",BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes
"No new growth or green vegetation on SECO in the northwest pit but still there, there's a BAMU in the southwest pit as well, possibly ACHY in the south half of the plot, multiple medium to large sized ARPUs mostly in and/or near pits but not all",SECO10,Senna covesii,Native,Perennial,Forb,Yes
Possible ACHY near southwest corner (2 certainty) and about 10 ARPU small to medium in size with 2 of them next to the subplot but not quite in,ACHY,Achnatherum hymenoides,Native,Perennial,Grass,Yes
Possible ACHY near southwest corner (2 certainty) and about 10 ARPU small to medium in size with 2 of them next to the subplot but not quite in,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
"Possible ARPUs, SECO seedling in subplot",ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
"Possible ARPUs, SECO seedling in subplot",SECO10,Senna covesii,Native,Perennial,Forb,Yes
Possible MATA seedlings in the northwest pit and possibly a SPCR seedling but if neither than seeded species cover would be 0%,MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb,Yes
Possible MATA seedlings in the northwest pit and possibly a SPCR seedling but if neither than seeded species cover would be 0%,SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,Yes
Possible SPCR along the northeast edge as well as a possible PEPA seedling next to the subplot if neither than 0% seeded cover,PEPA8,Penstemon palmeri,Native,Perennial,Forb,Yes
Possible SPCR along the northeast edge as well as a possible PEPA seedling next to the subplot if neither than 0% seeded cover,SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,Yes
"Possible SPCR in subplot, Blue not Black grama",BOGR2,Bouteloua gracilis,Native,Perennial,Grass,Yes
"Possible SPCR in subplot, Blue not Black grama",SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,Yes
"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout",ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout",ASTU,Asclepias tuberosa,Native,Perennial,Forb,Yes
"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout",BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes
"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout",SECO10,Senna covesii,Native,Perennial,Forb,Yes
"Possible small SPCR near middle of the east edge (no tiller, culm, or seed heads but fuzziness/hairs at the ligule) and possible POSE next to the subplot (all leaf blades and midvein on bottome) if not than 0% seeded species cover",POSE,Poa secunda,Native,Perennial,Grass,Yes
"Possible small SPCR near middle of the east edge (no tiller, culm, or seed heads but fuzziness/hairs at the ligule) and possible POSE next to the subplot (all leaf blades and midvein on bottome) if not than 0% seeded species cover",SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,Yes
Possible young BOCU and ARPU but no seed heads yet therfor unsure ifit is than seeded species cover is 1% but if not it's trace amount because of a few SECOs all found in or near pits,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
Possible young BOCU and ARPU but no seed heads yet therfor unsure ifit is than seeded species cover is 1% but if not it's trace amount because of a few SECOs all found in or near pits,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes
Possible young BOCU and ARPU but no seed heads yet therfor unsure ifit is than seeded species cover is 1% but if not it's trace amount because of a few SECOs all found in or near pits,SECO10,Senna covesii,Native,Perennial,Forb,Yes
Possibly a couple of MATA seedlings and possibly a SPCR seedling in the subplot,MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb,Yes
Possibly a couple of MATA seedlings and possibly a SPCR seedling in the subplot,SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,Yes
"Possibly small POSE and SPCR in the S half of the plot, BLUE grama not BLACK",BOGR2,Bouteloua gracilis,Native,Perennial,Grass,Yes
"Possibly small POSE and SPCR in the S half of the plot, BLUE grama not BLACK",POSE,Poa secunda,Native,Perennial,Grass,Yes
"Possibly small POSE and SPCR in the S half of the plot, BLUE grama not BLACK",SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,Yes
Quite a few small tp extra large BOCUs throughout along with a possible ASTU,ASTU,Asclepias tuberosa,Native,Perennial,Forb,Yes
Quite a few small tp extra large BOCUs throughout along with a possible ASTU,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes
SW conmod is overgrown with Blue grama but NO black grama but thee's a possible young PEPA by the NW conmod,BOGR2,Bouteloua gracilis,Native,Perennial,Grass,Yes
SW conmod is overgrown with Blue grama but NO black grama but thee's a possible young PEPA by the NW conmod,PEPA8,Penstemon palmeri,Native,Perennial,Forb,Yes
Small to large ARPUs and BOCUs along with a couple small SECOs as well as a possible PLMU in the middle (rough feeling and membranous ligule but no seed heads),ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
Small to large ARPUs and BOCUs along with a couple small SECOs as well as a possible PLMU in the middle (rough feeling and membranous ligule but no seed heads),BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes
Small to large ARPUs and BOCUs along with a couple small SECOs as well as a possible PLMU in the middle (rough feeling and membranous ligule but no seed heads),PLMU3,Pleuraphis mutica,Native,Perennial,Grass,Yes
Small to large ARPUs and BOCUs along with a couple small SECOs as well as a possible PLMU in the middle (rough feeling and membranous ligule but no seed heads),SECO10,Senna covesii,Native,Perennial,Forb,Yes
Small to large ARPUs throughout along with a tiny baby SECO seedling in SE section,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
Small to large ARPUs throughout along with a tiny baby SECO seedling in SE section,SECO10,Senna covesii,Native,Perennial,Forb,Yes
Small to large ARPUs throughout and a couple of small SECOs,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
Small to large ARPUs throughout and a couple of small SECOs,SECO10,Senna covesii,Native,Perennial,Forb,Yes
Small to medium ARPUs throughout and a few tiny to small SECOs mostly near the conmods,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
Small to medium ARPUs throughout and a few tiny to small SECOs mostly near the conmods,SECO10,Senna covesii,Native,Perennial,Forb,Yes
Small to medium ARPUs throughout and small/medium BAMU near the NE edge,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
Small to medium ARPUs throughout and small/medium BAMU near the NE edge,BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes
Small/medium to large ARPUs and small to large BOCU throughout,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
Small/medium to large ARPUs and small to large BOCU throughout,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes
"Some possible BOCUs but no seed heads, tillers, culms to verify ID yet but if all are BOCUs than it's 2% seeded species cover however if none are than there are a few SECOs throught mostly found in/near the pits",BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes
"Some possible BOCUs but no seed heads, tillers, culms to verify ID yet but if all are BOCUs than it's 2% seeded species cover however if none are than there are a few SECOs throught mostly found in/near the pits",SECO10,Senna covesii,Native,Perennial,Forb,Yes
Southwest pit has 1 BAMU and 4 small ARPUs. Northwest pit has 2 medium and 2 small ARPUs and 1 dreid up SECO. There are a few more small to medium sized ARPUs throughout,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes
Southwest pit has 1 BAMU and 4 small ARPUs. Northwest pit has 2 medium and 2 small ARPUs and 1 dreid up SECO. There are a few more small to medium sized ARPUs throughout,BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes
Southwest pit has 1 BAMU and 4 small ARPUs. Northwest pit has 2 medium and 2 small ARPUs and 1 dreid up SECO. There are a few more small to medium sized ARPUs throughout,SECO10,Senna covesii,Native,Perennial,Forb,Yes
There're multiple BOCUs and a couple possible SECO seedlings,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes
There're multiple BOCUs and a couple possible SECO seedlings,SECO10,Senna covesii,Native,Perennial,Forb,Yes
