CodeOriginal,Code,Name,Native,Duration,Lifeform
AMCO3,AMCO3,Ambrosia confertiflora,Native,Perennial,Forb
AMMEI2,AMMEI2,Amsinckia menziesii,Native,Annual,Forb
AMPA,AMPA,Amaranthus palmeri,Native,Annual,Forb
AMSIN,AMSIN,Amsinckia,Native,Annual,Forb
ANCR2,ANCR2,Anoda cristata,Native,Annual,Forb
ANOC2,ANOC2,Androsace occidentalis,Native,Annual,Forb
ANOSPP,ANOSPP.SRER,"Anoda spp., SRER",Native,Unknown,Forb
ARNE2,ARNE2,Argythamnia neomexicana,Native,Unknown,Forb
ARWA,ARWA,Aristolochia watsonii,Native,Perennial,Forb
ASNU4,ASNU4,Astragalus nuttallianus,Native,Unknown,Forb
ASTU,ASTU,Asclepias tuberosa,Native,Perennial,Forb
"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout",ASTU,Asclepias tuberosa,Native,Perennial,Forb
Possibly a young ASTU if not seeded species cover is 0%,ASTU,Asclepias tuberosa,Native,Perennial,Forb
Quite a few small tp extra large BOCUs throughout along with a possible ASTU,ASTU,Asclepias tuberosa,Native,Perennial,Forb
BAMU,BAMU,Baileya multiradiata,Native,Unknown,Forb
A few ARPUs and young BOCUs mostly near/in the south half except for a smaller ARPU in the northwest and a BAMU just north of subplot,BAMU,Baileya multiradiata,Native,Unknown,Forb
ARPU about 5 individuals and an individual BAMU resprouting at base,BAMU,Baileya multiradiata,Native,Unknown,Forb
Southwest pit has 1 BAMU and 4 small ARPUs. Northwest pit has 2 medium and 2 small ARPUs and 1 dreid up SECO. There are a few more small to medium sized ARPUs throughout,BAMU,Baileya multiradiata,Native,Unknown,Forb
"ARPU many individuals, BAMU 1 individual, PLMU (2) 1 individual, ACHY (2) 1 individual",BAMU,Baileya multiradiata,Native,Unknown,Forb
Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,BAMU,Baileya multiradiata,Native,Unknown,Forb
"Medium SECO in/near NW pit with a couple tiny seedlings scattered throughout, medium BAMU in the middle, a few small to medium/large ARPUs sprinkled throughout, possibly a small ACHY in SE section (wirey leaf blades that clasp the stem, hairs at the node, only one seed head but similar to examples)",BAMU,Baileya multiradiata,Native,Unknown,Forb
Small to medium ARPUs throughout and small/medium BAMU near the NE edge,BAMU,Baileya multiradiata,Native,Unknown,Forb
"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout",BAMU,Baileya multiradiata,Native,Unknown,Forb
Multipke medium to large ARPUs and BOCUs as well as a BAMU in the northeast corner but it doesnt have any new/living growth yet,BAMU,Baileya multiradiata,Native,Unknown,Forb
"No new growth or green vegetation on SECO in the northwest pit but still there, there's a BAMU in the southwest pit as well, possibly ACHY in the south half of the plot, multiple medium to large sized ARPUs mostly in and/or near pits but not all",BAMU,Baileya multiradiata,Native,Unknown,Forb
No new growth on the BAMU in the northeast corner yet,BAMU,Baileya multiradiata,Native,Unknown,Forb
BOCO,BOCO,Boerhavia coccinea,Native,Perennial,Forb
BOIN,BOIN,Boerhavia intermedia,Native,Annual,Forb
BOIN3,BOIN3,Bowlesia incana,Native,Annual,Forb
CACI2,CACI2,Calandrinia ciliata,Native,Annual,Forb
CAEXE,CAEXE,Castilleja exserta,Native,Annual,Forb
CALSPP,CALSPP.Patagonia,"Calandrinia spp., Patagonia",Native,Unknown,Forb
EUAB,CHAB2,Chamaesyce abramsiana,Native,Annual,Forb
CHAL11,CHAL11,Chamaesyce albomarginata,Native,Perennial,Forb
CHBR,CHBR,Chorizanthe brevicornu,Native,Annual,Forb
CHFR3,CHFR3,Chenopodium fremontii,Native,Annual,Forb
CHHY3,CHHY3,Chamaesyce hyssopifolia,Native,Unknown,Forb
EUME3,CHME5,Chamaesyce melanadenia,Native,Perennial,Forb
CHPO12,CHPO12,Chamaesyce polycarpa,Native,Unknown,Forb
EUPO3,CHPO12,Chamaesyce polycarpa,Native,Unknown,Forb
COCA5,COCA5,Conyza canadensis,Native,Annual,Forb
COCA8,COCA8,Coreopsis califonica,Native,Annual,Forb
CRAN4,CRAN4,Cryptantha angustifolia,Native,Annual,Forb
CRBA5,CRBA5,Cryptantha barbigera,Native,Annual,Forb
CRCO34,CRCO34,Crassula connata,Native,Annual,Forb
CRYPT,CRYPT.Pleasant,"Cryptantha spp., Pleasant",Native,Unknown,Forb
CRYPT,CRYPT.Preserve,"Cryptantha spp., Preserve",Native,Unknown,Forb
CRYPT,CRYPT.Roosevelt,"Cryptantha spp., Roosevelt",Native,Unknown,Forb
CRYSPP 1,CRYSPP 1.SRER,"Cryptantha spp. 1, SRER",Native,Unknown,Forb
CRYSPP 2,CRYSPP 2.SRER,"Cryptantha spp. 2, SRER",Native,Unknown,Forb
CRYSPP,CRYSPP.SRER,"Cryptantha spp., SRER",Native,Unknown,Forb
CRYSPP2,CRYSPP2.SRER,"Cryptantha spp. 3, SRER",Native,Unknown,Forb
DAPU3,DAPU3,Daucus pusillus,Native,Annual,Forb
DEPI,DEPI,Descurainia pinnata,Native,Unknown,Forb
DICA14,DICA14,Dichelostemma capitatum,Native,Perennial,Forb
DINE2,DINE2,Argythamnia neomexicana,Native,Unknown,Forb
DRCUI,DRCUI,Draba cuneifolia var. integrifolia,Native,Annual,Forb
ERAB2,ERAB2,Eriogonum abertianum,Native,Annual,Forb
ERDED4,ERDED4,Eriogonum deflexum,Native,Annual,Forb
ERDI2,ERDI2,Eriastrum diffusum,Native,Annual,Forb
ERER2,ERER2,Eriastrum eremicum,Native,Annual,Forb
ERIAS,ERIAS,Eriastrum,Native,Unknown,Forb
ERIASPP,ERIASPP.SRER,"Eriastrum spp., SRER",Native,Unknown,Forb
ERIOG,ERIOG.Pleasant,"Eriogonum spp., Pleasant",Native,Unknown,Forb
ERISPP,ERISPP.Patagonia,"Erigeron spp., Patagonia",Native,Unknown,Forb
ERPA11,ERPA11,Eriogonum palmerianum,Native,Annual,Forb
ERPO4,ERPO4,Eriogonum polycladon,Native,Annual,Forb
ESCA2,ESCA2,Eschscholzia californica,Native,Unknown,Forb
ESCAM,ESCAM,Eschscholzia californica ssp. Mexicana,Native,Unknown,Forb
EVAR,EVAR,Evolvulus arizonicus,Native,Perennial,Forb
GILSPP 1,GILSPP 1.SRER,"Gilia spp. 1, SRER",Native,Unknown,Forb
GILSPP 2,GILSPP 2.SRER,"Gilia spp. 2, SRER",Native,Unknown,Forb
GILSPP,GILSPP.SRER,"Gilia spp., SRER",Native,Unknown,Forb
GIST,GIST,Gilia stellata,Native,Annual,Forb
GLGO,GLGO,Glandularia gooddingii,Native,Perennial,Forb
GNPA,GNPA,Gnaphalium palustre,Native,Annual,Forb
HAPAA,HAPAA,Harpagonella palmeri,Native,Annual,Forb
HEMU,HEMU3,Heliomeris multiflora,Native,Perennial,Forb
KAGR,KAGR,Kallstroemia grandiflora,Native,Annual,Forb
LACA7,LACA7,Lasthenia californica,Native,Unknown,Forb
LAGL5,LAGL5,Layia glandulosa,Native,Annual,Forb
LAGR10,LAGR10,Lasthenia gracilis,Native,Annual,Forb
LEAU16,LEAU16,Leptosiphon aureus,Native,Annual,Forb
LELA,LELA,Lepidium lasiocarpum,Native,Annual,Forb
LETH2,LETH2,Lepidium thurberi,Native,Annual,Forb
LIBI2,LIBI2,Linanthus bigelovii,Native,Annual,Forb
LOAR12,LOAR12,Logfia arizonica,Native,Annual,Forb
LOGR4,LOGR4,Lotus greenei,Native,Perennial,Forb
LOHU2,LOHU2,Lotus humistratus,Native,Annual,Forb
LOSQ,LOSQ,Loeflingia squarrosa,Native,Annual,Forb
LOSTT,LOSTT,Lotus strigosus,Native,Annual,Forb
LUCO,LUCO,Lupinus concinnus,Native,Annual,Forb
LUSP2,LUSP2,Lupinus sparsiflorus,Native,Annual,Forb
MAGL3,MAGL3,Malacothrix glabrata,Native,Annual,Forb
MAGR10,MAGR10,Machaeranthera gracilis,Native,Annual,Forb
MATA2,MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb
MATA seedling in southwest section,MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb
MATA is the SW corner,MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb
There're a couple potential MATA seedlings near/under a couple of the larger grass bunches however if not MATA than 0% seeded species cover,MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb
Possible MATA seedlings in the northwest pit and possibly a SPCR seedling but if neither than seeded species cover would be 0%,MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb
Possibly a couple of MATA seedlings and possibly a SPCR seedling in the subplot,MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb
A few possible small SPCRs and a couple MATA seedlings all in the pits,MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb
MATA seedlings in the southeast corner of the plot,MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb
There're a couple possible tiny MATA seedlings in some of the pits if not MATA than 0% (too small to ID for sure),MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb
Possible MATA seedling species in suplot and in the NW pit if not than 0% seeded species cover,MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb
MEAL6,MEAL6,Mentzelia albicaulis,Native,Annual,Forb
MENSPP,MENSPP.Patagonia,"Mentzelia spp., Patagonia",Native,Unknown,Forb
MENSPP,MENSPP.SRER,"Mentzelia spp., SRER",Native,Unknown,Forb
URLI5,MILI5,Microseris lindleyi,Native,Annual,Forb
MONU,MONU,Monolepis nuttalliana,Native,Annual,Forb
MOVE,MOVE,Mollugo verticillata,Native,Annual,Forb
PECTO,PECTO,Pectocarya,Native,Annual,Forb
PEHE,PEHE,Pectocarya heterocarpa,Native,Annual,Forb
SW conmod is overgrown with Blue grama but NO black grama but thee's a possible young PEPA by the NW conmod,PEPA8,Penstemon palmeri,Native,Perennial,Forb
PEPA (possibly),PEPA8,Penstemon palmeri,Native,Perennial,Forb
Possible SPCR along the northeast edge as well as a possible PEPA seedling next to the subplot if neither than 0% seeded cover,PEPA8,Penstemon palmeri,Native,Perennial,Forb
PEPL,PEPL,Pectocarya platycarpa,Native,Annual,Forb
PERE,PERE,Pectocarya recurvata,Native,Annual,Forb
PHDI,PHDI,Phacelia distans,Native,Unknown,Forb
PHYSR,PHYSR.Pleasant,"Physaria sp., Pleasant",Native,Unknown,Forb
PLAR,PLAR,Plagiobothrys arizonicus,Native,Annual,Forb
PLOV,PLOV,Plantago ovata,Native,Annual,Forb
PLPA2,PLPA2,Plantago patagonica,Native,Annual,Forb
PLPR3,PLPR3,Plagiobothrys pringlei,Native,Annual,Forb
PORSPP,PORSPP.Patagonia,"Portulaca spp., Patagonia",Native,Unknown,Forb
POUM,POUM,Portulaca umbraticola,Native,Annual,Forb
PSCA11,PSCA11,Pseudognaphalium canescens,Native,Unknown,Forb
SACO6,SACO6,Salvia columbariae,Native,Annual,Forb
SECO10,SECO10,Senna covesii,Native,Perennial,Forb
Southwest pit has 1 BAMU and 4 small ARPUs. Northwest pit has 2 medium and 2 small ARPUs and 1 dreid up SECO. There are a few more small to medium sized ARPUs throughout,SECO10,Senna covesii,Native,Perennial,Forb
Multiple medium to large ARPU and small/medium BOCU near the NE corner and a couple tiny SECOs,SECO10,Senna covesii,Native,Perennial,Forb
Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,SECO10,Senna covesii,Native,Perennial,Forb
Small to large ARPUs and BOCUs along with a couple small SECOs as well as a possible PLMU in the middle (rough feeling and membranous ligule but no seed heads),SECO10,Senna covesii,Native,Perennial,Forb
Not in the Med mix but there are a couple young SECOs,SECO10,Senna covesii,Native,Perennial,Forb
Couple small to medium ARPUs throughout and a couple small SECOs in N half of the plot typically hidden under/using ERCU as a shade plant,SECO10,Senna covesii,Native,Perennial,Forb
Medium to large ARPUs throughout and a couple small and medium BOCUs near the N conmods and a few teeny tiny SECOs near conmods as well,SECO10,Senna covesii,Native,Perennial,Forb
"Medium SECO in/near NW pit with a couple tiny seedlings scattered throughout, medium BAMU in the middle, a few small to medium/large ARPUs sprinkled throughout, possibly a small ACHY in SE section (wirey leaf blades that clasp the stem, hairs at the node, only one seed head but similar to examples)",SECO10,Senna covesii,Native,Perennial,Forb
Small to large ARPUs throughout and a couple of small SECOs,SECO10,Senna covesii,Native,Perennial,Forb
Small to large ARPUs throughout along with a tiny baby SECO seedling in SE section,SECO10,Senna covesii,Native,Perennial,Forb
"Multiple ARPUs small to large sized throughout, possible ACHY in the SE pit, and a couple teeny tiny SECOs in/around some of the pits",SECO10,Senna covesii,Native,Perennial,Forb
Small to medium ARPUs throughout and a few tiny to small SECOs mostly near the conmods,SECO10,Senna covesii,Native,Perennial,Forb
"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout",SECO10,Senna covesii,Native,Perennial,Forb
"No new growth or green vegetation on SECO in the northwest pit but still there, there's a BAMU in the southwest pit as well, possibly ACHY in the south half of the plot, multiple medium to large sized ARPUs mostly in and/or near pits but not all",SECO10,Senna covesii,Native,Perennial,Forb
Multiple medium to extra large ARPUs throught and SECo in the northwest corner under an ERCU,SECO10,Senna covesii,Native,Perennial,Forb
"Possible ARPUs, SECO seedling in subplot",SECO10,Senna covesii,Native,Perennial,Forb
Possible young BOCU and ARPU but no seed heads yet therfor unsure ifit is than seeded species cover is 1% but if not it's trace amount because of a few SECOs all found in or near pits,SECO10,Senna covesii,Native,Perennial,Forb
"A couple small SECOs mostly near conmods and possiblya young POSE near SE conmod, Also decent size patch (~1% cover) of SECO just near/outside N edge",SECO10,Senna covesii,Native,Perennial,Forb
Extra large to medium large BOCUs throughout and at least 2 tiny SECO near/in SE pit and NE/subplot pit,SECO10,Senna covesii,Native,Perennial,Forb
"Some possible BOCUs but no seed heads, tillers, culms to verify ID yet but if all are BOCUs than it's 2% seeded species cover however if none are than there are a few SECOs throught mostly found in/near the pits",SECO10,Senna covesii,Native,Perennial,Forb
There're multiple BOCUs and a couple possible SECO seedlings,SECO10,Senna covesii,Native,Perennial,Forb
SIAN2,SIAN2,Silene antirrhina,Native,Annual,Forb
SINE,SINE,Sida neomexicana,Native,Perennial,Forb
SORO,SORO,Solanum rostratum,Native,Annual,Forb
SPAMA,SPAM2,Sphaeralcea ambigua,Native,Perennial,Forb
SPEC2,SPEC2,Spermolepis echinata,Native,Annual,Forb
STGN,STGN,Stylocline gnaphalioides,Native,Annual,Forb
STMI2,STMI2,Stylocline micropoides,Native,Annual,Forb
TRPI,TRPI,Tradescantia pinetorum,Native,Perennial,Forb
VEPE2,VEPE2,Veronica peregrina,Native,Annual,Forb
VEPEX2,VEPEX2,Veronica peregrina ssp. xalapensis,Native,Annual,Forb
Possible ACHY near southwest corner (2 certainty) and about 10 ARPU small to medium in size with 2 of them next to the subplot but not quite in,ACHY,Achnatherum hymenoides,Native,Perennial,Grass
"ARPU many individuals, BAMU 1 individual, PLMU (2) 1 individual, ACHY (2) 1 individual",ACHY,Achnatherum hymenoides,Native,Perennial,Grass
"Medium SECO in/near NW pit with a couple tiny seedlings scattered throughout, medium BAMU in the middle, a few small to medium/large ARPUs sprinkled throughout, possibly a small ACHY in SE section (wirey leaf blades that clasp the stem, hairs at the node, only one seed head but similar to examples)",ACHY,Achnatherum hymenoides,Native,Perennial,Grass
"Multiple ARPUs small to large sized throughout, possible ACHY in the SE pit, and a couple teeny tiny SECOs in/around some of the pits",ACHY,Achnatherum hymenoides,Native,Perennial,Grass
"No new growth or green vegetation on SECO in the northwest pit but still there, there's a BAMU in the southwest pit as well, possibly ACHY in the south half of the plot, multiple medium to large sized ARPUs mostly in and/or near pits but not all",ACHY,Achnatherum hymenoides,Native,Perennial,Grass
"Multiple medium to large ARPUs and possibly and ACHY seedling in the southeast pit (wirey, narrow, clasping blades)",ACHY,Achnatherum hymenoides,Native,Perennial,Grass
ARAD,ARAD,Aristida adscensionis,Native,Annual,Grass
ARISPP,ARISPP.Patagonia,"Aristida spp., Patagonia",Native,Unknown,Grass
ARISPP,ARISPP.SRER,"Aristida spp., SRER",Native,Unknown,Grass
ARPUP6,ARPU9,Aristida purpurea,Native,Perennial,Grass
ARPU9,ARPU9,Aristida purpurea,Native,Perennial,Grass
Couple big ARPUs and a few small ones throughout,ARPU9,Aristida purpurea,Native,Perennial,Grass
Large BOCU in the southeast with a few small ones throughout and about 5 ARPUs small to large in size that're mostly near the conmods,ARPU9,Aristida purpurea,Native,Unknown,Grass
A few ARPUs and young BOCUs mostly near/in the south half except for a smaller ARPU in the northwest and a BAMU just north of subplot,ARPU9,Aristida purpurea,Native,Perennial,Grass
3 individual ARPUs  and a BOCU,ARPU9,Aristida purpurea,Native,Perennial,Grass
3 small ARPUs 1 on north border of subplot and other 2 in southwest section of plot,ARPU9,Aristida purpurea,Native,Perennial,Grass
ARPU a few individuals,ARPU9,Aristida purpurea,Native,Perennial,Grass
ARPU about 5 individuals and an individual BAMU resprouting at base,ARPU9,Aristida purpurea,Native,Perennial,Grass
Southwest pit has 1 BAMU and 4 small ARPUs. Northwest pit has 2 medium and 2 small ARPUs and 1 dreid up SECO. There are a few more small to medium sized ARPUs throughout,ARPU9,Aristida purpurea,Native,Perennial,Grass
ARPU a few small tufts and 1 taller,ARPU9,Aristida purpurea,Native,Perennial,Grass
ARPU numerous individuals,ARPU9,Aristida purpurea,Native,Perennial,Grass
ARPU multiple individuals,ARPU9,Aristida purpurea,Native,Perennial,Grass
At least 10 ARPUs throughout small to large in size,ARPU9,Aristida purpurea,Native,Perennial,Grass
ARPU small tufts and a tall individual,ARPU9,Aristida purpurea,Native,Perennial,Grass
ARPU many small tufts and some with seed,ARPU9,Aristida purpurea,Native,Perennial,Grass
Possible ACHY near southwest corner (2 certainty) and about 10 ARPU small to medium in size with 2 of them next to the subplot but not quite in,ARPU9,Aristida purpurea,Native,Perennial,Grass
"ARPU many individuals, BAMU 1 individual, PLMU (2) 1 individual, ACHY (2) 1 individual",ARPU9,Aristida purpurea,Native,Perennial,Grass
Multiple medium to large ARPU and small/medium BOCU near the NE corner and a couple tiny SECOs,ARPU9,Aristida purpurea,Native,Perennial,Grass
Small/medium to large ARPUs and small to large BOCU throughout,ARPU9,Aristida purpurea,Native,Perennial,Grass
Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,ARPU9,Aristida purpurea,Native,Perennial,Grass
Small to large ARPUs and BOCUs along with a couple small SECOs as well as a possible PLMU in the middle (rough feeling and membranous ligule but no seed heads),ARPU9,Aristida purpurea,Native,Perennial,Grass
Couple small to medium ARPUs throughout and a couple small SECOs in N half of the plot typically hidden under/using ERCU as a shade plant,ARPU9,Aristida purpurea,Native,Perennial,Grass
Medium to large ARPUs throughout and a couple small and medium BOCUs near the N conmods and a few teeny tiny SECOs near conmods as well,ARPU9,Aristida purpurea,Native,Perennial,Grass
Multiple small to large ARPUs throughout along with a large BAMU in center and a medium sized BOCU in the NW section,ARPU9,Aristida purpurea,Native,Perennial,Grass
"Medium SECO in/near NW pit with a couple tiny seedlings scattered throughout, medium BAMU in the middle, a few small to medium/large ARPUs sprinkled throughout, possibly a small ACHY in SE section (wirey leaf blades that clasp the stem, hairs at the node, only one seed head but similar to examples)",ARPU9,Aristida purpurea,Native,Perennial,Grass
Small to medium ARPUs throughout and small/medium BAMU near the NE edge,ARPU9,Aristida purpurea,Native,Perennial,Grass
Small to large ARPUs throughout and a couple of small SECOs,ARPU9,Aristida purpurea,Native,Perennial,Grass
Small to large ARPUs throughout along with a tiny baby SECO seedling in SE section,ARPU9,Aristida purpurea,Native,Perennial,Grass
Small to medium/large ARPUs throughout especially in the S half of the plot,ARPU9,Aristida purpurea,Native,Perennial,Grass
"Multiple ARPUs small to large sized throughout, possible ACHY in the SE pit, and a couple teeny tiny SECOs in/around some of the pits",ARPU9,Aristida purpurea,Native,Perennial,Grass
Small to medium ARPUs throughout and a few tiny to small SECOs mostly near the conmods,ARPU9,Aristida purpurea,Native,Perennial,Grass
"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout",ARPU9,Aristida purpurea,Native,Perennial,Grass
Multiple medium to extra large ARPUs and large BAMU along the N edge of the plot along with possible tiny seedlings in same pits,ARPU9,Aristida purpurea,Native,Perennial,Grass
Multiple medium to large ARPUs and BOCUs along the northeast edge,ARPU9,Aristida purpurea,Native,Perennial,Grass
Multiple medium to extra large BOCUs and ARPUs throughout but mostly near and aroudn conmods,ARPU9,Aristida purpurea,Native,Perennial,Grass
Multipke medium to large ARPUs and BOCUs as well as a BAMU in the northeast corner but it doesnt have any new/living growth yet,ARPU9,Aristida purpurea,Native,Perennial,Grass
Multiple medium to large ARPUs and BOCUs (mostly ARPUs) as well as a possible PLMU in the center of the plot,ARPU9,Aristida purpurea,Native,Perennial,Grass
Few small to medium ARPUs spaced throughout,ARPU9,Aristida purpurea,Native,Perennial,Grass
Multiple medium to large ARPUs throughout and a couple small BOCUs near and among the conmods,ARPU9,Aristida purpurea,Native,Perennial,Grass
Multiple small to large sized ARPUs spread throughout and a medium sized BOCU in the northwest corner,ARPU9,Aristida purpurea,Native,Perennial,Grass
"No new growth or green vegetation on SECO in the northwest pit but still there, there's a BAMU in the southwest pit as well, possibly ACHY in the south half of the plot, multiple medium to large sized ARPUs mostly in and/or near pits but not all",ARPU9,Aristida purpurea,Native,Perennial,Grass
Multiple medium to extra large ARPUs mostly in/near conmods,ARPU9,Aristida purpurea,Native,Perennial,Grass
Multiple medium to extra large ARPUS,ARPU9,Aristida purpurea,Native,Perennial,Grass
Small to large ARPUs throughout especially in the south half of the plot,ARPU9,Aristida purpurea,Native,Perennial,Grass
"Multiple medium to large ARPUs and possibly and ACHY seedling in the southeast pit (wirey, narrow, clasping blades)",ARPU9,Aristida purpurea,Native,Perennial,Grass
Multiple medium to extra large ARPUs throught and SECo in the northwest corner under an ERCU,ARPU9,Aristida purpurea,Native,Perennial,Grass
Some type of Aristida possibly and ARPU and maybe 1 small maybe BOCU near subplot that's been grazed down,ARPU9,Aristida purpurea,Native,Perennial,Grass
A couple BOCUs and a couple potential BOCU nubs and a possible ARPU,ARPU9,Aristida purpurea,Native,Perennial,Grass
A few possible ARPUs (2 certainty) or other ARsp. (ARTE),ARPU9,Aristida purpurea,Native,Perennial,Grass
1 full BOCU (3) in the northwest corner. A couple potentially smaller grazed down ones throughout as well as a couple potential ARPUs (2),ARPU9,Aristida purpurea,Native,Perennial,Grass
Multiple BOCU's medium-large and a possible medium sized ARPU,ARPU9,Aristida purpurea,Native,Perennial,Grass
Couple medium sized ARPUs (not completely sure 2/3 on certainty of ID) and a large BOCU right next to the NW plot marker rooted just outside of the plot but some overhangs into the plot,ARPU9,Aristida purpurea,Native,Perennial,Grass
"Possible ARPUs, SECO seedling in subplot",ARPU9,Aristida purpurea,Native,Perennial,Grass
Possible young BOCU and ARPU but no seed heads yet therfor unsure ifit is than seeded species cover is 1% but if not it's trace amount because of a few SECOs all found in or near pits,ARPU9,Aristida purpurea,Native,Perennial,Grass
Medium sized BOCU and ARPU,ARPU9,Aristida purpurea,Native,Perennial,Grass
Multiple med to extra large BOCUs and a few small to large ARPUs,ARPU9,Aristida purpurea,Native,Perennial,Grass
A couple BOCUs and a possible ARPU,ARPU9,Aristida purpurea,Native,Perennial,Grass
BOCU partially in/on the west edge of the plot and a possible ARPU,ARPU9,Aristida purpurea,Native,Perennial,Grass
Aristida species between the northeast and southeast pits possibly an ARPU if not than seeded species cover would be 0%,ARPU9,Aristida purpurea,Native,Perennial,Grass
Multiple BOCUS and a couple possible ARPUs throughout,ARPU9,Aristida purpurea,Native,Perennial,Grass
Some type of Aristida possibly and ARPU and maybe 1 small maybe BOCU near subplot that's been grazed down,ARPUspp.SRER,"Aristida spp., SRER",Native,Unknown,Grass
Some possible ARPUs (2 certainty) or ARsp. (ARTE). Mostly dried still or grazed down.,ARPUspp.SRER,"Aristida spp., SRER",Native,Unknown,Grass
Potentially 3 or 4 BOCU (1 certainty) and possibly an ARPU (2) or othe ARsp. hard to be certain because all the grasses have been grazed down to nubs,ARPUspp.SRER,"Aristida spp., SRER",Native,Unknown,Grass
ARTE3,ARTE3,Aristida ternipes,Native,Perennial,Grass
BOAR,BOAR,Bouteloua aristidoides,Native,Annual,Grass
BOBA2,BOBA2,Bouteloua barbata,Native,Annual,Grass
BOCU,BOCU,Bouteloua curtipendula,Native,Perennial,Grass
Large BOCU in the southeast with a few small ones throughout and about 5 ARPUs small to large in size that're mostly near the conmods,BOCU,Bouteloua curtipendula,Native,Perennial,Grass
A few ARPUs and young BOCUs mostly near/in the south half except for a smaller ARPU in the northwest and a BAMU just north of subplot,BOCU,Bouteloua curtipendula,Native,Perennial,Grass
3 individual ARPUs  and a BOCU,BOCU,Bouteloua curtipendula,Native,Perennial,Grass
Multiple medium to large ARPU and small/medium BOCU near the NE corner and a couple tiny SECOs,BOCU,Bouteloua curtipendula,Native,Perennial,Grass
Small/medium to large ARPUs and small to large BOCU throughout,BOCU,Bouteloua curtipendula,Native,Perennial,Grass
Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,BOCU,Bouteloua curtipendula,Native,Perennial,Grass
