Region,Site,CodeOriginal
Sonoran SE,Patagonia,"Possible SPCR in subplot, Blue not Black grama"
Sonoran SE,Patagonia,"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout"
Sonoran SE,Patagonia,"Possible small SPCR near middle of the east edge (no tiller, culm, or seed heads but fuzziness/hairs at the ligule) and possible POSE next to the subplot (all leaf blades and midvein on bottome) if not than 0% seeded species cover"
Sonoran SE,SRER,Possible young BOCU and ARPU but no seed heads yet therfor unsure ifit is than seeded species cover is 1% but if not it's trace amount because of a few SECOs all found in or near pits
Sonoran SE,SRER,Possibly 2 BOCUs (2 certainty) but very little green left to help identify
Sonoran SE,SRER,Possibly 3 small BOER (1 certainty) or other BOsp.
Sonoran SE,SRER,Possibly a BOCU but has been grazed down completely and hard to confirm
Sonoran SE,Patagonia,Possibly a BOER if not than other BOsp. possibly BOGR
Sonoran SE,Patagonia,Possibly a SPCR
Sonoran SE,Patagonia,Possibly a couple of MATA seedlings and possibly a SPCR seedling in the subplot
Sonoran SE,Patagonia,Possibly a couple of small SPCRs in/near the northeast pit but if not than 0%
Sonoran SE,Patagonia,Possibly a small SPCR in the S half
Sonoran SE,SRER,Possibly a young ASTU if not seeded species cover is 0%
Sonoran SE,Patagonia,"Possibly small POSE and SPCR in the S half of the plot, BLUE grama not BLACK"
Sonoran SE,SRER,Possibly two SPCRs (or possibly POSEs?) near the southwest and northwest (No sead heads yet but membraneous ligule with hair and blades at an almost 90 degrees fro the stems however if neither than the seeded species cover would be 0%
Sonoran SE,SRER,Potentially 3 or 4 BOCU (1 certainty) and possibly an ARPU (2) or othe ARsp. hard to be certain because all the grasses have been grazed down to nubs
Sonoran SE,SRER,Probable BOCUs with apparent grazing
Sonoran SE,SRER,Quite a few small tp extra large BOCUs throughout along with a possible ASTU
Utah,UtahPJ,Regrowth
Utah,UtahPJ,Regrowth of SPGR
Colorado Plateau,FlyingM,SALRE
Colorado Plateau,FlyingM,SARE
Colorado Plateau,BarTBar,SATR
Mojave,29_Palms,SCHSPP
Sonoran Central,Pleasant,SISYM
Colorado Plateau,BabbittPJ,SPSP
Colorado Plateau,BarTBar,SPSP
Colorado Plateau,FlyingM,SPSP
Colorado Plateau,PEFO,SPSP
Colorado Plateau,TLE,SPSP
Colorado Plateau,MOWE,SPSP
Mojave,29_Palms,STISPP
Colorado Plateau,Spiderweb,SUNFO
Colorado Plateau,PEFO,SUNGR
Colorado Plateau,Spiderweb,SUNGR
Colorado Plateau,TLE,SUNGR
Colorado Plateau,BabbittPJ,SUNGR
Colorado Plateau,MOWE,SUNGR
Colorado Plateau,PEFO,SUNGR1
Sonoran SE,Patagonia,SW conmod is overgrown with Blue grama but NO black grama but thee's a possible young PEPA by the NW conmod
Sonoran SE,SRER,Small POSE near SW pit
Sonoran SE,Patagonia,Small to large ARPUs and BOCUs along with a couple small SECOs as well as a possible PLMU in the middle (rough feeling and membranous ligule but no seed heads)
Sonoran SE,Patagonia,Small to large ARPUs throughout along with a tiny baby SECO seedling in SE section
Sonoran SE,Patagonia,Small to large ARPUs throughout and a couple of small SECOs
Sonoran SE,Patagonia,Small to large ARPUs throughout especially in the south half of the plot
Sonoran SE,Patagonia,Small to medium ARPUs throughout and a few tiny to small SECOs mostly near the conmods
Sonoran SE,Patagonia,Small to medium ARPUs throughout and small/medium BAMU near the NE edge
Sonoran SE,Patagonia,Small to medium/large ARPUs throughout especially in the S half of the plot
Sonoran SE,Patagonia,Small/medium to large ARPUs and small to large BOCU throughout
Sonoran SE,SRER,Some possible ARPUs (2 certainty) or ARsp. (ARTE). Mostly dried still or grazed down.
Sonoran SE,SRER,"Some possible BOCUs but no seed heads, tillers, culms to verify ID yet but if all are BOCUs than it's 2% seeded species cover however if none are than there are a few SECOs throught mostly found in/near the pits"
Sonoran SE,SRER,Some type of Aristida possibly and ARPU and maybe 1 small maybe BOCU near subplot that's been grazed down
Sonoran SE,Patagonia,Southwest pit has 1 BAMU and 4 small ARPUs. Northwest pit has 2 medium and 2 small ARPUs and 1 dreid up SECO. There are a few more small to medium sized ARPUs throughout
Colorado Plateau,Spiderweb,Sporobolus
Sonoran SE,SRER,"There are a couple possible small BOERs but no seed, tillers, culms, to help ID but if not BOER and a different bouteloa species than 0%"
Sonoran SE,SRER,There're a couple possible tiny MATA seedlings in some of the pits if not MATA than 0% (too small to ID for sure)
Sonoran SE,Patagonia,There're a couple potential MATA seedlings near/under a couple of the larger grass bunches however if not MATA than 0% seeded species cover
Sonoran SE,SRER,There're multiple BOCUs and a couple possible SECO seedlings
Sonoran SE,SRER,"There's a possible POSE (boat/canoe leaf blades, greener than other grasses currently around, it's very basal and tufted too with a membraneous ligule however if it's not than 0% seeded species cover"
Sonoran SE,SRER,There's a possible SPCR along the north edge and southwest near the center however if neither are SPCRs than seeded species cover would be 0%
Chihuahuan,Mesquite,Trifolium
Colorado Plateau,BabbittPJ,UNAM
Sonoran SE,SRER,UNDPF
Colorado Plateau,Spiderweb,UNFO
Colorado Plateau,FlyingM,UNFO1
Colorado Plateau,MOWE,UNFO1
Colorado Plateau,PEFO,UNFO1
Colorado Plateau,TLE,UNFO1
Colorado Plateau,BarTBar,UNFO1
Colorado Plateau,BarTBar,UNFO12
Colorado Plateau,BarTBar,UNFO13
Colorado Plateau,FlyingM,UNFO13
Colorado Plateau,BarTBar,UNFO15
Colorado Plateau,BarTBar,UNFO18
Colorado Plateau,AguaFria,UNFO2
Colorado Plateau,FlyingM,UNFO2
Colorado Plateau,PEFO,UNFO2
Colorado Plateau,BarTBar,UNFO2
Mojave,29_Palms,UNFO2
Colorado Plateau,FlyingM,UNFO3
Colorado Plateau,BarTBar,UNFO4
Colorado Plateau,FlyingM,UNFO4
Colorado Plateau,FlyingM,UNFO5
Colorado Plateau,MOWE,UNFO5
Colorado Plateau,FlyingM,UNFO6
Colorado Plateau,Spiderweb,UNFO6
Colorado Plateau,FlyingM,UNFO7
Colorado Plateau,Spiderweb,UNFO7
Colorado Plateau,AguaFria,UNFO8
Colorado Plateau,BarTBar,UNFO8
Colorado Plateau,Spiderweb,UNFO8
Colorado Plateau,Spiderweb,UNFO9
Colorado Plateau,BabbittPJ,UNGR
Colorado Plateau,BarTBar,UNGR
Colorado Plateau,FlyingM,UNGR
Colorado Plateau,MOWE,UNGR
Colorado Plateau,PEFO,UNGR
Colorado Plateau,Spiderweb,UNGR
Colorado Plateau,TLE,UNGR
Sonoran SE,SRER,UNGR
Sonoran SE,SRER,UNGR-2 possibly a Bouteloua (BOCU?) Maybe PLJA? (never seen)
Colorado Plateau,PEFO,UNGR1
Colorado Plateau,MOWE,UNGR2
Colorado Plateau,PEFO,UNGR2
Utah,UtahPJ,UNGR2
Colorado Plateau,MOWE,UNGR4
Colorado Plateau,AguaFria,UNGR5
Colorado Plateau,Spiderweb,UNGR5
Colorado Plateau,FlyingM,UNGRs
Sonoran Central,Preserve,UNK heart
Colorado Plateau,PEFO,UNKM
Colorado Plateau,Spiderweb,UNK_AMARANTH
Colorado Plateau,BarTBar,UNSH
Chihuahuan,Mesquite,Unk Grass
Sonoran Central,Preserve,Unk dark
Sonoran Central,Pleasant,Unk forb
Sonoran Central,Pleasant,Unk grass
Sonoran Central,SCC,Unk grass
Sonoran Central,Roosevelt,Unk grass 1
Sonoran Central,Pleasant,Unk sp.
Colorado Plateau,BabbittPJ,UnkAster
Colorado Plateau,PEFO,Unkaster
Chihuahuan,Creosote,Unkastr2
Chihuahuan,Creosote,Unkcrypt
Chihuahuan,Creosote,Unkfabaceae
Chihuahuan,Creosote,Unkforb
Chihuahuan,Creosote,Unkforb1
Chihuahuan,Mesquite,Unkforb1
Chihuahuan,Creosote,Unkforb3
Chihuahuan,Mesquite,Unkforbgreen
Chihuahuan,Mesquite,Unkforbwavy
Chihuahuan,Mesquite,Unkfuzzyaster
Chihuahuan,Creosote,Unkgrass
Chihuahuan,Mesquite,Unkgrass
Chihuahuan,Creosote,Unkgrass1
Chihuahuan,Mesquite,Unkhairygrass
Chihuahuan,Creosote,Unksalsola
Chihuahuan,Creosote,Unksporo
Chihuahuan,Mesquite,Unksporo
Sonoran Central,Roosevelt,VEPE2
Sonoran SE,Patagonia,none seeded
Sonoran Central,Roosevelt,unk forb
Sonoran Central,SCC,unk grass
Sonoran Central,Roosevelt,unk grass 1
