Site,Date_Seeded,Date_Monitored,Plot,Treatment,PlotMix,Seeded_Cover,Total_Veg_Cover,raw.row,Region,source,Code
Patagonia,2019-08-09,2021-10-14,19,Seed,Warm,5,78,4803,Sonoran SE,add1,Small to medium ARPUs throughout and small/medium BAMU near the NE edge
Patagonia,2019-08-09,2021-10-14,20,Pits,Medium,TR,73,4804,Sonoran SE,add1,"Possibly small POSE and SPCR in the S half of the plot, BLUE grama not BLACK"
Patagonia,2019-08-09,2021-10-14,21,Seed,Medium,TR,94,4805,Sonoran SE,add1,"Possible SPCR in subplot, Blue not Black grama"
Patagonia,2019-08-09,2021-10-14,22,ConMod,Warm,15,97,4806,Sonoran SE,add1,Small to large ARPUs throughout and a couple of small SECOs
Patagonia,2019-08-09,2021-10-14,23,Mulch,Warm,17,67,4807,Sonoran SE,add1,Small to large ARPUs throughout along with a tiny baby SECO seedling in SE section
Patagonia,2019-08-09,2021-10-14,25,Pits,Warm,9,70,4809,Sonoran SE,add1,"Multiple ARPUs small to large sized throughout, possible ACHY in the SE pit, and a couple teeny tiny SECOs in/around some of the pits"
Patagonia,2019-08-09,2021-10-14,30,ConMod,Warm,11,75,4814,Sonoran SE,add1,Small to medium ARPUs throughout and a few tiny to small SECOs mostly near the conmods
Patagonia,2019-08-09,2021-10-14,31,Mulch,Warm,15,99,4815,Sonoran SE,add1,"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout"
Patagonia,2019-08-09,2021-10-14,32,Pits,Warm,10,97,4816,Sonoran SE,add1,Multiple medium to extra large ARPUs and large BAMU along the N edge of the plot along with possible tiny seedlings in same pits
Patagonia,2019-08-09,2021-10-14,33,ConMod,Medium,TR,95,4817,Sonoran SE,add1,SW conmod is overgrown with Blue grama but NO black grama but thee's a possible young PEPA by the NW conmod
