Site,Region,Date_Seeded,Date_Monitored,Plot,Treatment,PlotMix,CodeOriginal,Seeded_Cover,Total_Veg_Cover,raw.row,source,MonitorID
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,1,Seed,Warm,Multiple medium to large ARPU and small/medium BOCU near the NE corner and a couple tiny SECOs,7,60,4785,add1,4794
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,15,Mulch,Warm,Multiple small to large ARPUs throughout along with a large BAMU in center and a medium sized BOCU in the NW section,11,45,4799,add1,4808
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,3,Pits,Warm,Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,13,85,4787,add1,4796
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-03-12T00:00:00Z,31,Mulch,Warm,Possible ACHY near southwest corner (2 certainty) and about 10 ARPU small to medium in size with 2 of them next to the subplot but not quite in,2,20,4743,add1,4752
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-10-06T00:00:00Z,3,Pits,Warm,"Possible ARPUs, SECO seedling in subplot",TR,98,4751,add1,4760
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,31,Mulch,Warm,"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout",15,99,4815,add1,4824
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,21,Seed,Medium,"Possible SPCR in subplot, Blue not Black grama",TR,94,4805,add1,4814
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-10-07T00:00:00Z,11,Pits,Warm,Possible young BOCU and ARPU but no seed heads yet therfor unsure ifit is than seeded species cover is 1% but if not it's trace amount because of a few SECOs all found in or near pits,TR,95,4759,add1,4768
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,20,Pits,Medium,"Possibly small POSE and SPCR in the S half of the plot, BLUE grama not BLACK",TR,73,4804,add1,4813
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-10-09T00:00:00Z,31,Mulch,Warm,Quite a few small tp extra large BOCUs throughout along with a possible ASTU,11,82,4779,add1,4788
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,4,Mulch,Warm,Small to large ARPUs and BOCUs along with a couple small SECOs as well as a possible PLMU in the middle (rough feeling and membranous ligule but no seed heads),10,82,4788,add1,4797
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,23,Mulch,Warm,Small to large ARPUs throughout along with a tiny baby SECO seedling in SE section,17,67,4807,add1,4816
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,22,ConMod,Warm,Small to large ARPUs throughout and a couple of small SECOs,15,97,4806,add1,4815
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,30,ConMod,Warm,Small to medium ARPUs throughout and a few tiny to small SECOs mostly near the conmods,11,75,4814,add1,4823
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,19,Seed,Warm,Small to medium ARPUs throughout and small/medium BAMU near the NE edge,5,78,4803,add1,4812
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,2,ConMod,Warm,Small/medium to large ARPUs and small to large BOCU throughout,12,80,4786,add1,4795
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-03-10T00:00:00Z,10,ConMod,Warm,Some type of Aristida possibly and ARPU and maybe 1 small maybe BOCU near subplot that's been grazed down,TR,6,4686,add1,4695
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-03-12T00:00:00Z,16,Pits,Warm,Southwest pit has 1 BAMU and 4 small ARPUs. Northwest pit has 2 medium and 2 small ARPUs and 1 dreid up SECO. There are a few more small to medium sized ARPUs throughout,2,13,4728,add1,4737
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,33,ConMod,Medium,SW conmod is overgrown with Blue grama but NO black grama but thee's a possible young PEPA by the NW conmod,TR,95,4817,add1,4826
