Site,Date_Seeded,Date_Monitored,Plot,Treatment,PlotMix
Preserve,2019-11-25,2021-03-30T00:00:00Z,6,Seed only,Warm
Preserve,2019-11-25,2021-03-30T00:00:00Z,10,Seed only,Cool
Preserve,2019-11-25,2021-03-30T00:00:00Z,11,Seed only,Warm
Preserve,2019-11-25,2021-03-30T00:00:00Z,15,Seed only,Cool
Preserve,2019-11-25,2021-03-30T00:00:00Z,21,Seed only,Warm
Preserve,2019-11-25,2021-03-30T00:00:00Z,23,Seed only,Cool
Preserve,2019-11-25,2021-03-30T00:00:00Z,32,Seed only,Warm
Preserve,2019-11-25,2021-10-06T00:00:00Z,11,Seed only,Warm
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,1,Pits,Cool
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,2,Seed,Cool
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,3,ConMod,Cool
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,4,Mulch,Cool
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,5,Pits,Warm
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,6,ConMod,Warm
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,7,Seed,Warm
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,8,Pits,Cool
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,9,Control,None
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,10,ConMod,Warm
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,11,Seed,Cool
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,12,Control,None
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,13,Pits,Warm
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,14,Mulch,Warm
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,15,ConMod,Cool
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,16,Seed,Warm
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,17,Pits,Cool
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,18,Mulch,Cool
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,19,ConMod,Cool
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,20,Seed,Cool
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,21,Pits,Warm
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,22,Mulch,Warm
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,23,Mulch,Cool
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,24,ConMod,Warm
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,25,Control,None
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,26,Mulch,Warm
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,27,Pits,Cool
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,28,ConMod,Cool
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,29,Mulch,Cool
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,30,Seed,Warm
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,31,Mulch,Warm
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,32,ConMod,Warm
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,33,Pits,Warm
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,34,Seed,Cool
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,35,Control,None
Roosevelt,2019-09-22,2020-03-25T00:00:00Z,36,Seed,Warm
Roosevelt,2019-11-22,2021-04-01T00:00:00Z,2,Seed only,Cool
Roosevelt,2019-11-22,2021-04-01T00:00:00Z,7,Seed only,Warm
Roosevelt,2019-11-22,2021-04-01T00:00:00Z,11,Seed only,Cool
Roosevelt,2019-11-22,2021-04-01T00:00:00Z,16,Seed only,Warm
Roosevelt,2019-11-22,2021-04-01T00:00:00Z,20,Seed only,Cool
Roosevelt,2019-11-22,2021-04-01T00:00:00Z,30,Seed only,Warm
Roosevelt,2019-11-22,2021-04-01T00:00:00Z,34,Seed only,Cool
Roosevelt,2019-11-22,2021-04-01T00:00:00Z,36,Seed only,Warm
Roosevelt,2019-11-22,2021-10-08T00:00:00Z,2,Seed only,Cool
Roosevelt,2019-11-22,2021-10-08T00:00:00Z,16,Seed only,Warm
Roosevelt,2019-11-22,2021-10-08T00:00:00Z,30,Seed only,Warm
Roosevelt,2019-11-22,2021-10-08T00:00:00Z,34,Seed only,Cool
SCC,2019-09-21,2020-03-27T00:00:00Z,1,Mulch,Cool
SCC,2019-09-21,2020-03-27T00:00:00Z,2,ConMod,Cool
SCC,2019-09-21,2020-03-27T00:00:00Z,3,Control,None
SCC,2019-09-21,2020-03-27T00:00:00Z,4,Seed,Cool
SCC,2019-09-21,2020-03-27T00:00:00Z,5,Pits,Cool
SCC,2019-09-21,2020-03-27T00:00:00Z,6,ConMod,Warm
SCC,2019-09-21,2020-03-27T00:00:00Z,7,Mulch,Warm
SCC,2019-09-21,2020-03-27T00:00:00Z,8,Seed,Warm
SCC,2019-09-21,2020-03-27T00:00:00Z,9,Mulch,Cool
SCC,2019-09-21,2020-03-27T00:00:00Z,10,Pits,Warm
SCC,2019-09-21,2020-03-27T00:00:00Z,11,ConMod,Cool
SCC,2019-09-21,2020-03-27T00:00:00Z,12,Control,None
SCC,2019-09-21,2020-03-27T00:00:00Z,13,Seed,Cool
SCC,2019-09-21,2020-03-27T00:00:00Z,14,ConMod,Warm
SCC,2019-09-21,2020-03-27T00:00:00Z,15,Control,None
SCC,2019-09-21,2020-03-27T00:00:00Z,16,Seed,Warm
SCC,2019-09-21,2020-03-27T00:00:00Z,17,Mulch,Warm
SCC,2019-09-21,2020-03-27T00:00:00Z,18,Pits,Cool
SCC,2019-09-21,2020-03-27T00:00:00Z,19,Mulch,Cool
SCC,2019-09-21,2020-03-27T00:00:00Z,20,ConMod,Cool
SCC,2019-09-21,2020-03-27T00:00:00Z,21,Pits,Warm
SCC,2019-09-21,2020-03-27T00:00:00Z,22,Seed,Cool
SCC,2019-09-21,2020-03-27T00:00:00Z,23,ConMod,Warm
SCC,2019-09-21,2020-03-27T00:00:00Z,24,Pits,Cool
SCC,2019-09-21,2020-03-27T00:00:00Z,25,Seed,Warm
SCC,2019-09-21,2020-03-27T00:00:00Z,26,ConMod,Cool
SCC,2019-09-21,2020-03-27T00:00:00Z,27,Mulch,Warm
SCC,2019-09-21,2020-03-27T00:00:00Z,28,Pits,Warm
SCC,2019-09-21,2020-03-27T00:00:00Z,29,Control,None
SCC,2019-09-21,2020-03-27T00:00:00Z,30,Mulch,Cool
SCC,2019-09-21,2020-03-27T00:00:00Z,31,Pits,Cool
SCC,2019-09-21,2020-03-27T00:00:00Z,32,Seed,Cool
SCC,2019-09-21,2020-03-27T00:00:00Z,33,ConMod,Warm
SCC,2019-09-21,2020-03-27T00:00:00Z,34,Mulch,Warm
SCC,2019-09-21,2020-03-27T00:00:00Z,35,Seed,Warm
SCC,2019-09-21,2020-03-27T00:00:00Z,36,Pits,Warm
SCC,2019-11-21,2021-03-31T00:00:00Z,4,Seed only,Cool
SCC,2019-11-21,2021-03-31T00:00:00Z,8,Seed only,Warm
SCC,2019-11-21,2021-03-31T00:00:00Z,13,Seed only,Cool
SCC,2019-11-21,2021-03-31T00:00:00Z,16,Seed only,Warm
SCC,2019-11-21,2021-03-31T00:00:00Z,22,Seed only,Cool
SCC,2019-11-21,2021-03-31T00:00:00Z,25,Seed only,Warm
SCC,2019-11-21,2021-03-31T00:00:00Z,32,Seed only,Cool
SCC,2019-11-21,2021-03-31T00:00:00Z,35,Seed only,Warm
SCC,2019-11-21,2021-10-13T00:00:00Z,16,Seed only,Warm
SCC,2019-11-21,2021-10-13T00:00:00Z,25,Seed only,Warm
SCC,2019-11-21,2021-10-13T00:00:00Z,35,Seed only,Warm
