CodeOriginal,Code,Name,Native,Duration,Lifeform,NeedsItsDuplicate,DuplicateNum
"Multiple ARPUs small to large sized throughout, possible ACHY in the SE pit, and a couple teeny tiny SECOs in/around some of the pits",ACHY,Achnatherum hymenoides,Native,Perennial,Grass,Yes,1
"Multiple ARPUs small to large sized throughout, possible ACHY in the SE pit, and a couple teeny tiny SECOs in/around some of the pits",ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,2
"Multiple ARPUs small to large sized throughout, possible ACHY in the SE pit, and a couple teeny tiny SECOs in/around some of the pits",SECO10,Senna covesii,Native,Perennial,Forb,Yes,3
Multiple BOCU's medium-large and a possible medium sized ARPU,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Multiple BOCU's medium-large and a possible medium sized ARPU,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,3
Multiple med to extra large BOCUs and a few small to large ARPUs,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Multiple med to extra large BOCUs and a few small to large ARPUs,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,3
Multiple medium to extra large ARPUs and large BAMU along the N edge of the plot along with possible tiny seedlings in same pits,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Multiple medium to extra large ARPUs and large BAMU along the N edge of the plot along with possible tiny seedlings in same pits,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,3
Multiple medium to large ARPU and small/medium BOCU near the NE corner and a couple tiny SECOs,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Multiple medium to large ARPU and small/medium BOCU near the NE corner and a couple tiny SECOs,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,2
Multiple medium to large ARPU and small/medium BOCU near the NE corner and a couple tiny SECOs,SECO10,Senna covesii,Native,Perennial,Forb,Yes,3
Multiple small to large ARPUs throughout along with a large BAMU in center and a medium sized BOCU in the NW section,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Multiple small to large ARPUs throughout along with a large BAMU in center and a medium sized BOCU in the NW section,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,2
Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes,2
Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,3
Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,PLMU3,Pleuraphis mutica,Native,Perennial,Grass,Yes,4
Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,SECO10,Senna covesii,Native,Perennial,Forb,Yes,5
Possible ACHY near southwest corner (2 certainty) and about 10 ARPU small to medium in size with 2 of them next to the subplot but not quite in,ACHY,Achnatherum hymenoides,Native,Perennial,Grass,Yes,1
Possible ACHY near southwest corner (2 certainty) and about 10 ARPU small to medium in size with 2 of them next to the subplot but not quite in,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,2
"Possible ARPUs, SECO seedling in subplot",ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
"Possible ARPUs, SECO seedling in subplot",SECO10,Senna covesii,Native,Perennial,Forb,Yes,2
"Possible SPCR in subplot, Blue not Black grama",BOGR2,Bouteloua gracilis,Native,Perennial,Grass,Yes,1
"Possible SPCR in subplot, Blue not Black grama",SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,Yes,2
"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout",ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout",ASTU,Asclepias tuberosa,Native,Perennial,Forb,Yes,2
"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout",BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes,3
"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout",SECO10,Senna covesii,Native,Perennial,Forb,Yes,4
Possible young BOCU and ARPU but no seed heads yet therfor unsure ifit is than seeded species cover is 1% but if not it's trace amount because of a few SECOs all found in or near pits,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Possible young BOCU and ARPU but no seed heads yet therfor unsure ifit is than seeded species cover is 1% but if not it's trace amount because of a few SECOs all found in or near pits,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,2
Possible young BOCU and ARPU but no seed heads yet therfor unsure ifit is than seeded species cover is 1% but if not it's trace amount because of a few SECOs all found in or near pits,SECO10,Senna covesii,Native,Perennial,Forb,Yes,3
"Possibly small POSE and SPCR in the S half of the plot, BLUE grama not BLACK",BOGR2,Bouteloua gracilis,Native,Perennial,Grass,Yes,1
"Possibly small POSE and SPCR in the S half of the plot, BLUE grama not BLACK",POSE,Poa secunda,Native,Perennial,Grass,Yes,2
"Possibly small POSE and SPCR in the S half of the plot, BLUE grama not BLACK",SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,Yes,3
Quite a few small tp extra large BOCUs throughout along with a possible ASTU,ASTU,Asclepias tuberosa,Native,Perennial,Forb,Yes,1
Quite a few small tp extra large BOCUs throughout along with a possible ASTU,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,2
Small to large ARPUs and BOCUs along with a couple small SECOs as well as a possible PLMU in the middle (rough feeling and membranous ligule but no seed heads),ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Small to large ARPUs and BOCUs along with a couple small SECOs as well as a possible PLMU in the middle (rough feeling and membranous ligule but no seed heads),BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,2
Small to large ARPUs and BOCUs along with a couple small SECOs as well as a possible PLMU in the middle (rough feeling and membranous ligule but no seed heads),PLMU3,Pleuraphis mutica,Native,Perennial,Grass,Yes,3
Small to large ARPUs and BOCUs along with a couple small SECOs as well as a possible PLMU in the middle (rough feeling and membranous ligule but no seed heads),SECO10,Senna covesii,Native,Perennial,Forb,Yes,4
Small to large ARPUs throughout along with a tiny baby SECO seedling in SE section,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Small to large ARPUs throughout along with a tiny baby SECO seedling in SE section,SECO10,Senna covesii,Native,Perennial,Forb,Yes,2
Small to large ARPUs throughout and a couple of small SECOs,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Small to large ARPUs throughout and a couple of small SECOs,SECO10,Senna covesii,Native,Perennial,Forb,Yes,2
Small to medium ARPUs throughout and a few tiny to small SECOs mostly near the conmods,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Small to medium ARPUs throughout and a few tiny to small SECOs mostly near the conmods,SECO10,Senna covesii,Native,Perennial,Forb,Yes,2
Small to medium ARPUs throughout and small/medium BAMU near the NE edge,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Small to medium ARPUs throughout and small/medium BAMU near the NE edge,BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes,2
Small/medium to large ARPUs and small to large BOCU throughout,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Small/medium to large ARPUs and small to large BOCU throughout,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,2
Southwest pit has 1 BAMU and 4 small ARPUs. Northwest pit has 2 medium and 2 small ARPUs and 1 dreid up SECO. There are a few more small to medium sized ARPUs throughout,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,1
Southwest pit has 1 BAMU and 4 small ARPUs. Northwest pit has 2 medium and 2 small ARPUs and 1 dreid up SECO. There are a few more small to medium sized ARPUs throughout,BAMU,Baileya multiradiata,Native,Unknown,Forb,Yes,2
Southwest pit has 1 BAMU and 4 small ARPUs. Northwest pit has 2 medium and 2 small ARPUs and 1 dreid up SECO. There are a few more small to medium sized ARPUs throughout,SECO10,Senna covesii,Native,Perennial,Forb,Yes,3
