Site,CodeOriginal,NeedsItsDuplicate,DuplicateNum,Code,Name,Native,Duration,Lifeform,LocationDependence
Patagonia,"ARPU many individuals, BAMU 1 individual, PLMU (2) 1 individual, ACHY (2) 1 individual",Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,"ARPU many individuals, BAMU 1 individual, PLMU (2) 1 individual, ACHY (2) 1 individual",Yes,2,BAMU,Baileya multiradiata,Native,Unknown,Forb,independent
Patagonia,"ARPU many individuals, BAMU 1 individual, PLMU (2) 1 individual, ACHY (2) 1 individual",Yes,3,PLMU3,Pleuraphis mutica,Native,Perennial,Grass,independent
Patagonia,"ARPU many individuals, BAMU 1 individual, PLMU (2) 1 individual, ACHY (2) 1 individual",Yes,4,ACHY,Achnatherum hymenoides,Native,Perennial,Grass,independent
Patagonia,ARPU many small tufts and some with seed,No,,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,ARPU multiple individuals,No,,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,ARPU numerous individuals,No,,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,ARPU small tufts and a tall individual,No,,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
SCC,ARPUP6,No,,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Pleasant,ARPUP6,No,,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,At least 10 ARPUs throughout small to large in size,No,,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
FlyingM,ATSPP,No,,ATSPP,Unknown AT spp.,Unknown,Unknown,Unknown,dependent
Patagonia,Blue grama BOGR in the S half of the plot don't confuse with black grama BOER,No,,BOGR2,Bouteloua gracilis,Native,Perennial,Grass,independent
SRER,BOCUs up to this point could also possibly be slender grama BORE or purple BORA,No,,BOCU/BORE/BORA,Bouteloua curtipendula/repens/radicosa (spp.),Native,Perennial,Grass,dependent
Creosote,BOER,No,,BOER4,Bouteloua eriopoda,Native,Perennial,Grass,independent
Patagonia,BOER (2 certainty) on edge of the southwest pit,No,,BOER4,Bouteloua eriopoda,Native,Perennial,Grass,independent
Patagonia,BOER in center/near southwest conmod possibly 5-8,No,,BOER4,Bouteloua eriopoda,Native,Perennial,Grass,independent
SRER,BOsp. a lot of possibly BOCU but could also be BORE or BORA,No,,BOCU/BORE/BORA,Bouteloua curtipendula/repens/radicosa (spp.),Native,Perennial,Grass,dependent
BabbittPJ,BOSPP,No,,BOSPP,Bouteloua spp.,Native,Unknown,Grass,dependent
BarTBar,BOSPP,No,,BOSPP,Bouteloua spp.,Native,Unknown,Grass,dependent
FlyingM,BOSPP,No,,BOSPP,Bouteloua spp.,Native,Unknown,Grass,dependent
MOWE,BOSPP,No,,BOSPP,Bouteloua spp.,Native,Unknown,Grass,dependent
PEFO,BOSPP,No,,BOSPP,Bouteloua spp.,Native,Unknown,Grass,dependent
Spiderweb,BOSPP,No,,BOSPP,Bouteloua spp.,Native,Unknown,Grass,dependent
Spiderweb,BOUBAR,No,,BOBAB3,Bouteloua barbata v. barbata,Native,Annual,Grass,independent
Patagonia,Bouteloua on W edge but almost positive it's BOGR (blue gramma) not BOER (black gramma),No,,BOGR2,Bouteloua gracilis,Native,Perennial,Grass,independent
BabbittPJ,CHEN,No,,CHEN,Unknown chenopod,Native/Unknown,Unknown,Forb,dependent
PEFO,CHEN,No,,CHEN,Unknown chenopod,Native/Unknown,Unknown,Forb,dependent
MOWE,CHEN,No,,CHEN,Unknown chenopod,Native/Unknown,Unknown,Forb,dependent
Patagonia,Couple big ARPUs and a few small ones throughout,No,,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
SRER,Couple extra large BOCUs,No,,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
SRER,Couple medium sized ARPUs (not completely sure 2/3 on certainty of ID) and a large BOCU right next to the NW plot marker rooted just outside of the plot but some overhangs into the plot,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
SRER,Couple medium sized ARPUs (not completely sure 2/3 on certainty of ID) and a large BOCU right next to the NW plot marker rooted just outside of the plot but some overhangs into the plot,Yes,2,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Patagonia,Couple small to medium ARPUs throughout and a couple small SECOs in N half of the plot typically hidden under/using ERCU as a shade plant,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Couple small to medium ARPUs throughout and a couple small SECOs in N half of the plot typically hidden under/using ERCU as a shade plant,Yes,2,SECO10,Senna covesii,Native,Perennial,Forb,independent
Patagonia,Couple small to medium ARPUs throughout and a couple small SECOs in N half of the plot typically hidden under/using ERCU as a shade plant,Yes,3,ERCU2,Eragrostis curvula,Introduced,Perennial,Grass,independent
AVRCD,CRSE1,No,,CRSE1,Croton or Cryptantha spp. (?),Native/Unknown,Unknown,Forb,dependent
Spiderweb,DASPUL,No,,DASPUL,Unknown DASPUL,Unknown,Unknown,Unknown,dependent
UtahPJ,Dormant shrubs,No,,SHRUBdor,Dormant shrubs,Unknown,Perennial,Shrub,dependent
BabbittPJ,ELEL5 (seeded),No,,ELEL6,Elymus elymoides,Native,Perennial,Grass,independent
BabbittPJ,ELEL5 (unseeded),No,,ELEL7,Elymus elymoides,Native,Perennial,Grass,independent
BabbittPJ,ELSP,No,,ELSP,Elymus spp.,Native/Unknown,Unknown,Grass,dependent
BabbittPJ,ELSP (seeded),No,,ELSPse,seeded Elymus spp.,Native,Unknown,Grass,dependent
BabbittPJ,ELTR7 (seeded),No,,ELTR7,Elymus trachycaulus,Native,Perennial,Grass,independent
BabbittPJ,ELWA,No,,ELWA2,Elymus wawawaiensis,Native,Perennial,Grass,independent
BabbittPJ,ELWA2 (seeded),No,,ELWA2,Elymus wawawaiensis,Native,Perennial,Grass,independent
UtahPJ,ERIGSPP,No,,ERIGSPP,Unknown ERIG (?),Unknown,Unknown,Unknown,dependent
Preserve,EUPO3,No,,CHPO12,Chamaesyce polycarpa,Native,Unknown,Forb,independent
SRER,Extra large BOCU,No,,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
SRER,Extra large BOER in S half and medium sized one next to NE plot  corner that partially hangs in and at least 2 small ones within the plot as well,No,,BOER4,Bouteloua eriopoda,Native,Perennial,Grass,independent
SRER,Extra large to medium large BOCUs throughout and at least 2 tiny SECO near/in SE pit and NE/subplot pit,Yes,1,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
SRER,Extra large to medium large BOCUs throughout and at least 2 tiny SECO near/in SE pit and NE/subplot pit,Yes,2,SECO10,Senna covesii,Native,Perennial,Forb,independent
BabbittPJ,HCI,No,,HCI,Unknown HCI (?),Unknown,Unknown,Unknown,dependent
SRER,HEMU,No,,HEMU3,Heliomeris multiflora,Native,Perennial,Forb,independent
PEFO,HOIN,No,,HOIN2,Hordeum intercedens,Native,Annual,Grass,independent
MOWE,HYVE,No,,HYVE,Hybanthus verticillatus,Native,Perennial,Forb,independent
SRER,Large and medium BOCUs in plot,No,,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Patagonia,Large BOCU in the southeast with a few small ones throughout and about 5 ARPUs small to large in size that're mostly near the conmods,Yes,1,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Patagonia,Large BOCU in the southeast with a few small ones throughout and about 5 ARPUs small to large in size that're mostly near the conmods,Yes,2,ARPUspp,Aristida spp.,Native,Unknown,Grass,dependent
Creosote,Lesquerella sp.,No,,LESSPP,Lesquerella spp.,Native,Unknown,Forb,dependent
CRC,"Lots of unknown grasses, potentially S-PASM",No,,UNKGR,"Lots of unknown grasses, potentially S-PASM",Unknown,Unknown,Grass,dependent
Patagonia,MATA is the SW corner,No,,MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb,independent
Patagonia,MATA seedling in southwest section,No,,MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb,independent
SRER,Medium BOCU mostly rooted outside of the SW side of the plot butr partially in with some overhang,No,,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Patagonia,"Medium SECO in/near NW pit with a couple tiny seedlings scattered throughout, medium BAMU in the middle, a few small to medium/large ARPUs sprinkled throughout, possibly a small ACHY in SE section (wirey leaf blades that clasp the stem, hairs at the node, only one seed head but similar to examples)",Yes,1,SECO10,Senna covesii,Native,Perennial,Forb,independent
Patagonia,"Medium SECO in/near NW pit with a couple tiny seedlings scattered throughout, medium BAMU in the middle, a few small to medium/large ARPUs sprinkled throughout, possibly a small ACHY in SE section (wirey leaf blades that clasp the stem, hairs at the node, only one seed head but similar to examples)",Yes,2,BAMU,Baileya multiradiata,Native,Unknown,Forb,independent
Patagonia,"Medium SECO in/near NW pit with a couple tiny seedlings scattered throughout, medium BAMU in the middle, a few small to medium/large ARPUs sprinkled throughout, possibly a small ACHY in SE section (wirey leaf blades that clasp the stem, hairs at the node, only one seed head but similar to examples)",Yes,3,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,"Medium SECO in/near NW pit with a couple tiny seedlings scattered throughout, medium BAMU in the middle, a few small to medium/large ARPUs sprinkled throughout, possibly a small ACHY in SE section (wirey leaf blades that clasp the stem, hairs at the node, only one seed head but similar to examples)",Yes,4,ACHY,Achnatherum hymenoides,Native,Perennial,Grass,independent
SRER,Medium sized BOCU and ARPU,Yes,1,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
SRER,Medium sized BOCU and ARPU,Yes,2,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Medium to large ARPUs throughout and a couple small and medium BOCUs near the N conmods and a few teeny tiny SECOs near conmods as well,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Medium to large ARPUs throughout and a couple small and medium BOCUs near the N conmods and a few teeny tiny SECOs near conmods as well,Yes,2,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Patagonia,Medium to large ARPUs throughout and a couple small and medium BOCUs near the N conmods and a few teeny tiny SECOs near conmods as well,Yes,3,SECO10,Senna covesii,Native,Perennial,Forb,independent
Patagonia,Might possibly be a small POSE,No,,POSE,Poa secunda,Native,Perennial,Grass,independent
Patagonia,More Blue grama Don't confuse with Black,No,,BOGR2,Bouteloua gracilis,Native,Perennial,Grass,independent
SRER,More of what we called BOCU in last plot,No,,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Patagonia,"Multiple ARPUs small to large sized throughout, possible ACHY in the SE pit, and a couple teeny tiny SECOs in/around some of the pits",Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,"Multiple ARPUs small to large sized throughout, possible ACHY in the SE pit, and a couple teeny tiny SECOs in/around some of the pits",Yes,2,ACHY,Achnatherum hymenoides,Native,Perennial,Grass,independent
Patagonia,"Multiple ARPUs small to large sized throughout, possible ACHY in the SE pit, and a couple teeny tiny SECOs in/around some of the pits",Yes,3,SECO10,Senna covesii,Native,Perennial,Forb,independent
SRER,Multiple BOCU's medium-large and a possible medium sized ARPU,Yes,1,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
SRER,Multiple BOCU's medium-large and a possible medium sized ARPU,Yes,2,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
SRER,Multiple med to extra large BOCUs and a few small to large ARPUs,Yes,1,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
SRER,Multiple med to extra large BOCUs and a few small to large ARPUs,Yes,2,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Multiple medium to extra large ARPUs and large BAMU along the N edge of the plot along with possible tiny seedlings in same pits,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Multiple medium to extra large ARPUs and large BAMU along the N edge of the plot along with possible tiny seedlings in same pits,Yes,2,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Patagonia,Multiple medium to large ARPU and small/medium BOCU near the NE corner and a couple tiny SECOs,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Multiple medium to large ARPU and small/medium BOCU near the NE corner and a couple tiny SECOs,Yes,2,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Patagonia,Multiple medium to large ARPU and small/medium BOCU near the NE corner and a couple tiny SECOs,Yes,3,SECO10,Senna covesii,Native,Perennial,Forb,independent
Patagonia,Multiple small to large ARPUs throughout along with a large BAMU in center and a medium sized BOCU in the NW section,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Multiple small to large ARPUs throughout along with a large BAMU in center and a medium sized BOCU in the NW section,Yes,2,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Patagonia,Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,Yes,2,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Patagonia,Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,Yes,3,PLMU3,Pleuraphis mutica,Native,Perennial,Grass,independent
Patagonia,Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,Yes,4,BAMU,Baileya multiradiata,Native,Unknown,Forb,independent
Patagonia,Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,Yes,5,SECO10,Senna covesii,Native,Perennial,Forb,independent
Patagonia,none seeded,No,,0,0,0,0,0,0
Patagonia,None seeded,No,,0,0,0,0,0,0
Patagonia,Not in the Med mix but there are a couple young SECOs,No,,SECO10,Senna covesii,Native,Perennial,Forb,independent
CRC,Not recorded,No,,0,0,0,0,0,0
UtahPJ,Not recorded,No,,0,0,0,0,0,0
Salt_Desert,Not recorded,No,,0,0,0,0,0,0
BabbittPJ,PASM (maybe),No,,PASM,Pascopyrum smithii,Native,Perennial,Grass,independent
SRER,PEPA (possibly),No,,PEPAspp,Unknown PEPA,Unknown,Unknown,Unknown,dependent
Patagonia,Possible ACHY near southwest corner (2 certainty) and about 10 ARPU small to medium in size with 2 of them next to the subplot but not quite in,Yes,1,ACHY,Achnatherum hymenoides,Native,Perennial,Grass,independent
Patagonia,Possible ACHY near southwest corner (2 certainty) and about 10 ARPU small to medium in size with 2 of them next to the subplot but not quite in,Yes,2,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
SRER,"Possible ARPUs, SECO seedling in subplot",Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
SRER,"Possible ARPUs, SECO seedling in subplot",Yes,2,SECO10,Senna covesii,Native,Perennial,Forb,independent
SRER,Possible BOCUs but not in this mix,No,,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
SRER,Possible Boutelouas not sure if BOER because they've been grazed down,No,,BOspp,Bouteloua spp.,Native,Unknown,Grass,dependent
Patagonia,"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout",Yes,1,ASTU,Asclepias tuberosa,Native,Perennial,Forb,independent
Patagonia,"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout",Yes,2,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout",Yes,3,BAMU,Baileya multiradiata,Native,Unknown,Forb,independent
Patagonia,"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout",Yes,4,SECO10,Senna covesii,Native,Perennial,Forb,independent
SRER,Possible Poa secunda POSE just outside of NE plot corner but not in/overhanging yet due to small size,No,,0,0,0,0,0,0
CRC,Possible S-PASM seedlings,No,,PASM,Pascopyrum smithii,Native,Perennial,Grass,independent
Patagonia,"Possible SPCR in subplot, Blue not Black grama",Yes,1,SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,independent
Patagonia,"Possible SPCR in subplot, Blue not Black grama",Yes,2,BOGR2,Bouteloua gracilis,Native,Perennial,Grass,independent
SRER,Possible young BOCU and ARPU but no seed heads yet therfor unsure ifit is than seeded species cover is 1% but if not it's trace amount because of a few SECOs all found in or near pits,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
SRER,Possible young BOCU and ARPU but no seed heads yet therfor unsure ifit is than seeded species cover is 1% but if not it's trace amount because of a few SECOs all found in or near pits,Yes,2,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
SRER,Possible young BOCU and ARPU but no seed heads yet therfor unsure ifit is than seeded species cover is 1% but if not it's trace amount because of a few SECOs all found in or near pits,Yes,3,SECO10,Senna covesii,Native,Perennial,Forb,independent
SRER,Possibly 2 BOCUs (2 certainty) but very little green left to help identify,No,,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
SRER,Possibly 3 small BOER (1 certainty) or other BOsp.,No,,BOspp,Bouteloua spp.,Native,Unknown,Grass,dependent
SRER,Possibly a BOCU but has been grazed down completely and hard to confirm,No,,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Patagonia,Possibly a BOER if not than other BOsp. possibly BOGR,No,,BOspp,Bouteloua spp.,Native,Unknown,Grass,dependent
Patagonia,Possibly a small SPCR in the S half,No,,SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,independent
SRER,Possibly a young ASTU if not seeded species cover is 0%,No,,ASTU,Asclepias tuberosa,Native,Perennial,Forb,independent
Patagonia,"Possibly small POSE and SPCR in the S half of the plot, BLUE grama not BLACK",Yes,1,POSE,Poa secunda,Native,Perennial,Grass,independent
Patagonia,"Possibly small POSE and SPCR in the S half of the plot, BLUE grama not BLACK",Yes,2,SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,independent
Patagonia,"Possibly small POSE and SPCR in the S half of the plot, BLUE grama not BLACK",Yes,3,BOGR2,Bouteloua gracilis,Native,Perennial,Grass,independent
SRER,Potentially 3 or 4 BOCU (1 certainty) and possibly an ARPU (2) or othe ARsp. hard to be certain because all the grasses have been grazed down to nubs,No,1,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
SRER,Potentially 3 or 4 BOCU (1 certainty) and possibly an ARPU (2) or othe ARsp. hard to be certain because all the grasses have been grazed down to nubs,No,2,ARPUspp,Aristida spp.,Native,Unknown,Grass,dependent
SRER,Probable BOCUs with apparent grazing,No,,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
BabbittPJ,PSSP6 (maybe),No,,PSSP6,Pseudoroegneria spicata,Native,Perennial,Grass,independent
SRER,Quite a few small tp extra large BOCUs throughout along with a possible ASTU,Yes,1,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
SRER,Quite a few small tp extra large BOCUs throughout along with a possible ASTU,Yes,2,ASTU,Asclepias tuberosa,Native,Perennial,Forb,independent
UtahPJ,Regrowth,No,,Regrowth,Regrowth of unknown spp.,Unknown,Unknown,Unknown,dependent
UtahPJ,Regrowth of SPGR,No,,SPGR2,Sphaeralcea grossulariifolia,Native,Perennial,Forb,independent
FlyingM,SALRE,No,,SALRE,Unknown SALRE,Unknown,Unknown,Unknown,dependent
FlyingM,SARE,No,,SARE3,Salvia reflexa,Native,Annual,Forb,independent
BarTBar,SATR,No,,SATR12,Salsola tragus,Introduced,Annual,Forb,independent
29_Palms,SCHSPP,No,,SCHSPP,Unknown SCH spp.,Unknown,Unknown,Unknown,dependent
SRER,Small POSE near SW pit,No,,POSE,Poa secunda,Native,Perennial,Grass,independent
Patagonia,Small to large ARPUs and BOCUs along with a couple small SECOs as well as a possible PLMU in the middle (rough feeling and membranous ligule but no seed heads),Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Small to large ARPUs and BOCUs along with a couple small SECOs as well as a possible PLMU in the middle (rough feeling and membranous ligule but no seed heads),Yes,2,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Patagonia,Small to large ARPUs and BOCUs along with a couple small SECOs as well as a possible PLMU in the middle (rough feeling and membranous ligule but no seed heads),Yes,3,SECO10,Senna covesii,Native,Perennial,Forb,independent
Patagonia,Small to large ARPUs and BOCUs along with a couple small SECOs as well as a possible PLMU in the middle (rough feeling and membranous ligule but no seed heads),Yes,4,PLMU3,Pleuraphis mutica,Native,Perennial,Grass,independent
Patagonia,Small to large ARPUs throughout along with a tiny baby SECO seedling in SE section,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Small to large ARPUs throughout along with a tiny baby SECO seedling in SE section,Yes,2,SECO10,Senna covesii,Native,Perennial,Forb,independent
Patagonia,Small to large ARPUs throughout and a couple of small SECOs,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Small to large ARPUs throughout and a couple of small SECOs,Yes,2,SECO10,Senna covesii,Native,Perennial,Forb,independent
Patagonia,Small to medium ARPUs throughout and a few tiny to small SECOs mostly near the conmods,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Small to medium ARPUs throughout and a few tiny to small SECOs mostly near the conmods,Yes,2,SECO10,Senna covesii,Native,Perennial,Forb,independent
Patagonia,Small to medium ARPUs throughout and small/medium BAMU near the NE edge,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Small to medium ARPUs throughout and small/medium BAMU near the NE edge,Yes,2,BAMU,Baileya multiradiata,Native,Unknown,Forb,independent
Patagonia,Small to medium/large ARPUs throughout especially in the S half of the plot,No,,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Small/medium to large ARPUs and small to large BOCU throughout,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Small/medium to large ARPUs and small to large BOCU throughout,Yes,2,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
SRER,Some possible ARPUs (2 certainty) or ARsp. (ARTE). Mostly dried still or grazed down.,No,,ARPUspp,Aristida spp.,Native,Unknown,Grass,dependent
SRER,Some type of Aristida possibly and ARPU and maybe 1 small maybe BOCU near subplot that's been grazed down,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
SRER,Some type of Aristida possibly and ARPU and maybe 1 small maybe BOCU near subplot that's been grazed down,Yes,2,ARPUspp,Aristida spp.,Native,Unknown,Grass,dependent
SRER,Some type of Aristida possibly and ARPU and maybe 1 small maybe BOCU near subplot that's been grazed down,Yes,3,BOspp,Bouteloua spp.,Native,Unknown,Grass,dependent
Patagonia,Southwest pit has 1 BAMU and 4 small ARPUs. Northwest pit has 2 medium and 2 small ARPUs and 1 dreid up SECO. There are a few more small to medium sized ARPUs throughout,Yes,1,BAMU,Baileya multiradiata,Native,Unknown,Forb,independent
Patagonia,Southwest pit has 1 BAMU and 4 small ARPUs. Northwest pit has 2 medium and 2 small ARPUs and 1 dreid up SECO. There are a few more small to medium sized ARPUs throughout,Yes,2,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Southwest pit has 1 BAMU and 4 small ARPUs. Northwest pit has 2 medium and 2 small ARPUs and 1 dreid up SECO. There are a few more small to medium sized ARPUs throughout,Yes,3,SECO10,Senna covesii,Native,Perennial,Forb,independent
Preserve,SPAMA,No,,SPAM2,Sphaeralcea ambigua,Native,Perennial,Forb,independent
Roosevelt,SPAMA,No,,SPAM3,Sphaeralcea ambigua,Native,Perennial,Forb,independent
Pleasant,SPAMA,No,,SPAM4,Sphaeralcea ambigua,Native,Perennial,Forb,independent
SCC,SPAMA,No,,SPAM5,Sphaeralcea ambigua,Native,Perennial,Forb,independent
