Site,CodeOriginal,NeedsItsDuplicate,Code,Name,Native,Duration,Lifeform,LocationDependence
Patagonia,"Multiple ARPUs small to large sized throughout, possible ACHY in the SE pit, and a couple teeny tiny SECOs in/around some of the pits",Yes,ACHY,Achnatherum hymenoides,Native,Perennial,Grass,independent
Patagonia,"Multiple ARPUs small to large sized throughout, possible ACHY in the SE pit, and a couple teeny tiny SECOs in/around some of the pits",Yes,SECO10,Senna covesii,Native,Perennial,Forb,independent
SRER,Multiple BOCU's medium-large and a possible medium sized ARPU,Yes,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
SRER,Multiple BOCU's medium-large and a possible medium sized ARPU,Yes,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
SRER,Multiple med to extra large BOCUs and a few small to large ARPUs,Yes,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
SRER,Multiple med to extra large BOCUs and a few small to large ARPUs,Yes,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Multiple medium to extra large ARPUs and large BAMU along the N edge of the plot along with possible tiny seedlings in same pits,Yes,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Multiple medium to extra large ARPUs and large BAMU along the N edge of the plot along with possible tiny seedlings in same pits,Yes,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Patagonia,Multiple medium to large ARPU and small/medium BOCU near the NE corner and a couple tiny SECOs,Yes,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Multiple medium to large ARPU and small/medium BOCU near the NE corner and a couple tiny SECOs,Yes,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Patagonia,Multiple medium to large ARPU and small/medium BOCU near the NE corner and a couple tiny SECOs,Yes,SECO10,Senna covesii,Native,Perennial,Forb,independent
Patagonia,Multiple small to large ARPUs throughout along with a large BAMU in center and a medium sized BOCU in the NW section,Yes,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Multiple small to large ARPUs throughout along with a large BAMU in center and a medium sized BOCU in the NW section,Yes,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Patagonia,Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,Yes,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,Yes,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Patagonia,Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,Yes,PLMU3,Pleuraphis mutica,Native,Perennial,Grass,independent
Patagonia,Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,Yes,SECO10,Senna covesii,Native,Perennial,Forb,independent
Patagonia,Possible ACHY near southwest corner (2 certainty) and about 10 ARPU small to medium in size with 2 of them next to the subplot but not quite in,Yes,ACHY,Achnatherum hymenoides,Native,Perennial,Grass,independent
Patagonia,Possible ACHY near southwest corner (2 certainty) and about 10 ARPU small to medium in size with 2 of them next to the subplot but not quite in,Yes,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
SRER,"Possible ARPUs, SECO seedling in subplot",Yes,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
SRER,"Possible ARPUs, SECO seedling in subplot",Yes,SECO10,Senna covesii,Native,Perennial,Forb,independent
Patagonia,"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout",Yes,ASTU,Asclepias tuberosa,Native,Perennial,Forb,independent
Patagonia,"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout",Yes,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout",Yes,BAMU,Baileya multiradiata,Native,Unknown,Forb,independent
Patagonia,"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout",Yes,SECO10,Senna covesii,Native,Perennial,Forb,independent
Patagonia,"Possible SPCR in subplot, Blue not Black grama",Yes,SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,independent
Patagonia,"Possible SPCR in subplot, Blue not Black grama",Yes,BOGR2,Bouteloua gracilis,Native,Perennial,Grass,independent
SRER,Possible young BOCU and ARPU but no seed heads yet therfor unsure ifit is than seeded species cover is 1% but if not it's trace amount because of a few SECOs all found in or near pits,Yes,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
SRER,Possible young BOCU and ARPU but no seed heads yet therfor unsure ifit is than seeded species cover is 1% but if not it's trace amount because of a few SECOs all found in or near pits,Yes,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
SRER,Possible young BOCU and ARPU but no seed heads yet therfor unsure ifit is than seeded species cover is 1% but if not it's trace amount because of a few SECOs all found in or near pits,Yes,SECO10,Senna covesii,Native,Perennial,Forb,independent
SRER,Possibly a BOCU but has been grazed down completely and hard to confirm,Yes,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Patagonia,"Possibly small POSE and SPCR in the S half of the plot, BLUE grama not BLACK",Yes,POSE,Poa secunda,Native,Perennial,Grass,independent
Patagonia,"Possibly small POSE and SPCR in the S half of the plot, BLUE grama not BLACK",Yes,SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,independent
Patagonia,"Possibly small POSE and SPCR in the S half of the plot, BLUE grama not BLACK",Yes,BOGR2,Bouteloua gracilis,Native,Perennial,Grass,independent
SRER,Quite a few small tp extra large BOCUs throughout along with a possible ASTU,Yes,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
SRER,Quite a few small tp extra large BOCUs throughout along with a possible ASTU,Yes,ASTU,Asclepias tuberosa,Native,Perennial,Forb,independent
Patagonia,Small to large ARPUs and BOCUs along with a couple small SECOs as well as a possible PLMU in the middle (rough feeling and membranous ligule but no seed heads),Yes,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Small to large ARPUs and BOCUs along with a couple small SECOs as well as a possible PLMU in the middle (rough feeling and membranous ligule but no seed heads),Yes,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Patagonia,Small to large ARPUs and BOCUs along with a couple small SECOs as well as a possible PLMU in the middle (rough feeling and membranous ligule but no seed heads),Yes,SECO10,Senna covesii,Native,Perennial,Forb,independent
Patagonia,Small to large ARPUs and BOCUs along with a couple small SECOs as well as a possible PLMU in the middle (rough feeling and membranous ligule but no seed heads),Yes,PLMU3,Pleuraphis mutica,Native,Perennial,Grass,independent
Patagonia,Small to large ARPUs throughout along with a tiny baby SECO seedling in SE section,Yes,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Small to large ARPUs throughout along with a tiny baby SECO seedling in SE section,Yes,SECO10,Senna covesii,Native,Perennial,Forb,independent
Patagonia,Small to large ARPUs throughout and a couple of small SECOs,Yes,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Small to large ARPUs throughout and a couple of small SECOs,Yes,SECO10,Senna covesii,Native,Perennial,Forb,independent
Patagonia,Small to medium ARPUs throughout and a few tiny to small SECOs mostly near the conmods,Yes,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Small to medium ARPUs throughout and a few tiny to small SECOs mostly near the conmods,Yes,SECO10,Senna covesii,Native,Perennial,Forb,independent
Patagonia,Small to medium ARPUs throughout and small/medium BAMU near the NE edge,Yes,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Small to medium ARPUs throughout and small/medium BAMU near the NE edge,Yes,BAMU,Baileya multiradiata,Native,Unknown,Forb,independent
Patagonia,Small/medium to large ARPUs and small to large BOCU throughout,Yes,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Small/medium to large ARPUs and small to large BOCU throughout,Yes,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
SRER,Some type of Aristida possibly and ARPU and maybe 1 small maybe BOCU near subplot that's been grazed down,Yes,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Southwest pit has 1 BAMU and 4 small ARPUs. Northwest pit has 2 medium and 2 small ARPUs and 1 dreid up SECO. There are a few more small to medium sized ARPUs throughout,Yes,BAMU,Baileya multiradiata,Native,Unknown,Forb,independent
Patagonia,Southwest pit has 1 BAMU and 4 small ARPUs. Northwest pit has 2 medium and 2 small ARPUs and 1 dreid up SECO. There are a few more small to medium sized ARPUs throughout,Yes,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Southwest pit has 1 BAMU and 4 small ARPUs. Northwest pit has 2 medium and 2 small ARPUs and 1 dreid up SECO. There are a few more small to medium sized ARPUs throughout,Yes,SECO10,Senna covesii,Native,Perennial,Forb,independent
Patagonia,SW conmod is overgrown with Blue grama but NO black grama but thee's a possible young PEPA by the NW conmod,Yes,BOGR2,Bouteloua gracilis,Native,Perennial,Grass,independent
SRER,1 Possible PLJA (1 out of 3 on certainty) on south border as well as some BOCUs (might be BOER but probably BOCU or other BOsp.) Mostly grazed,Yes,PLJAspp.SRER,"Possibly Pleuraphis jamesii, SRER",Native,Perennial,Grass,dependent
SRER,1 Possible PLJA (1 out of 3 on certainty) on south border as well as some BOCUs (might be BOER but probably BOCU or other BOsp.) Mostly grazed,Yes,BOCU/BOER4.SRER,"BOCUs, or might be BOER4, SRER",Native,Perennial,Grass,dependent
Patagonia,Large BOCU in the southeast with a few small ones throughout and about 5 ARPUs small to large in size that're mostly near the conmods,Yes,ARPUspp.Patagonia,"Aristida spp., Patagonia",Native,Unknown,Grass,dependent
SRER,Some type of Aristida possibly and ARPU and maybe 1 small maybe BOCU near subplot that's been grazed down,Yes,ARPUspp.SRER,"Aristida spp., SRER",Native,Unknown,Grass,dependent
SRER,Some type of Aristida possibly and ARPU and maybe 1 small maybe BOCU near subplot that's been grazed down,Yes,BOspp.SRER,"Bouteloua spp., SRER",Native,Unknown,Grass,dependent
Patagonia,SW conmod is overgrown with Blue grama but NO black grama but thee's a possible young PEPA by the NW conmod,Yes,PEPAspp.Patagonia,"Unknown PEPA, Patagonia",Unknown,Unknown,Unknown,dependent
