Site,Region,Date_Seeded,Date_Monitored,Plot,Treatment,PlotMix,CodeOriginal,Code,Seeded_Cover,Total_Veg_Cover,raw.row,source,MonitorID
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-03-12T00:00:00Z,3,Pits,Warm,A few ARPUs and young BOCUs mostly near/in the south half except for a smaller ARPU in the northwest and a BAMU just north of subplot,BAMU,4,8,4715,add1,4724
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-03-12T00:00:00Z,15,Mulch,Warm,ARPU about 5 individuals and an individual BAMU resprouting at base,ARPU9,2,6,4727,add1,4736
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-03-12T00:00:00Z,15,Mulch,Warm,ARPU about 5 individuals and an individual BAMU resprouting at base,BAMU,2,6,4727,add1,4736
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-03-12T00:00:00Z,32,Pits,Warm,"ARPU many individuals, BAMU 1 individual, PLMU (2) 1 individual, ACHY (2) 1 individual",ARPU9,2,4,4744,add1,4753
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-03-12T00:00:00Z,32,Pits,Warm,"ARPU many individuals, BAMU 1 individual, PLMU (2) 1 individual, ACHY (2) 1 individual",BAMU,2,4,4744,add1,4753
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-03-12T00:00:00Z,32,Pits,Warm,"ARPU many individuals, BAMU 1 individual, PLMU (2) 1 individual, ACHY (2) 1 individual",PLMU3,2,4,4744,add1,4753
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-03-12T00:00:00Z,32,Pits,Warm,"ARPU many individuals, BAMU 1 individual, PLMU (2) 1 individual, ACHY (2) 1 individual",ACHY,2,4,4744,add1,4753
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-10-06T00:00:00Z,2,Seed,Warm,Couple medium sized ARPUs (not completely sure 2/3 on certainty of ID) and a large BOCU right next to the NW plot marker rooted just outside of the plot but some overhangs into the plot,ARPU9,1,96,4750,add1,4759
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-10-06T00:00:00Z,2,Seed,Warm,Couple medium sized ARPUs (not completely sure 2/3 on certainty of ID) and a large BOCU right next to the NW plot marker rooted just outside of the plot but some overhangs into the plot,BOCU,1,96,4750,add1,4759
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,10,Seed,Warm,Couple small to medium ARPUs throughout and a couple small SECOs in N half of the plot typically hidden under/using ERCU as a shade plant,ARPU9,3,75,4794,add1,4803
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,10,Seed,Warm,Couple small to medium ARPUs throughout and a couple small SECOs in N half of the plot typically hidden under/using ERCU as a shade plant,SECO10,3,75,4794,add1,4803
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,10,Seed,Warm,Couple small to medium ARPUs throughout and a couple small SECOs in N half of the plot typically hidden under/using ERCU as a shade plant,ERCU2,3,75,4794,add1,4803
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-10-08T00:00:00Z,23,Pits,Warm,Extra large to medium large BOCUs throughout and at least 2 tiny SECO near/in SE pit and NE/subplot pit,BOCU,10,99,4771,add1,4780
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-10-08T00:00:00Z,23,Pits,Warm,Extra large to medium large BOCUs throughout and at least 2 tiny SECO near/in SE pit and NE/subplot pit,SECO10,10,99,4771,add1,4780
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-03-12T00:00:00Z,2,ConMod,Warm,Large BOCU in the southeast with a few small ones throughout and about 5 ARPUs small to large in size that're mostly near the conmods,BOCU,3,4,4714,add1,4723
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-03-12T00:00:00Z,2,ConMod,Warm,Large BOCU in the southeast with a few small ones throughout and about 5 ARPUs small to large in size that're mostly near the conmods,ARPUspp.Patagonia,3,4,4714,add1,4723
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,16,Pits,Warm,"Medium SECO in/near NW pit with a couple tiny seedlings scattered throughout, medium BAMU in the middle, a few small to medium/large ARPUs sprinkled throughout, possibly a small ACHY in SE section (wirey leaf blades that clasp the stem, hairs at the node, only one seed head but similar to examples)",SECO10,7,70,4800,add1,4809
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,16,Pits,Warm,"Medium SECO in/near NW pit with a couple tiny seedlings scattered throughout, medium BAMU in the middle, a few small to medium/large ARPUs sprinkled throughout, possibly a small ACHY in SE section (wirey leaf blades that clasp the stem, hairs at the node, only one seed head but similar to examples)",BAMU,7,70,4800,add1,4809
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,16,Pits,Warm,"Medium SECO in/near NW pit with a couple tiny seedlings scattered throughout, medium BAMU in the middle, a few small to medium/large ARPUs sprinkled throughout, possibly a small ACHY in SE section (wirey leaf blades that clasp the stem, hairs at the node, only one seed head but similar to examples)",ARPU9,7,70,4800,add1,4809
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,16,Pits,Warm,"Medium SECO in/near NW pit with a couple tiny seedlings scattered throughout, medium BAMU in the middle, a few small to medium/large ARPUs sprinkled throughout, possibly a small ACHY in SE section (wirey leaf blades that clasp the stem, hairs at the node, only one seed head but similar to examples)",ACHY,7,70,4800,add1,4809
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-10-09T00:00:00Z,25,ConMod,Warm,Medium sized BOCU and ARPU,BOCU,3,90,4773,add1,4782
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-10-09T00:00:00Z,25,ConMod,Warm,Medium sized BOCU and ARPU,ARPU9,3,90,4773,add1,4782
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,11,ConMod,Warm,Medium to large ARPUs throughout and a couple small and medium BOCUs near the N conmods and a few teeny tiny SECOs near conmods as well,ARPU9,8,93,4795,add1,4804
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,11,ConMod,Warm,Medium to large ARPUs throughout and a couple small and medium BOCUs near the N conmods and a few teeny tiny SECOs near conmods as well,BOCU,8,93,4795,add1,4804
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,11,ConMod,Warm,Medium to large ARPUs throughout and a couple small and medium BOCUs near the N conmods and a few teeny tiny SECOs near conmods as well,SECO10,8,93,4795,add1,4804
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,25,Pits,Warm,"Multiple ARPUs small to large sized throughout, possible ACHY in the SE pit, and a couple teeny tiny SECOs in/around some of the pits",ARPU9,9,70,4809,add1,4818
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,25,Pits,Warm,"Multiple ARPUs small to large sized throughout, possible ACHY in the SE pit, and a couple teeny tiny SECOs in/around some of the pits",ACHY,9,70,4809,add1,4818
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,25,Pits,Warm,"Multiple ARPUs small to large sized throughout, possible ACHY in the SE pit, and a couple teeny tiny SECOs in/around some of the pits",SECO10,9,70,4809,add1,4818
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-10-06T00:00:00Z,1,ConMod,Warm,Multiple BOCU's medium-large and a possible medium sized ARPU,BOCU,4,88,4749,add1,4758
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-10-06T00:00:00Z,1,ConMod,Warm,Multiple BOCU's medium-large and a possible medium sized ARPU,ARPU9,4,88,4749,add1,4758
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-10-09T00:00:00Z,30,Seed,Warm,Multiple med to extra large BOCUs and a few small to large ARPUs,BOCU,13,80,4778,add1,4787
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-10-09T00:00:00Z,30,Seed,Warm,Multiple med to extra large BOCUs and a few small to large ARPUs,ARPU9,13,80,4778,add1,4787
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,32,Pits,Warm,Multiple medium to extra large ARPUs and large BAMU along the N edge of the plot along with possible tiny seedlings in same pits,ARPU9,10,97,4816,add1,4825
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,32,Pits,Warm,Multiple medium to extra large ARPUs and large BAMU along the N edge of the plot along with possible tiny seedlings in same pits,BOCU,10,97,4816,add1,4825
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,1,Seed,Warm,Multiple medium to large ARPU and small/medium BOCU near the NE corner and a couple tiny SECOs,ARPU9,7,60,4785,add1,4794
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,1,Seed,Warm,Multiple medium to large ARPU and small/medium BOCU near the NE corner and a couple tiny SECOs,BOCU,7,60,4785,add1,4794
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,1,Seed,Warm,Multiple medium to large ARPU and small/medium BOCU near the NE corner and a couple tiny SECOs,SECO10,7,60,4785,add1,4794
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,15,Mulch,Warm,Multiple small to large ARPUs throughout along with a large BAMU in center and a medium sized BOCU in the NW section,ARPU9,11,45,4799,add1,4808
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,15,Mulch,Warm,Multiple small to large ARPUs throughout along with a large BAMU in center and a medium sized BOCU in the NW section,BOCU,11,45,4799,add1,4808
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,3,Pits,Warm,Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,ARPU9,13,85,4787,add1,4796
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,3,Pits,Warm,Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,BOCU,13,85,4787,add1,4796
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,3,Pits,Warm,Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,PLMU3,13,85,4787,add1,4796
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,3,Pits,Warm,Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,BAMU,13,85,4787,add1,4796
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,3,Pits,Warm,Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout,SECO10,13,85,4787,add1,4796
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-03-12T00:00:00Z,31,Mulch,Warm,Possible ACHY near southwest corner (2 certainty) and about 10 ARPU small to medium in size with 2 of them next to the subplot but not quite in,ACHY,2,20,4743,add1,4752
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-03-12T00:00:00Z,31,Mulch,Warm,Possible ACHY near southwest corner (2 certainty) and about 10 ARPU small to medium in size with 2 of them next to the subplot but not quite in,ARPU9,2,20,4743,add1,4752
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-10-06T00:00:00Z,3,Pits,Warm,"Possible ARPUs, SECO seedling in subplot",ARPU9,TR,98,4751,add1,4760
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-10-06T00:00:00Z,3,Pits,Warm,"Possible ARPUs, SECO seedling in subplot",SECO10,TR,98,4751,add1,4760
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,31,Mulch,Warm,"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout",ASTU,15,99,4815,add1,4824
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,31,Mulch,Warm,"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout",ARPU9,15,99,4815,add1,4824
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,31,Mulch,Warm,"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout",BAMU,15,99,4815,add1,4824
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,31,Mulch,Warm,"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout",SECO10,15,99,4815,add1,4824
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,21,Seed,Medium,"Possible SPCR in subplot, Blue not Black grama",SPCR,TR,94,4805,add1,4814
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,21,Seed,Medium,"Possible SPCR in subplot, Blue not Black grama",BOGR2,TR,94,4805,add1,4814
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-10-07T00:00:00Z,11,Pits,Warm,Possible young BOCU and ARPU but no seed heads yet therfor unsure ifit is than seeded species cover is 1% but if not it's trace amount because of a few SECOs all found in or near pits,ARPU9,TR,95,4759,add1,4768
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-10-07T00:00:00Z,11,Pits,Warm,Possible young BOCU and ARPU but no seed heads yet therfor unsure ifit is than seeded species cover is 1% but if not it's trace amount because of a few SECOs all found in or near pits,BOCU,TR,95,4759,add1,4768
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-10-07T00:00:00Z,11,Pits,Warm,Possible young BOCU and ARPU but no seed heads yet therfor unsure ifit is than seeded species cover is 1% but if not it's trace amount because of a few SECOs all found in or near pits,SECO10,TR,95,4759,add1,4768
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,20,Pits,Medium,"Possibly small POSE and SPCR in the S half of the plot, BLUE grama not BLACK",POSE,TR,73,4804,add1,4813
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,20,Pits,Medium,"Possibly small POSE and SPCR in the S half of the plot, BLUE grama not BLACK",SPCR,TR,73,4804,add1,4813
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,20,Pits,Medium,"Possibly small POSE and SPCR in the S half of the plot, BLUE grama not BLACK",BOGR2,TR,73,4804,add1,4813
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-10-09T00:00:00Z,31,Mulch,Warm,Quite a few small tp extra large BOCUs throughout along with a possible ASTU,BOCU,11,82,4779,add1,4788
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-10-09T00:00:00Z,31,Mulch,Warm,Quite a few small tp extra large BOCUs throughout along with a possible ASTU,ASTU,11,82,4779,add1,4788
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,4,Mulch,Warm,Small to large ARPUs and BOCUs along with a couple small SECOs as well as a possible PLMU in the middle (rough feeling and membranous ligule but no seed heads),ARPU9,10,82,4788,add1,4797
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,4,Mulch,Warm,Small to large ARPUs and BOCUs along with a couple small SECOs as well as a possible PLMU in the middle (rough feeling and membranous ligule but no seed heads),BOCU,10,82,4788,add1,4797
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,4,Mulch,Warm,Small to large ARPUs and BOCUs along with a couple small SECOs as well as a possible PLMU in the middle (rough feeling and membranous ligule but no seed heads),SECO10,10,82,4788,add1,4797
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,4,Mulch,Warm,Small to large ARPUs and BOCUs along with a couple small SECOs as well as a possible PLMU in the middle (rough feeling and membranous ligule but no seed heads),PLMU3,10,82,4788,add1,4797
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,23,Mulch,Warm,Small to large ARPUs throughout along with a tiny baby SECO seedling in SE section,ARPU9,17,67,4807,add1,4816
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,23,Mulch,Warm,Small to large ARPUs throughout along with a tiny baby SECO seedling in SE section,SECO10,17,67,4807,add1,4816
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,22,ConMod,Warm,Small to large ARPUs throughout and a couple of small SECOs,ARPU9,15,97,4806,add1,4815
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,22,ConMod,Warm,Small to large ARPUs throughout and a couple of small SECOs,SECO10,15,97,4806,add1,4815
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,30,ConMod,Warm,Small to medium ARPUs throughout and a few tiny to small SECOs mostly near the conmods,ARPU9,11,75,4814,add1,4823
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,30,ConMod,Warm,Small to medium ARPUs throughout and a few tiny to small SECOs mostly near the conmods,SECO10,11,75,4814,add1,4823
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,19,Seed,Warm,Small to medium ARPUs throughout and small/medium BAMU near the NE edge,ARPU9,5,78,4803,add1,4812
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,19,Seed,Warm,Small to medium ARPUs throughout and small/medium BAMU near the NE edge,BAMU,5,78,4803,add1,4812
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,2,ConMod,Warm,Small/medium to large ARPUs and small to large BOCU throughout,ARPU9,12,80,4786,add1,4795
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,2,ConMod,Warm,Small/medium to large ARPUs and small to large BOCU throughout,BOCU,12,80,4786,add1,4795
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-03-10T00:00:00Z,10,ConMod,Warm,Some type of Aristida possibly and ARPU and maybe 1 small maybe BOCU near subplot that's been grazed down,ARPU9,TR,6,4686,add1,4695
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-03-10T00:00:00Z,10,ConMod,Warm,Some type of Aristida possibly and ARPU and maybe 1 small maybe BOCU near subplot that's been grazed down,ARPUspp.SRER,TR,6,4686,add1,4695
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-03-10T00:00:00Z,10,ConMod,Warm,Some type of Aristida possibly and ARPU and maybe 1 small maybe BOCU near subplot that's been grazed down,BOspp.SRER,TR,6,4686,add1,4695
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-03-12T00:00:00Z,16,Pits,Warm,Southwest pit has 1 BAMU and 4 small ARPUs. Northwest pit has 2 medium and 2 small ARPUs and 1 dreid up SECO. There are a few more small to medium sized ARPUs throughout,BAMU,2,13,4728,add1,4737
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-03-12T00:00:00Z,16,Pits,Warm,Southwest pit has 1 BAMU and 4 small ARPUs. Northwest pit has 2 medium and 2 small ARPUs and 1 dreid up SECO. There are a few more small to medium sized ARPUs throughout,ARPU9,2,13,4728,add1,4737
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-03-12T00:00:00Z,16,Pits,Warm,Southwest pit has 1 BAMU and 4 small ARPUs. Northwest pit has 2 medium and 2 small ARPUs and 1 dreid up SECO. There are a few more small to medium sized ARPUs throughout,SECO10,2,13,4728,add1,4737
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,33,ConMod,Medium,SW conmod is overgrown with Blue grama but NO black grama but thee's a possible young PEPA by the NW conmod,BOGR2,TR,95,4817,add1,4826
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,33,ConMod,Medium,SW conmod is overgrown with Blue grama but NO black grama but thee's a possible young PEPA by the NW conmod,PEPAspp.Patagonia,TR,95,4817,add1,4826
